ote,tp,mss_lb,entry,sl,n,is_pf,is_net,is_pos,is_yrs,oos_pf,oos_net,oos_pos,oos_yrs,full_net,full_pf,pass_
"(0.5, 0.618)",rr2.0,3,ce,fvg,4646,0.46443633621107266,-1354.193092078511,0,10,0.6159851226568509,-837.7203054302131,0,11,-2191.9133975087243,0.5346272664906333,False
"(0.5, 0.618)",rr2.0,5,edge,sweep,1654,1.0597556317844459,29.856905492856733,6,10,1.118602615611519,63.365781232002064,7,11,93.22268672485879,1.0901643353738344,False
"(0.5, 0.618)",rr2.0,5,edge,fvg,1654,0.7083192142026935,-199.287530015616,0,10,0.8586354983427228,-95.79355081539694,2,11,-295.08108083101297,0.7831678958457585,False
"(0.5, 0.618)",rr2.0,5,ce,sweep,2581,0.9240639492022014,-67.13895648772021,5,10,0.972560051809741,-23.554530980622545,6,11,-90.69348746834272,0.9479537056832109,False
"(0.5, 0.618)",rr2.0,5,ce,fvg,2581,0.44299554303599264,-782.3960362946981,0,10,0.6226907810302134,-458.7850932101105,0,11,-1241.1811295048085,0.5263731784667116,False
"(0.5, 0.618)",rr2.0,8,edge,sweep,900,1.160181589800882,42.07160461088513,9,10,1.072873807382598,20.993932508019384,7,11,63.065537118904516,1.1145114674562602,False
"(0.5, 0.618)",rr2.0,8,edge,fvg,900,0.6944171937152811,-115.8598166004234,2,10,0.768917862645584,-88.36824733382416,2,11,-204.22806393424756,0.7318273181460837,False
"(0.5, 0.618)",rr2.0,8,ce,sweep,1346,0.8893695716890531,-49.56885999188587,5,10,0.9893994632377138,-4.772127088418064,4,11,-54.34098708030393,0.9395025489147044,False
"(0.5, 0.618)",rr2.0,8,ce,fvg,1346,0.4580396945800216,-382.6531779948656,0,10,0.5455603268448199,-309.6307566705493,0,11,-692.2839346654149,0.5010207006729968,False
"(0.5, 0.618)",rr3.0,2,edge,sweep,3840,0.8904363744732948,-157.26484247165953,2,10,1.0345709854839806,50.96944706376002,8,11,-106.29539540789955,0.9634688114909646,False
"(0.5, 0.618)",rr3.0,2,edge,fvg,3840,0.6860093824390885,-590.7380774886192,0,10,0.809872718551259,-356.91482931894075,0,11,-947.6529068075598,0.7478727337293557,False
"(0.5, 0.618)",rr3.0,2,ce,sweep,6671,0.8877424130009396,-301.1862905741972,3,10,0.9654482307234198,-88.06247858489331,4,11,-389.24876915909044,0.9255980881601944,False
"(0.5, 0.618)",rr3.0,2,ce,fvg,6671,0.5349328275643207,-1897.9378527744984,0,10,0.6720241290480602,-1194.836063820067,0,11,-3092.7739165945654,0.5995920971616849,False
"(0.5, 0.618)",rr3.0,3,edge,sweep,2789,0.9735000494049694,-26.46668517044469,4,10,1.1465383116589292,147.7418033428391,8,11,121.27511817239443,1.0604273471152073,False
"(0.5, 0.618)",rr3.0,3,edge,fvg,2789,0.722889090763321,-374.3131584508185,0,10,0.8421433907781813,-210.31863220632204,2,11,-584.6317906571405,0.7821066577029091,False
"(0.5, 0.618)",rr3.0,3,ce,sweep,4646,0.9242492378596596,-137.9093123933415,2,10,1.0520072244752596,87.9970284868798,7,11,-49.91228390646168,0.9857904293889773,False
"(0.5, 0.618)",rr3.0,3,ce,fvg,4646,0.5214248451694525,-1375.3304702614723,0,10,0.7219096590685568,-684.2442040482437,0,11,-2059.574674309716,0.6139006693226051,False
"(0.5, 0.618)",rr3.0,5,edge,sweep,1654,1.0405331094658166,22.518163935277308,7,10,1.109048743934406,64.4566469212639,6,11,86.97481085654118,1.0758524894923205,False
"(0.5, 0.618)",rr3.0,5,edge,fvg,1654,0.7485068759351687,-197.6426589663645,1,10,0.8203176214163533,-144.0127185670363,2,11,-341.65537753340084,0.7847652928935328,False
"(0.5, 0.618)",rr3.0,5,ce,sweep,2581,0.939897275022179,-58.30772147626172,4,10,0.9857652056626752,-13.46301927873715,5,11,-71.77074075499885,0.9625397423374552,False
"(0.5, 0.618)",rr3.0,5,ce,fvg,2581,0.4752977616295197,-841.3960362946981,0,10,0.7198217187907908,-385.36558552808765,0,11,-1226.7616218227859,0.5881966306667954,False
"(0.5, 0.618)",rr3.0,8,edge,sweep,900,1.1214594472744708,35.45574246646082,7,10,1.1064835719056567,33.09859405229652,8,11,68.55433651875734,1.113736483172655,False
"(0.5, 0.618)",rr3.0,8,edge,fvg,900,0.6715422300827028,-146.2678242267341,2,10,0.7372458344791527,-117.0275574750442,1,11,-263.2953817017783,0.7043966522037768,False
"(0.5, 0.618)",rr3.0,8,ce,sweep,1346,0.8610128177692133,-68.72649407704878,3,10,1.0418627980425053,20.544548544005877,7,11,-48.18194553304289,0.9510962296454916,False
"(0.5, 0.618)",rr3.0,8,ce,fvg,1346,0.478628963293277,-422.6531779948656,0,10,0.6452007142377318,-269.92546699800516,0,11,-692.5786449928707,0.5592715524068398,False
"(0.5, 0.705)",nl2.0,2,edge,sweep,5433,0.8940393111971008,-153.2893508341388,2,10,1.1375405529881035,181.4437291105183,8,11,28.154378276379532,1.01017923397571,False
"(0.5, 0.705)",nl2.0,2,edge,fvg,5433,0.6756790965374702,-846.3227906814022,0,10,0.821600015338197,-456.5757820955431,2,11,-1302.8985727769452,0.7479303731023396,False
"(0.5, 0.705)",nl2.0,2,ce,sweep,9037,0.8345772073462521,-440.59162013215916,0,10,0.9965924574217839,-8.021983512141503,5,11,-448.6136036443007,0.910592207680673,False
"(0.5, 0.705)",nl2.0,2,ce,fvg,9037,0.4909256097731093,-3158.6327914571757,0,10,0.6461323056298618,-2007.38905355132,0,11,-5166.021845008495,0.5650533616112148,False
"(0.5, 0.705)",nl2.0,3,edge,sweep,3998,1.0633479756794826,62.88602400182483,7,10,1.2950404219797955,270.03381337606265,11,11,332.91983737788746,1.1744907543689176,False
"(0.5, 0.705)",nl2.0,3,edge,fvg,3998,0.7351452709089976,-517.3526024933136,0,10,0.8457322650731605,-293.1279870686199,2,11,-810.4805895619336,0.7896751172347893,False
"(0.5, 0.705)",nl2.0,3,ce,sweep,6368,0.9100924636018303,-160.91476410040855,3,10,1.1061503019516519,169.30526907535958,7,11,8.390504974951057,1.0024789226213693,False
"(0.5, 0.705)",nl2.0,3,ce,fvg,6368,0.5196953381347534,-2090.0913589670354,0,10,0.6760353393746248,-1297.8824245178384,0,11,-3387.973783484874,0.5946353352727436,False
"(0.5, 0.705)",nl2.0,5,edge,sweep,2396,1.2051210664846193,113.13847518539114,8,10,1.2499026495065495,147.81555407262158,8,11,260.9540292580128,1.2282938926167752,False
"(0.5, 0.705)",nl2.0,5,edge,fvg,2396,0.6749350630543096,-390.60898851849976,0,10,0.7720372784063548,-283.0178079256695,1,11,-673.6267964441693,0.724278591480202,False
"(0.5, 0.705)",nl2.0,5,ce,sweep,3610,1.0637678480951376,59.23290103613966,7,10,1.0977819956752863,88.69082046904782,8,11,147.92372150518747,1.0805724443326175,False
"(0.5, 0.705)",nl2.0,5,ce,fvg,3610,0.4761132775291213,-1308.903220781366,0,10,0.64116608865229,-836.0704265084307,0,11,-2144.9736472897966,0.5557600153884255,False
"(0.5, 0.705)",nl2.0,8,edge,sweep,1326,1.0909194258673687,30.537793735471908,6,10,1.2930693422595714,99.00284382500753,9,11,129.54063756047944,1.1922848706765572,False
"(0.5, 0.705)",nl2.0,8,edge,fvg,1326,0.5579057718645128,-309.2385235937801,1,10,0.6653487034367892,-241.73451029461026,1,11,-550.9730338883904,0.6124910344554473,False
"(0.5, 0.705)",nl2.0,8,ce,sweep,1882,1.0686119962555465,32.07965833520183,6,10,1.0964914040674738,46.002268065814626,7,11,78.08192640101646,1.0826874827534831,False
"(0.5, 0.705)",nl2.0,8,ce,fvg,1882,0.4325228310179096,-740.9554091926785,0,10,0.5340094694815103,-587.147280088997,1,11,-1328.1026892816756,0.4823622650278693,False
"(0.5, 0.705)",rr1.5,2,edge,sweep,5433,0.9606073836863636,-63.95359866490247,4,10,1.1673297605436324,263.23857857612916,10,11,199.28497991122663,1.0623415368300613,False
"(0.5, 0.705)",rr1.5,2,edge,fvg,5433,0.6375373375323322,-743.933279446023,0,10,0.7513118972808046,-500.5329786548457,0,11,-1244.4662581008686,0.6938683939405915,False
"(0.5, 0.705)",rr1.5,2,ce,sweep,9037,0.907609040493412,-267.7440003029333,1,10,1.0255281400971155,68.57166143007728,6,11,-199.172338872856,0.9643320254460841,False
"(0.5, 0.705)",rr1.5,2,ce,fvg,9037,0.3736910155683416,-2815.9431903107625,0,10,0.46154774952235816,-2186.0053264619523,0,11,-5001.948516772714,0.4153793019524092,False
"(0.5, 0.705)",rr1.5,3,edge,sweep,3998,1.0978754757717883,109.92283673531256,9,10,1.2955267911287132,320.0761609614919,11,11,429.99899769680445,1.1949084772236036,False
"(0.5, 0.705)",rr1.5,3,edge,fvg,3998,0.6538989015388154,-519.2479210252185,0,10,0.7655434672897306,-341.39303720443297,0,11,-860.6409582296515,0.7088870849616724,False
"(0.5, 0.705)",rr1.5,3,ce,sweep,6368,0.9381233971704004,-124.00745352980799,3,10,1.1186655007815942,214.26524134772146,10,11,90.2577878179134,1.0236913704860822,False
"(0.5, 0.705)",rr1.5,3,ce,fvg,6368,0.36628294732357874,-2030.0630785733151,0,10,0.4849048829680009,-1444.229467704336,0,11,-3474.292546277651,0.4216484555222845,False
"(0.5, 0.705)",rr1.5,5,edge,sweep,2396,1.1422667970782006,91.98010810598458,8,10,1.3184295929049912,204.27119177794512,11,11,296.25129988392973,1.2300037500490109,False
"(0.5, 0.705)",rr1.5,5,edge,fvg,2396,0.6346104223344677,-330.8867445490908,0,10,0.7845900205294275,-186.9680760624359,1,11,-517.8548206115266,0.7080100296058188,False
"(0.5, 0.705)",rr1.5,5,ce,sweep,3610,0.9770576993553906,-25.02838577476252,4,10,1.1022089876197467,105.5719671771415,9,11,80.54358140237899,1.0379237344667327,False
"(0.5, 0.705)",rr1.5,5,ce,fvg,3610,0.3456823864582205,-1205.0615858217918,0,10,0.4977756542771441,-798.2789502407675,0,11,-2003.3405360625593,0.41613897535971495,False
"(0.5, 0.705)",rr1.5,8,edge,sweep,1326,1.1973807917277024,68.54445610600266,9,10,1.2885246431659143,102.83312014889881,10,11,171.3775762549015,1.2435446467890712,False
"(0.5, 0.705)",rr1.5,8,edge,fvg,1326,0.6390245826276469,-179.5836461488351,1,10,0.7415399421926859,-128.1710640057443,1,11,-307.75471015457947,0.6902000812455052,False
"(0.5, 0.705)",rr1.5,8,ce,sweep,1882,0.9503117865010035,-28.13355049937077,4,10,1.0686197883952688,37.228160376566734,7,11,9.094609877195964,1.0082027292095568,False
"(0.5, 0.705)",rr1.5,8,ce,fvg,1882,0.3590308370146631,-604.0149259064134,0,10,0.4383103353540874,-492.39931719052714,0,11,-1096.4142430969405,0.3972386873558001,False
"(0.5, 0.705)",rr2.0,2,edge,sweep,5433,0.9864154613968045,-24.412237018018107,4,10,1.1362175781267503,245.11308778018568,10,11,220.70085076216753,1.0613657295700276,False
"(0.5, 0.705)",rr2.0,2,edge,fvg,5433,0.6836824424128147,-732.1598534184347,0,10,0.7996223889775789,-455.2916577403856,0,11,-1187.4515111588203,0.7411156971084092,False
"(0.5, 0.705)",rr2.0,2,ce,sweep,9037,0.8936083233675083,-347.0544307937965,2,10,1.006156803813239,18.800014919861496,4,11,-328.25441587393505,0.9480246584871782,False
"(0.5, 0.705)",rr2.0,2,ce,fvg,9037,0.46277851060107517,-2632.847023995406,0,10,0.5758761001912325,-1862.3012202393406,0,11,-4495.148244234746,0.516223974855212,False
"(0.5, 0.705)",rr2.0,3,edge,sweep,3998,1.1108933622582635,138.86748686970606,10,10,1.2351480656962226,294.9009012378898,11,11,433.76838810759585,1.1730664670976312,False
"(0.5, 0.705)",rr2.0,3,edge,fvg,3998,0.7166696029799582,-476.6821873053222,0,10,0.8130011361914431,-307.6517162899588,0,11,-784.3339035952808,0.7642966462338433,False
"(0.5, 0.705)",rr2.0,3,ce,sweep,6368,0.9384184695558485,-137.7328213104335,4,10,1.0854308958255074,176.46837970341912,7,11,38.735558392985524,1.0090036206064816,False
"(0.5, 0.705)",rr2.0,3,ce,fvg,6368,0.46386543168358485,-1850.9971770647394,0,10,0.5975708955638701,-1224.24976172798,0,11,-3075.24693879272,0.5264943577401073,False
"(0.5, 0.705)",rr2.0,5,edge,sweep,2396,1.1926908467470922,136.33850941363966,9,10,1.2527413536858076,187.1653112920768,10,11,323.5038207057165,1.2234001348136778,False
"(0.5, 0.705)",rr2.0,5,edge,fvg,2396,0.6878390422538581,-317.4163498122466,0,10,0.820430355956786,-177.22675514796762,0,11,-494.64310496021426,0.7531460230705352,False
"(0.5, 0.705)",rr2.0,5,ce,sweep,3610,1.0137477476423054,16.447829903897972,5,10,1.082649465108535,96.45680765948919,7,11,112.90463756338717,1.0477708937552945,False
"(0.5, 0.705)",rr2.0,5,ce,fvg,3610,0.4293177674737884,-1134.9956843132204,0,10,0.6032824473128199,-685.2992442644261,0,11,-1820.2949285776463,0.5101814296855297,False
"(0.5, 0.705)",rr2.0,8,edge,sweep,1326,1.2227624982920557,85.49249550322132,8,10,1.3065719878823632,121.77322075372828,10,11,207.26571625694962,1.265387628731532,False
"(0.5, 0.705)",rr2.0,8,edge,fvg,1326,0.6654700486136719,-190.0836461488322,1,10,0.7832351062475337,-121.17106400574922,3,11,-311.2547101545814,0.7238712873694579,False
"(0.5, 0.705)",rr2.0,8,ce,sweep,1882,1.0009631164927262,0.586725191157301,4,10,1.0734715885777704,44.599843865321915,7,11,45.186569056479215,1.0371529904162555,False
"(0.5, 0.705)",rr2.0,8,ce,fvg,1882,0.43487219854223297,-580.2223294825956,0,10,0.5282391386819387,-447.9196112141762,0,11,-1028.1419406967718,0.4797308577412849,False
"(0.5, 0.705)",rr3.0,2,edge,sweep,5433,0.9478300038174591,-106.05956887967766,3,10,1.1565414770261884,316.3200805218987,9,11,210.26051164222105,1.0518695564071339,False
"(0.5, 0.705)",rr3.0,2,edge,fvg,5433,0.7139170763504563,-761.2310377645638,0,10,0.8403260387936572,-417.6924761789719,1,11,-1178.9235139435357,0.7765829504699001,False
"(0.5, 0.705)",rr3.0,2,ce,sweep,9037,0.9342306970732722,-237.75048461542968,3,10,1.019979683102767,68.63922449517014,7,11,-169.1112601202595,0.9760138351548909,False
"(0.5, 0.705)",rr3.0,2,ce,fvg,9037,0.5505470691725919,-2477.012808500575,0,10,0.6805517320316901,-1578.925255562771,0,11,-4055.9380640633462,0.6120143879221647,False
"(0.5, 0.705)",rr3.0,3,edge,sweep,3998,1.081539352831307,115.77906927522525,8,10,1.2497368919543284,351.0571072014498,11,11,466.83617647667506,1.1652152326865504,False
"(0.5, 0.705)",rr3.0,3,edge,fvg,3998,0.7521123966843785,-482.03731625607065,0,10,0.8660011084359925,-252.03486099378398,1,11,-734.0721772498547,0.8081084259484504,False
"(0.5, 0.705)",rr3.0,3,ce,sweep,6368,0.9745139849684272,-63.084951033820076,4,10,1.1159893760103508,268.0143339116462,8,11,204.92938287782607,1.042818891785227,False
"(0.5, 0.705)",rr3.0,3,ce,fvg,6368,0.5380771763561957,-1803.3576810418558,0,10,0.7074809982084705,-1000.873797051411,0,11,-2804.2314780932666,0.6172007145069073,False
"(0.5, 0.705)",rr3.0,5,edge,sweep,2396,1.2003427540870546,157.76918206818314,9,10,1.222782075353672,186.13861523534882,8,11,343.907797303532,1.2118943870101266,False
"(0.5, 0.705)",rr3.0,5,edge,fvg,2396,0.7463304878139734,-293.7714787629951,0,10,0.8263658421214944,-199.59495589164345,2,11,-493.3664346546386,0.7861994930247584,False
"(0.5, 0.705)",rr3.0,5,ce,sweep,3610,1.042274560308408,55.709332314921944,6,10,1.0489675875318616,64.60000272162453,6,11,120.30933503654649,1.0456229039068077,False
"(0.5, 0.705)",rr3.0,5,ce,fvg,3610,0.487088421304,-1151.2188101073752,0,10,0.6953617634831193,-595.9798732878031,0,11,-1747.1986833951783,0.5840825987146617,False
"(0.5, 0.705)",rr3.0,8,edge,sweep,1326,1.171033285554036,73.60878823079592,6,10,1.365889779227664,159.09947203538547,10,11,232.7082602661814,1.2689628569211822,False
"(0.5, 0.705)",rr3.0,8,edge,fvg,1326,0.6817821535627525,-208.49165377514285,2,10,0.7900761071697425,-135.83037414696923,2,11,-344.32202792211206,0.7355906890347337,False
