risk_pct,month,year,trades,start_equity,end_equity,pnl_usd,return_pct,max_dd_usd
0.02,2021-06,2021,26,5000.0,5967.115282184257,967.115282184257,19.34230564368513,-271.08584009670903
0.02,2021-07,2021,32,5000.0,5607.590216965568,607.5902169655683,12.151804339311356,-363.11758531614487
0.02,2021-08,2021,26,5000.0,5474.499518031816,474.49951803181557,9.489990360636313,-423.67081694915305
0.02,2021-09,2021,41,5000.0,6934.206588133208,1934.2065881332082,38.684131762664165,-408.4602615781632
0.02,2021-10,2021,29,5000.0,6751.460798820338,1751.460798820338,35.02921597640676,-151.15304076673692
0.02,2021-11,2021,30,5000.0,7189.797555253982,2189.797555253982,43.79595110507963,-159.85430730792996
0.02,2021-12,2021,37,5000.0,5558.810176975612,558.8101769756122,11.176203539512253,-411.9369208543385
0.02,2022-01,2022,36,5000.0,6104.159926729848,1104.159926729848,22.08319853459695,-398.0855191973078
0.02,2022-02,2022,24,5000.0,5663.025098564874,663.0250985648736,13.260501971297467,-649.5297020493899
0.02,2022-03,2022,39,5000.0,6333.356782368655,1333.3567823686553,26.667135647373108,-559.8721131576276
0.02,2022-04,2022,35,5000.0,5989.7425689349575,989.7425689349575,19.794851378699143,-567.402607001759
0.02,2022-05,2022,33,5000.0,5790.655925765675,790.6559257656754,15.813118515313507,-565.2898168813554
0.02,2022-06,2022,41,5000.0,6042.128988908094,1042.1289889080936,20.842579778161863,-612.3551405958697
0.02,2022-07,2022,37,5000.0,6224.237429144789,1224.2374291447886,24.484748582895776,-241.57682987769658
0.02,2022-08,2022,43,5000.0,5718.887594594677,718.8875945946766,14.377751891893542,-473.19971056567374
0.02,2022-09,2022,38,5000.0,5575.670645321311,575.670645321311,11.513412906426224,-538.1329423468223
0.02,2022-10,2022,29,5000.0,6338.171851958154,1338.1718519581536,26.763437039163062,-277.6442803636446
0.02,2022-11,2022,27,5000.0,5850.004244285574,850.0042442855738,17.000084885711473,-368.7957448189154
0.02,2022-12,2022,39,5000.0,7224.60834186168,2224.60834186168,44.492166837233604,-396.64193370402063
0.02,2023-01,2023,26,5000.0,6042.304104127085,1042.3041041270853,20.846082082541706,-225.58184299143068
0.02,2023-02,2023,29,5000.0,5569.041031087476,569.0410310874759,11.380820621749521,-380.79922260395233
0.02,2023-03,2023,30,5000.0,7054.368580046635,2054.3685800466346,41.0873716009327,-287.56446571545894
0.02,2023-04,2023,35,5000.0,7008.88956996239,2008.88956996239,40.177791399247795,-162.70291172636007
0.02,2023-05,2023,26,5000.0,5886.245261776901,886.2452617769013,17.724905235538024,-279.45274998035984
0.02,2023-06,2023,26,5000.0,5189.734227365563,189.73422736556313,3.7946845473112667,-463.92976618258945
0.02,2023-07,2023,25,5000.0,5549.421525676332,549.4215256763318,10.988430513526627,-347.79372260460514
0.02,2023-08,2023,31,5000.0,6055.551357972154,1055.5513579721537,21.11102715944306,-277.29161774109343
0.02,2023-09,2023,31,5000.0,5603.491440176817,603.4914401768174,12.069828803536353,-325.6546205203231
0.02,2023-10,2023,35,5000.0,7017.857134692005,2017.8571346920053,40.357142693840096,-412.26971730424793
0.02,2023-11,2023,35,5000.0,6399.196631760478,1399.1966317604783,27.983932635209573,-251.33674339840763
0.02,2023-12,2023,26,5000.0,6962.882711186714,1962.882711186714,39.257654223734285,-151.06395210399296
0.02,2024-01,2024,36,5000.0,7074.451998158177,2074.451998158177,41.489039963163535,-350.28553828555505
0.02,2024-02,2024,32,5000.0,5936.843004431134,936.8430044311344,18.7368600886227,-546.1646786360616
0.02,2024-03,2024,28,5000.0,5249.275971990909,249.27597199090906,4.985519439818176,-337.34893094754443
0.02,2024-04,2024,43,5000.0,7257.519898071996,2257.519898071996,45.150397961439914,-380.5646704070987
0.02,2024-05,2024,38,5000.0,6684.552209409075,1684.5522094090747,33.69104418818149,-597.9889014833752
0.02,2024-06,2024,35,5000.0,6018.775027780123,1018.7750277801233,20.375500555602464,-522.1654659884471
0.02,2024-07,2024,34,5000.0,5991.467194717566,991.4671947175657,19.829343894351315,-401.29233147492323
0.02,2024-08,2024,33,5000.0,6308.363574387234,1308.3635743872337,26.16727148774467,-274.78562740991674
0.02,2024-09,2024,30,5000.0,6506.980378668541,1506.9803786685407,30.139607573370817,-294.60946618548496
0.02,2024-10,2024,37,5000.0,6692.189997943936,1692.1899979439359,33.84379995887872,-416.6207284754382
0.02,2024-11,2024,20,5000.0,5713.3043290561955,713.3043290561955,14.266086581123915,-232.3901048841517
0.02,2024-12,2024,25,5000.0,6172.51860661061,1172.5186066106098,23.450372132212195,-141.58272014190607
0.02,2025-01,2025,27,5000.0,6405.224984497628,1405.2249844976277,28.104499689952544,-352.3986182771059
0.02,2025-02,2025,28,5000.0,6364.338440675755,1364.338440675755,27.286768813515106,-403.8370654885175
0.02,2025-03,2025,39,5000.0,7165.960799900195,2165.9607999001946,43.3192159980039,-465.9066941692272
0.02,2025-04,2025,34,5000.0,7576.773627530888,2576.773627530888,51.53547255061777,-290.43812991531104
0.02,2025-05,2025,29,5000.0,6331.306706651636,1331.306706651636,26.62613413303272,-138.1318512015887
0.02,2025-06,2025,18,5000.0,6001.042004283787,1001.0420042837868,20.02084008567573,-135.74820136152175
0.02,2025-07,2025,39,5000.0,6927.770524928683,1927.7705249286828,38.55541049857365,-440.1519161263559
0.02,2025-08,2025,27,5000.0,6487.68896960741,1487.6889696074104,29.753779392148203,-335.48622405799597
0.02,2025-09,2025,33,5000.0,6466.903013499172,1466.9030134991717,29.338060269983423,-212.66482608043043
0.02,2025-10,2025,35,5000.0,7133.86017647426,2133.86017647426,42.67720352948518,-318.653376033747
0.02,2025-11,2025,18,5000.0,5570.235146053283,570.2351460532827,11.404702921065656,-135.91789447166138
0.02,2025-12,2025,24,5000.0,5986.779398929049,986.7793989290494,19.735587978580995,-352.3789009507782
0.02,2026-01,2026,22,5000.0,6027.638611681337,1027.6386116813374,20.552772233626747,-254.21729389575648
0.02,2026-02,2026,25,5000.0,6407.075437848842,1407.0754378488418,28.14150875697683,-372.20964777958943
0.02,2026-03,2026,33,5000.0,6639.949314953269,1639.949314953269,32.79898629906539,-276.4761962770599
0.02,2026-04,2026,34,5000.0,7601.07090248944,2601.0709024894404,52.021418049788814,-260.10145847713375
0.02,2026-05,2026,31,5000.0,7155.996216614395,2155.996216614395,43.11992433228791,-292.93152778853073
0.02,2026-06,2026,17,5000.0,5683.3488251406625,683.3488251406625,13.666976502813256,-125.55848147805682
0.03,2019-09,2019,5,5000.0,5376.551289186025,376.5512891860253,7.531025783720513,-179.40120521691642
0.03,2019-10,2019,39,5000.0,6823.223128305232,1823.2231283052324,36.46446256610465,-748.193863528054
0.03,2019-11,2019,21,5000.0,5171.797620501266,171.79762050126556,3.4359524100253003,-706.2620610239401
0.03,2019-12,2019,31,5000.0,6500.594725469819,1500.5947254698194,30.011894509396384,-354.310247951631
0.03,2020-01,2020,24,5000.0,5320.92144599457,320.9214459945697,6.418428919891395,-427.86460535624065
0.03,2020-02,2020,29,5000.0,5803.084256566416,803.0842565664161,16.06168513132833,-642.2068878643959
0.03,2020-03,2020,22,5000.0,4253.178163997635,-746.8218360023648,-14.936436720047297,-1016.2179249564597
0.03,2020-04,2020,35,5000.0,6806.899068024836,1806.8990680248362,36.13798136049673,-425.911110191867
0.03,2020-05,2020,33,5000.0,6294.376773238055,1294.3767732380547,25.8875354647611,-500.5795269906157
0.03,2020-06,2020,31,5000.0,6293.652878129538,1293.6528781295383,25.873057562590773,-782.1184814227936
0.03,2020-07,2020,40,5000.0,6927.275398731776,1927.2753987317756,38.54550797463552,-721.4561833981916
0.03,2020-08,2020,21,5000.0,6667.6947900900395,1667.6947900900395,33.35389580180079,-217.1301032210058
0.03,2020-09,2020,35,5000.0,7571.125833178487,2571.1258331784866,51.42251666356974,-290.7636025608108
