direction,pivot_lb,impulse_atr,fib,tol,wait_h,session,atr_pad,tp,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
long,3,1.0,0.786,0.2,24,all,0.5,2.0,1837,-42.571329343428154,-6.345784877933677,0.38160043549265105,0.967839797920787,-137.0492240117423,-0.04630296102508376,4/8,"{2019: -13.15, 2020: -63.04, 2021: -28.79, 2022: 8.54, 2023: -13.92, 2024: 32.8, 2025: 18.17, 2026: 16.82}",273.8276441105243,True,False,False,False,False,long_lb3_imp1.0_fib0.786_tol0.2_wait24h_sessall_pad0.5_TP2.0R
long,3,1.0,0.786,0.2,24,all,0.5,3.0,1837,102.42878829205014,15.268281865600297,0.326619488296135,1.0716049143480335,-114.1150342541892,0.13379728591756343,5/8,"{2019: -5.08, 2020: -38.1, 2021: -37.09, 2022: 39.33, 2023: 15.09, 2024: 70.75, 2025: 35.98, 2026: 21.54}",273.8276441105243,True,False,False,False,False,long_lb3_imp1.0_fib0.786_tol0.2_wait24h_sessall_pad0.5_TP3.0R
long,3,1.0,0.786,0.2,24,all,0.5,4.0,1837,106.30695540656919,15.846370795614265,0.2874251497005988,1.070370184171987,-123.52744991565022,0.12828218186674167,5/8,"{2019: -5.91, 2020: -40.88, 2021: -36.34, 2022: 34.6, 2023: 4.15, 2024: 88.77, 2025: 49.24, 2026: 12.68}",273.8276441105243,True,False,False,False,False,long_lb3_imp1.0_fib0.786_tol0.2_wait24h_sessall_pad0.5_TP4.0R
long,3,1.0,0.786,0.2,24,london_ny,0.5,2.0,1722,-48.692823002596,-7.258310606953335,0.3797909407665505,0.9609965832473325,-145.00366105139017,-0.05005605068399581,4/8,"{2019: -17.53, 2020: -66.69, 2021: -32.88, 2022: 3.38, 2023: -8.07, 2024: 46.82, 2025: 10.25, 2026: 16.03}",256.68692210569276,True,False,False,False,False,long_lb3_imp1.0_fib0.786_tol0.2_wait24h_sesslondon_ny_pad0.5_TP2.0R
long,3,1.0,0.786,0.2,24,london_ny,0.5,3.0,1722,78.64122007894866,11.722516104937128,0.3228803716608595,1.0581860707238055,-109.87754316287102,0.10668709699452318,5/8,"{2019: -12.46, 2020: -37.75, 2021: -34.67, 2022: 24.44, 2023: 3.02, 2024: 83.4, 2025: 31.92, 2026: 20.75}",256.68692210569276,True,False,False,False,False,long_lb3_imp1.0_fib0.786_tol0.2_wait24h_sesslondon_ny_pad0.5_TP3.0R
long,3,1.0,0.786,0.2,24,london_ny,0.5,4.0,1722,120.15335356397166,17.910449771784528,0.2886178861788618,1.0847813841112468,-118.94210993017367,0.15058123470568213,5/8,"{2019: -11.29, 2020: -44.82, 2021: -32.51, 2022: 28.7, 2023: 17.73, 2024: 102.28, 2025: 51.17, 2026: 8.89}",256.68692210569276,True,False,False,False,False,long_lb3_imp1.0_fib0.786_tol0.2_wait24h_sesslondon_ny_pad0.5_TP4.0R
long,3,1.0,0.786,0.2,72,all,0.5,2.0,2154,-47.660602638937675,-7.1044042120349165,0.3788300835654596,0.9688941561508246,-154.5652232549367,-0.045963794846121744,3/8,"{2019: -14.69, 2020: -67.86, 2021: -32.67, 2022: -4.93, 2023: -12.43, 2024: 44.05, 2025: 13.35, 2026: 27.52}",321.08042755256906,True,False,False,False,False,long_lb3_imp1.0_fib0.786_tol0.2_wait72h_sessall_pad0.5_TP2.0R
long,3,1.0,0.786,0.2,72,all,0.5,3.0,2154,100.90770410310867,15.041545393117111,0.32358402971216343,1.0608986634802877,-138.9670106669551,0.10823824532834851,5/8,"{2019: -2.62, 2020: -39.46, 2021: -52.98, 2022: 29.87, 2023: 15.28, 2024: 92.82, 2025: 26.74, 2026: 31.26}",321.08042755256906,True,False,False,False,False,long_lb3_imp1.0_fib0.786_tol0.2_wait72h_sessall_pad0.5_TP3.0R
long,3,1.0,0.786,0.2,72,all,0.5,4.0,2154,79.83256145033766,11.900033873301373,0.28458681522748375,1.0456259712857354,-165.68177977454434,0.07182463810742885,5/8,"{2019: -7.14, 2020: -40.61, 2021: -57.3, 2022: 17.27, 2023: 1.71, 2024: 110.89, 2025: 41.62, 2026: 13.39}",321.08042755256906,True,False,False,False,False,long_lb3_imp1.0_fib0.786_tol0.2_wait72h_sessall_pad0.5_TP4.0R
long,3,1.0,0.786,0.2,72,london_ny,0.5,2.0,2048,-66.53730708896802,-9.918267457531064,0.375,0.9547334935305949,-183.8948409306879,-0.05393445192554028,3/8,"{2019: -19.07, 2020: -82.47, 2021: -42.79, 2022: -14.44, 2023: -0.95, 2024: 57.72, 2025: 10.79, 2026: 24.67}",305.2815426669331,True,False,False,False,False,long_lb3_imp1.0_fib0.786_tol0.2_wait72h_sesslondon_ny_pad0.5_TP2.0R
