direction,fvg_max_age_h,session,swing_lookback,require_m15_inside_h4,tp,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
short,12,all,20,True,3.0,90,78.58994863560574,11.804651983202877,0.6,2.600533239424941,-8.993751331983049,1.3125392894980172,6/8,"{2019: 5.13, 2020: 4.13, 2021: 7.75, 2022: 15.91, 2023: 44.09, 2024: -1.87, 2025: -4.2, 2026: 7.66}",13.518505825908155,False,True,False,False,False,short_age12h_sessall_sw20_inside1_TP3.0R
short,12,all,20,True,4.0,90,99.55615141890591,14.953893477349713,0.5444444444444444,2.7605206524729273,-8.993751331983049,1.6626981251051003,6/8,"{2019: 7.13, 2020: 8.13, 2021: 10.75, 2022: 21.91, 2023: 49.09, 2024: -1.91, 2025: -1.2, 2026: 5.66}",13.518505825908155,False,True,True,False,False,short_age12h_sessall_sw20_inside1_TP4.0R
short,24,all,20,True,1.0,94,-13.826658786430006,-2.076841859524425,0.6170212765957447,0.7749095594652323,-26.16265767948046,-0.0793819146727324,4/8,"{2019: 1.13, 2020: 0.84, 2021: 2.69, 2022: -7.34, 2023: -7.91, 2024: -1.71, 2025: -4.2, 2026: 2.67}",14.11932830705963,False,False,False,False,False,short_age24h_sessall_sw20_inside1_TP1.0R
short,24,all,20,True,2.0,94,30.682619217792777,4.608701851665035,0.6382978723404256,1.5085749497334338,-17.68902134722208,0.26054023912344904,6/8,"{2019: 3.13, 2020: 6.13, 2021: 5.14, 2022: 4.6, 2023: 11.09, 2024: -2.87, 2025: -1.2, 2026: 4.67}",14.11932830705963,False,True,False,False,False,short_age24h_sessall_sw20_inside1_TP2.0R
short,24,all,20,True,3.0,94,68.67301263041864,10.315072459188652,0.5957446808510638,2.0994807327093525,-16.95297088745007,0.6084522015444905,6/8,"{2019: 5.13, 2020: 4.13, 2021: 9.14, 2022: 16.6, 2023: 32.09, 2024: -1.87, 2025: -4.2, 2026: 7.66}",14.11932830705963,False,True,False,False,False,short_age24h_sessall_sw20_inside1_TP3.0R
short,24,all,20,True,4.0,94,87.6392154137188,13.16390271275975,0.5319148936170213,2.2136025165081894,-12.728769936004738,1.034184982440777,6/8,"{2019: 7.13, 2020: 8.13, 2021: 13.14, 2022: 18.6, 2023: 38.09, 2024: -1.91, 2025: -1.2, 2026: 5.66}",14.11932830705963,False,True,False,False,False,short_age24h_sessall_sw20_inside1_TP4.0R
short,72,all,20,True,1.0,97,-16.970015429791047,-2.548991693926462,0.6185567010309279,0.7406272208030329,-29.844475861303103,-0.08540916267963451,4/8,"{2019: 1.13, 2020: 1.38, 2021: 2.69, 2022: -7.34, 2023: -7.59, 2024: -5.71, 2025: -4.2, 2026: 2.67}",14.569945167923235,False,False,False,False,False,short_age72h_sessall_sw20_inside1_TP1.0R
short,72,all,20,True,2.0,97,27.539262574431742,4.136552017262999,0.6288659793814433,1.4236001963393639,-20.689021347226628,0.19993947262360506,6/8,"{2019: 3.13, 2020: 7.66, 2021: 5.14, 2022: 4.6, 2023: 9.41, 2024: -5.87, 2025: -1.2, 2026: 4.67}",14.569945167923235,False,True,False,False,False,short_age72h_sessall_sw20_inside1_TP2.0R
short,72,all,20,True,3.0,97,67.5296559870576,10.143333865362353,0.5876288659793815,2.020990535692671,-18.95297088745462,0.5351843742912329,6/8,"{2019: 5.13, 2020: 6.66, 2021: 9.14, 2022: 16.6, 2023: 30.41, 2024: -3.87, 2025: -4.2, 2026: 7.66}",14.569945167923235,False,True,False,False,False,short_age72h_sessall_sw20_inside1_TP3.0R
short,72,all,20,True,4.0,97,88.49585877035777,13.292575359509188,0.5257731958762887,2.1815845114548997,-12.986768104154436,1.0235476026754435,6/8,"{2019: 7.13, 2020: 11.66, 2021: 13.14, 2022: 18.6, 2023: 36.41, 2024: -2.91, 2025: -1.2, 2026: 5.66}",14.569945167923235,False,True,False,False,False,short_age72h_sessall_sw20_inside1_TP4.0R
