cfg,n,pf_close,pf_honest,net_close,net_honest,wr_honest,posY_h,oos_h
s_a4_ny_sw30_in0_tp3.0,60,1.97,1.86,33.0,31.0,52.0,6/8,1.1
s_a4_ny_sw30_in0_tp4.0,60,2.18,2.06,42.0,39.0,50.0,7/8,1.31
s_a4_ny_sw30_in1_tp2.0,63,1.27,1.17,11.0,7.0,51.0,5/8,0.9
s_a4_ny_sw30_in1_tp3.0,63,1.33,1.17,15.0,8.0,41.0,5/8,0.7
s_a4_ny_sw30_in1_tp4.0,63,1.48,1.29,23.0,15.0,40.0,5/8,0.87
s_a4_overlap_sw20_in1_tp2.0,16,2.04,2.04,9.0,9.0,69.0,5/7,0.0
s_a4_overlap_sw20_in1_tp3.0,16,2.42,3.05,14.0,18.0,69.0,5/7,0.0
s_a4_overlap_sw20_in1_tp4.0,16,3.21,3.21,22.0,22.0,62.0,4/7,0.0
s_a4_overlap_sw30_in0_tp2.0,18,2.65,2.54,12.0,12.0,67.0,3/6,0.0
s_a4_overlap_sw30_in0_tp3.0,18,3.07,3.15,17.0,19.0,61.0,3/6,0.0
s_a4_overlap_sw30_in0_tp4.0,18,3.77,3.08,23.0,21.0,56.0,3/6,0.0
s_a4_overlap_sw30_in1_tp2.0,22,1.63,1.92,8.0,11.0,68.0,5/7,0.0
s_a4_overlap_sw30_in1_tp3.0,22,2.03,2.12,15.0,16.0,59.0,5/7,0.0
s_a4_overlap_sw30_in1_tp4.0,22,2.52,2.23,22.0,19.0,55.0,4/7,0.0
s_a12_all_sw10_in0_tp2.0,65,1.65,1.33,26.0,17.0,63.0,5/8,1.41
s_a12_all_sw10_in0_tp3.0,65,2.71,1.67,63.0,37.0,57.0,7/8,1.58
s_a12_all_sw10_in0_tp4.0,65,3.28,2.21,92.0,67.0,55.0,7/8,1.99
s_a12_all_sw10_in1_tp2.0,67,1.11,0.83,6.0,-12.0,57.0,5/8,0.92
s_a12_all_sw10_in1_tp3.0,67,1.79,1.03,41.0,3.0,49.0,5/8,1.1
s_a12_all_sw10_in1_tp4.0,67,2.35,1.34,73.0,28.0,48.0,5/8,1.4
s_a12_all_sw20_in0_tp2.0,85,3.31,2.35,67.0,52.0,64.0,8/8,1.85
s_a12_all_sw20_in0_tp3.0,85,4.08,3.18,101.0,89.0,61.0,8/8,2.42
s_a12_all_sw20_in0_tp4.0,85,3.5,3.05,110.0,100.0,53.0,8/8,2.29
s_a12_all_sw20_in1_tp2.0,90,1.95,1.41,44.0,26.0,61.0,6/8,1.33
s_a12_all_sw20_in1_tp3.0,90,2.6,1.93,79.0,63.0,58.0,6/8,1.7
s_a12_all_sw20_in1_tp4.0,90,2.76,1.9,100.0,69.0,49.0,6/8,1.64
s_a12_all_sw30_in0_tp2.0,102,2.19,2.05,56.0,53.0,62.0,7/8,1.37
s_a12_all_sw30_in0_tp3.0,102,2.39,2.26,76.0,73.0,55.0,7/8,1.33
s_a12_all_sw30_in0_tp4.0,102,2.33,2.25,84.0,82.0,49.0,7/8,1.34
s_a12_all_sw30_in1_tp2.0,116,1.09,0.96,8.0,-4.0,53.0,4/8,1.06
s_a12_all_sw30_in1_tp3.0,116,1.27,1.04,26.0,5.0,45.0,4/8,0.88
s_a12_all_sw30_in1_tp4.0,116,1.44,1.12,45.0,15.0,41.0,5/8,1.01
s_a12_london_sw10_in0_tp2.0,42,2.2,1.3,24.0,9.0,57.0,4/7,1.05
s_a12_london_sw10_in0_tp3.0,42,2.59,1.77,37.0,25.0,52.0,4/7,1.42
s_a12_london_sw10_in0_tp4.0,42,2.62,1.56,47.0,22.0,40.0,4/7,1.95
s_a12_london_sw10_in1_tp2.0,46,1.1,0.66,4.0,-20.0,52.0,2/7,0.73
s_a12_london_sw10_in1_tp3.0,46,1.73,0.87,28.0,-8.0,46.0,4/7,1.04
s_a12_london_sw10_in1_tp4.0,46,2.0,0.97,43.0,-2.0,39.0,3/7,1.46
s_a12_london_sw20_in0_tp2.0,49,2.18,1.79,28.0,22.0,55.0,5/7,1.06
s_a12_london_sw20_in0_tp3.0,49,2.6,2.67,41.0,46.0,55.0,6/7,1.5
s_a12_london_sw20_in0_tp4.0,49,2.62,2.54,50.0,49.0,47.0,6/7,1.7
s_a12_london_sw20_in1_tp2.0,59,1.69,1.04,23.0,2.0,53.0,3/7,0.71
s_a12_london_sw20_in1_tp3.0,59,2.45,1.57,48.0,29.0,53.0,5/7,1.05
s_a12_london_sw20_in1_tp4.0,59,2.77,1.75,66.0,40.0,47.0,5/7,1.41
s_a12_london_sw30_in0_tp2.0,56,1.99,1.83,29.0,26.0,57.0,5/7,1.04
s_a12_london_sw30_in0_tp3.0,56,2.4,2.55,44.0,49.0,55.0,5/7,1.31
s_a12_london_sw30_in0_tp4.0,56,2.27,2.0,48.0,40.0,43.0,4/7,1.33
s_a12_london_sw30_in1_tp2.0,67,1.61,1.24,24.0,12.0,57.0,4/7,1.02
s_a12_london_sw30_in1_tp3.0,67,2.26,1.58,50.0,32.0,52.0,5/7,1.04
s_a12_london_sw30_in1_tp4.0,67,2.53,1.57,67.0,35.0,45.0,4/7,1.27
s_a12_ny_sw10_in0_tp2.0,52,1.32,1.0,12.0,0.0,58.0,4/8,1.14
s_a12_ny_sw10_in0_tp3.0,52,2.27,1.3,42.0,16.0,52.0,6/8,1.24
s_a12_ny_sw10_in0_tp4.0,52,2.91,1.68,66.0,36.0,50.0,8/8,1.69
s_a12_ny_sw10_in1_tp2.0,55,0.77,0.54,-14.0,-38.0,47.0,4/8,0.63
s_a12_ny_sw10_in1_tp3.0,55,1.28,0.73,16.0,-23.0,44.0,4/8,0.82
s_a12_ny_sw10_in1_tp4.0,55,1.69,0.98,39.0,-1.0,44.0,4/8,1.14
s_a12_ny_sw20_in0_tp2.0,65,3.13,2.09,49.0,34.0,62.0,6/8,1.29
s_a12_ny_sw20_in0_tp3.0,65,3.62,2.71,69.0,57.0,58.0,7/8,1.7
s_a12_ny_sw20_in0_tp4.0,65,3.15,2.75,75.0,66.0,52.0,6/8,1.72
s_a12_ny_sw20_in1_tp2.0,73,1.3,0.93,16.0,-5.0,55.0,5/8,0.92
s_a12_ny_sw20_in1_tp3.0,73,1.65,1.27,36.0,20.0,52.0,5/8,1.3
s_a12_ny_sw20_in1_tp4.0,73,1.74,1.33,45.0,25.0,45.0,4/8,1.35
s_a12_ny_sw30_in0_tp2.0,73,2.04,1.77,36.0,30.0,60.0,7/8,1.06
s_a12_ny_sw30_in0_tp3.0,73,1.99,1.73,40.0,34.0,51.0,6/8,0.92
s_a12_ny_sw30_in0_tp4.0,73,2.05,1.96,48.0,46.0,49.0,7/8,1.11
s_a12_ny_sw30_in1_tp2.0,89,0.87,0.73,-10.0,-25.0,46.0,2/8,0.62
s_a12_ny_sw30_in1_tp3.0,89,0.98,0.75,-2.0,-25.0,37.0,4/8,0.54
s_a12_ny_sw30_in1_tp4.0,89,1.06,0.87,5.0,-13.0,36.0,4/8,0.69
s_a12_overlap_sw10_in0_tp2.0,26,1.23,0.82,4.0,-5.0,50.0,3/6,1.2
s_a12_overlap_sw10_in0_tp3.0,26,1.99,1.0,16.0,0.0,42.0,3/6,1.46
s_a12_overlap_sw10_in0_tp4.0,26,2.08,1.2,21.0,6.0,38.0,4/6,2.03
s_a12_overlap_sw10_in1_tp2.0,30,0.67,0.46,-11.0,-26.0,47.0,3/7,0.69
s_a12_overlap_sw10_in1_tp3.0,30,1.13,0.6,4.0,-20.0,40.0,3/7,0.93
s_a12_overlap_sw10_in1_tp4.0,30,1.37,0.84,12.0,-8.0,40.0,3/7,1.32
s_a12_overlap_sw20_in0_tp2.0,27,2.38,1.65,16.0,10.0,56.0,1/6,0.74
s_a12_overlap_sw20_in0_tp3.0,27,2.63,2.01,21.0,17.0,52.0,2/6,1.09
s_a12_overlap_sw20_in0_tp4.0,27,2.63,2.63,28.0,28.0,52.0,2/6,1.43
s_a12_overlap_sw20_in1_tp2.0,39,0.92,0.7,-3.0,-15.0,51.0,3/7,0.62
s_a12_overlap_sw20_in1_tp3.0,39,1.16,0.96,6.0,-2.0,49.0,4/7,0.95
s_a12_overlap_sw20_in1_tp4.0,39,1.34,1.17,14.0,9.0,46.0,4/7,1.29
s_a12_overlap_sw30_in0_tp2.0,31,2.57,1.83,20.0,14.0,61.0,3/6,0.86
s_a12_overlap_sw30_in0_tp3.0,31,2.63,2.13,24.0,22.0,55.0,3/6,0.96
