rule,n_flags,trades,net_r,r_per_year,wr_pct,pf,max_dd_r,mar,positive_years,total_years,positive_months,total_months
orb_reversal + ob_overlap_30d + risk_ge_15,3,101,-24.594307171065918,-3.934765963307852,37.62376237623762,0.5983854212633384,-27.364612454708006,-0.14379030471637053,0,5,2,19
orb_reversal + ob_overlap_30d + dir_demand,3,601,-88.71367887309825,-13.220184091554115,46.089850249584025,0.7416443606953712,-94.91636254757405,-0.1392824560141344,0,8,32,81
orb_reversal + ob_overlap_30d + dir_supply,3,534,-93.18338108159676,-13.857992646601474,45.88014981273408,0.7045065795017421,-98.36223652094135,-0.14088732766513604,2,8,26,80
orb_reversal + ob_fvg_bos_overlap_30d + risk_ge_10,3,137,-38.75373653325929,-6.202805551609534,36.496350364963504,0.5543516911057093,-39.7305858332262,-0.1561216735551431,1,7,8,34
orb_reversal + ob_fvg_bos_overlap_30d + risk_ge_15,3,80,-24.330636638574205,-3.9235165705250457,35.0,0.5236414511556852,-26.304853922641573,-0.14915561143443293,0,5,1,17
orb_reversal + ob_fvg_bos_overlap_30d + dir_demand,3,459,-62.42752736137511,-9.36028504463968,46.84095860566449,0.7593312095831595,-66.18632560630401,-0.14142324655273122,2,8,30,79
orb_reversal + ob_fvg_bos_overlap_30d + dir_supply,3,349,-58.11110283236013,-8.64213367651447,46.13180515759313,0.7150846094817908,-65.97650751896262,-0.13098804410085807,2,8,26,74
orb_reversal + risk_ge_10 + risk_ge_15,3,190,-35.31142120084274,-5.644418640528582,40.526315789473685,0.6801571614245425,-36.30452229284127,-0.155474257311508,0,6,2,24
orb_reversal + risk_ge_10 + dir_demand,3,226,-47.366718025494265,-7.515505542489913,39.38053097345133,0.6462452955485143,-48.35981911749287,-0.1554080573426169,0,7,9,42
orb_reversal + risk_ge_10 + dir_supply,3,140,-15.754928711412099,-2.4476766107372474,45.0,0.7965314077388903,-25.249182569337474,-0.09694082586696086,1,7,15,35
orb_reversal + risk_ge_15 + dir_demand,3,122,-17.0171983811572,-2.908531450031665,42.62295081967213,0.7478130400622122,-18.010299473155783,-0.16149267558636707,0,5,5,21
orb_reversal + risk_ge_15 + dir_supply,3,68,-18.29422281968553,-2.931972305787687,36.76470588235294,0.5737987870059899,-21.19388632594133,-0.13834047520576492,0,5,1,16
orb_inside + ny_main_or_overlap + avoid_after_hours,3,1275,-117.32161370687446,-17.4477684879625,49.09803921568627,0.8310499559613405,-126.94406984971424,-0.13744453371172402,1,8,26,82
orb_inside + ny_main_or_overlap + recent_fvg_20,3,1120,-103.35753357634061,-15.3710664245759,49.107142857142854,0.8304896972632669,-112.79007270920302,-0.13628031311058558,0,8,27,82
orb_inside + ny_main_or_overlap + zone_fvg_overlap_100,3,1136,-111.82961830462612,-16.631013064236438,48.767605633802816,0.8203445596259668,-120.43173687907601,-0.1380949365609119,1,8,25,82
orb_inside + ny_main_or_overlap + opposite_fvg_20,3,1108,-84.12089868216754,-12.510243584552807,49.81949458483754,0.8583376273427519,-96.51332879029087,-0.1296219262288187,1,8,35,82
