run,net_r,max_drawdown_r
523,256.1066749737152,-8.648177175767046
524,256.1066749737152,-7.652841047082149
525,256.1066749737154,-8.01301894886197
526,256.1066749737155,-10.636616192413356
527,256.1066749737152,-6.745328575125598
528,256.10667497371526,-8.601042497966134
529,256.1066749737154,-9.424328210878258
530,256.10667497371514,-12.237948688013148
531,256.106674973715,-8.566688281356278
532,256.10667497371503,-7.699368769160884
533,256.1066749737154,-9.714838926834327
534,256.10667497371503,-11.694837771705323
535,256.10667497371526,-7.596961249065998
536,256.1066749737151,-6.254102692586798
537,256.10667497371526,-9.193301059426744
538,256.10667497371514,-7.754029053095103
539,256.1066749737153,-9.686105469428345
540,256.10667497371526,-8.36798581001943
541,256.1066749737152,-8.74284589735161
542,256.1066749737152,-8.024845243987215
543,256.10667497371514,-8.54536045970525
544,256.1066749737155,-7.2258166331044436
545,256.1066749737155,-10.911974495481559
546,256.1066749737154,-9.70440088683769
547,256.1066749737151,-15.326274682448002
548,256.10667497371526,-11.606963827349091
549,256.1066749737152,-12.57788169021589
550,256.1066749737154,-7.342878527213827
551,256.1066749737149,-9.40040014504558
552,256.1066749737153,-7.34890215157057
553,256.10667497371514,-7.718353417770842
554,256.10667497371503,-9.901128969231024
555,256.10667497371537,-9.802505172886782
556,256.1066749737153,-7.5781863969176015
557,256.10667497371503,-9.709265320316149
558,256.106674973715,-7.592246194930766
559,256.10667497371514,-7.6199669326440045
560,256.10667497371526,-12.17960418707662
561,256.1066749737153,-10.354614559229688
562,256.10667497371514,-10.416219825006124
563,256.10667497371526,-9.660556045920423
564,256.10667497371503,-9.532060433050233
565,256.10667497371554,-7.835453417099316
566,256.10667497371514,-9.503799347108185
567,256.10667497371503,-12.438326000178794
568,256.1066749737153,-7.469450335216607
569,256.10667497371526,-11.17433750798915
570,256.1066749737152,-8.870662090055731
571,256.10667497371537,-7.597364820735564
572,256.1066749737151,-15.20576239742698
573,256.10667497371526,-7.454964754510314
574,256.10667497371526,-8.638755769104023
