name,trades,net_r,years,avg_r_year,wr,pf,expectancy_r,max_dd_r,positive_years,negative_years,positive_months,negative_months,worst_year_r,best_year_r,worst_month_r,best_month_r,window_months,start_month,end_month
6m_2026-01_2026-06,201,75.68843889927527,1,75.68843889927527,0.6965174129353234,2.2341755308731517,0.37655939750883216,-5.201331928203892,1,0,6,0,75.68843889927527,75.68843889927527,6.497283874479908,20.272278792009963,6,2026-01,2026-06
12m_2019-06_2020-08,106,22.676675921499918,2,11.338337960749959,0.6226415094339622,1.5541568550689293,0.21393090491981054,-6.510079201351881,2,0,6,6,1.5916729139630694,21.085003007536848,-2.6034085529281628,9.389592167658845,12,2019-06,2020-08
12m_2019-08_2020-09,116,24.324027052482407,2,12.162013526241203,0.6206896551724138,1.5397614533969173,0.20968988838346903,-6.51007920135188,2,0,7,5,2.69936874152845,21.624658310953954,-2.6034085529281628,9.389592167658845,12,2019-08,2020-09
12m_2019-09_2020-10,119,27.17866634069486,2,13.58933317034743,0.6302521008403361,1.6030018426079542,0.22839215412348624,-6.51007920135188,2,0,8,4,2.8375523291343026,24.341114011560556,-2.6034085529281628,9.389592167658845,12,2019-09,2020-10
12m_2019-10_2020-11,126,27.88007867483896,2,13.94003933741948,0.626984126984127,1.5784349002226254,0.22127046567332506,-6.51007920135188,2,0,9,3,2.905854845845724,24.974223828993235,-2.6034085529281628,9.389592167658845,12,2019-10,2020-11
12m_2020-01_2020-12,132,27.11167659712747,1,27.11167659712747,0.6212121212121212,1.5283412308984403,0.2053914893721778,-5.521388970922148,1,0,9,3,27.111676597127474,27.111676597127474,-2.6034085529281628,9.389592167658845,12,2020-01,2020-12
12m_2020-02_2021-01,139,30.054805349598638,2,15.027402674799319,0.6258992805755396,1.5650781565998655,0.21622162122013408,-5.521388970922148,2,0,10,2,0.3397201995430057,29.715085150055636,-0.8340473107146608,9.389592167658845,12,2020-02,2021-01
12m_2020-03_2021-02,148,30.009371570277757,2,15.004685785138879,0.6216216216216216,1.5234877426047633,0.20276602412349837,-5.521388970922148,2,0,10,2,0.11839003258696446,29.89098153769079,-0.8340473107146608,9.389592167658845,12,2020-03,2021-02
12m_2020-04_2021-03,130,30.529611430513004,2,15.264805715256502,0.6384615384615384,1.6349923609867156,0.23484316485010004,-4.449790295534438,1,1,10,2,-0.19541741789244638,30.72502884840545,-0.31380745047941083,9.389592167658845,12,2020-04,2021-03
12m_2020-05_2021-04,120,26.613928033203294,2,13.306964016601647,0.6333333333333333,1.6043140622002399,0.22178273361002745,-5.864593999057977,1,1,9,3,-0.7705368892684294,27.38446492247172,-0.5751194713759831,9.389592167658845,12,2020-05,2021-04
12m_2020-06_2021-05,116,21.580823258981265,2,10.790411629490633,0.6120689655172413,1.4871076386116262,0.186041579818804,-5.864593999057977,1,1,9,3,-0.244393830498989,21.825217089480255,-0.5751194713759831,9.389592167658845,12,2020-06,2021-05
12m_2020-07_2021-06,113,18.731759833728837,2,9.365879916864419,0.6017699115044248,1.42291259774642,0.16576778613919324,-6.7136892524137295,1,1,8,4,-2.4593163747717384,21.191076208500576,-2.214922544272749,9.389592167658845,12,2020-07,2021-06
12m_2020-08_2021-08,114,16.401782207545217,2,8.200891103772609,0.5877192982456141,1.359233304793768,0.14387528252232648,-6.713689252413728,2,0,8,4,0.985516450295743,15.416265757249473,-2.214922544272749,9.389592167658845,12,2020-08,2021-08
12m_2020-09_2021-09,102,12.68682653581239,2,6.343413267906195,0.5784313725490197,1.3054162166934316,0.12438065231188618,-6.713689252413736,2,0,8,4,6.026673589590627,6.6601529462217615,-2.214922544272749,5.674636495926018,12,2020-09,2021-09
12m_2020-10_2021-10,91,12.06757322282124,2,6.03378661141062,0.5824175824175825,1.3320148462614712,0.13261069475627738,-6.713689252413736,2,0,7,5,5.487018286173519,6.580554936647722,-2.214922544272749,5.674636495926018,12,2020-10,2021-10
12m_2020-11_2021-11,86,11.290550568420855,2,5.6452752842104275,0.5813953488372093,1.3294517324864776,0.1312854717258239,-6.713689252413733,2,0,7,5,2.7705625855669185,8.519987982853937,-2.214922544272749,5.674636495926018,12,2020-11,2021-11
12m_2020-12_2021-12,79,12.575129558573652,2,6.287564779286826,0.5949367088607594,1.4176468760093262,0.15917885517181837,-6.713689252413733,2,0,7,5,2.1374527681342386,10.437676790439417,-2.214922544272749,5.674636495926018,12,2020-12,2021-12
12m_2021-01_2022-01,71,9.397551446507897,2,4.698775723253949,0.5774647887323944,1.335219083980698,0.13235987952828024,-6.713689252413733,1,1,6,6,-1.0401253439315188,10.437676790439417,-2.214922544272749,5.674636495926018,12,2021-01,2022-01
12m_2021-02_2022-02,73,12.168355552486085,2,6.084177776243043,0.6027397260273972,1.4390935369707742,0.16668980208885048,-6.713689252413733,2,0,6,6,2.070398961589677,10.09795659089641,-2.214922544272749,5.674636495926018,12,2021-02,2022-02
12m_2021-03_2022-03,83,18.526961143138095,2,9.263480571569048,0.6265060240963856,1.6223748125652,0.2232163993149168,-5.458172956837036,2,0,7,5,8.207674385285644,10.319286757852451,-2.214922544272749,6.137275423695967,12,2021-03,2022-03
12m_2021-04_2022-04,83,18.51538542619492,2,9.25769271309746,0.6265060240963856,1.6223330876649193,0.22307693284572194,-4.3096123424468145,2,0,7,5,7.882291217863058,10.633094208331862,-2.214922544272749,6.137275423695967,12,2021-04,2022-04
12m_2021-05_2022-05,87,23.431653612827713,2,11.715826806413856,0.6436781609195402,1.7831005127594766,0.2693293518715829,-4.3096123424468145,2,0,8,4,11.208213679707846,12.223439933119865,-2.214922544272749,6.137275423695967,12,2021-05,2022-05
12m_2021-06_2022-06,84,25.766346342169058,2,12.883173171084529,0.6666666666666666,1.9346757218106603,0.30674221835915544,-3.591773176672061,2,0,8,4,10.682070620938406,15.084275721230652,-2.214922544272749,6.137275423695967,12,2021-06,2022-06
12m_2021-08_2022-07,81,27.584383756325447,2,13.792191878162724,0.6790123456790124,2.1129830948659793,0.3405479476089561,-3.5917731766720618,2,0,8,4,12.896993165211155,14.687390591114294,-1.0401253439315188,6.137275423695967,12,2021-08,2022-07
12m_2021-09_2022-08,80,23.923858317229282,2,11.961929158614641,0.6625,1.9015099501182635,0.29904822896536604,-3.5917731766720618,2,0,7,5,9.452160340143672,14.471697977085606,-1.0401253439315188,6.137275423695967,12,2021-09,2022-08
12m_2021-10_2022-09,82,18.782980652158916,2,9.391490326079458,0.6219512195121951,1.6302673261038763,0.22906073966047458,-3.591773176672061,2,0,7,5,3.777523844217655,15.005456807941265,-1.0401253439315188,6.137275423695967,12,2021-10,2022-09
12m_2021-11_2022-10,86,22.622840392442782,2,11.311420196221391,0.6395348837209303,1.759452996694205,0.2630562836330556,-3.591773176672061,2,0,8,4,3.8571218537916936,18.765718538651093,-1.0401253439315188,6.137275423695967,12,2021-11,2022-10
12m_2021-12_2022-11,90,20.732048415439962,2,10.366024207719981,0.6333333333333333,1.6506045292882303,0.23035609350488848,-3.591773176672061,2,0,8,4,1.9176888075854794,18.814359607854485,-1.0401253439315188,6.137275423695967,12,2021-12,2022-11
12m_2022-01_2022-12,90,18.727747312449125,1,18.727747312449125,0.6222222222222222,1.5690352281880655,0.20808608124943473,-3.2747862551233204,1,0,7,5,18.727747312449125,18.727747312449125,-1.0401253439315188,6.137275423695967,12,2022-01,2022-12
12m_2022-02_2023-01,99,19.080859591274233,2,9.540429795637117,0.6161616161616161,1.5144235901012661,0.1927359554674165,-3.2747862551233204,1,1,7,5,-0.6870130651064115,19.767872656380643,-0.6870130651064115,6.137275423695967,12,2022-02,2023-01
12m_2022-03_2023-02,95,17.66329216917868,2,8.83164608458934,0.6105263157894737,1.490145551754123,0.1859293912545124,-3.2747862551233173,2,0,7,5,1.0059438183192335,16.657348350859447,-0.6870130651064115,6.137275423695967,12,2022-03,2023-02
12m_2022-04_2023-03,85,18.006465498754096,2,9.003232749377048,0.6235294117647059,1.5833370773326234,0.2118407705735776,-3.2058320287444353,2,0,7,5,7.4863925715906126,10.520072927163481,-0.6870130651064115,6.480448753271379,12,2022-04,2023-03
12m_2022-05_2023-04,87,22.73637443590317,2,11.368187217951585,0.6436781609195402,1.7818109762236642,0.2613376371942893,-3.2058320287444353,2,0,8,4,10.845456094586067,11.890918341317104,-0.6870130651064115,6.480448753271379,12,2022-05,2023-04
12m_2022-06_2023-05,84,17.110409664058345,2,8.555204832029172,0.6190476190476191,1.5542469409816846,0.20369535314355172,-3.205832028744436,2,0,7,5,6.50430737932926,10.606102284729085,-1.2848160565880191,6.480448753271379,12,2022-06,2023-05
12m_2022-07_2023-06,87,11.996764188221656,2,5.998382094110828,0.5862068965517241,1.3424191550878957,0.1378938412439271,-6.334239015049771,2,0,6,6,3.6434715912184736,8.353292597003177,-2.2528096877259065,6.480448753271379,12,2022-07,2023-06
12m_2022-08_2023-07,88,11.364961630578026,2,5.682480815289013,0.5909090909090909,1.3178058255151983,0.12914729125656849,-7.364161496552548,2,0,6,6,4.040356721334831,7.324604909243192,-2.2528096877259065,6.480448753271379,12,2022-08,2023-07
12m_2022-09_2023-08,84,11.48823785218081,2,5.744118926090405,0.5952380952380952,1.340985039531889,0.13676473633548583,-7.4559957549626485,2,0,6,6,4.256049335363519,7.23218851681729,-2.2528096877259065,6.480448753271379,12,2022-09,2023-08
