n,sumR,deltaR,pf,wr,combo,depth
6947,2100.4,-6178.8,1.539,49.9,atrpct_0.2_0.8 & sent_align,2
8223,2089.4,-6189.8,1.483,53.8,impulse_ge_q50 & leg_D,2
6203,2084.2,-6195.0,1.604,50.2,sent_align & pd_bear,2
7029,2082.7,-6196.5,1.537,50.8,atrpct_0.3_0.9 & sent_align,2
8615,2074.2,-6204.9,1.409,47.5,pd_bear & leg_D,2
7440,2066.7,-6212.5,1.482,48.8,atrpct_0.2_0.8 & pd_bull,2
7332,2065.9,-6213.3,1.472,47.1,sent_counter & pd_bull,2
8689,2065.8,-6213.4,1.399,47.2,pd_bull & leg_D,2
5603,2057.4,-6221.8,1.663,50.7,atrpct_0.1_0.7 & leg_A,2
7795,2056.2,-6223.0,1.441,47.2,atrpct_0.1_0.7 & sent_counter,2
7167,2043.1,-6236.1,1.501,50.7,nyh_0_7 & retr_0.3_0.6,2
5168,2036.8,-6242.4,1.696,50.3,sent_counter & leg_A,2
5492,2027.1,-6252.1,1.742,55.8,nyh_7_12 & impulse_ge_q50,2
5590,2021.0,-6258.2,1.645,50.2,pd_bull & leg_A,2
6947,2020.9,-6258.3,1.514,49.6,sent_align & pd_bull,2
7672,2002.7,-6276.5,1.444,48.0,sent_align & leg_D,2
4235,1965.9,-6313.3,1.876,53.2,nyh_7_12 & leg_A,2
4753,1964.3,-6314.9,1.795,54.1,nyh_7_12 & atrpct_0.3_0.9,2
5533,1938.9,-6340.3,1.605,49.0,nyh_0_7 & atrpct_0.3_0.9,2
6876,1930.7,-6348.5,1.495,49.1,atrpct_0.1_0.7 & sent_align,2
9068,1929.5,-6349.7,1.353,46.4,atrpct_0.1_0.7 & leg_D,2
5722,1928.0,-6351.2,1.588,49.0,dow_3,1
5722,1928.0,-6351.2,1.588,49.0,dow_3 & dow_not_fri,2
5422,1927.6,-6351.6,1.602,47.8,nyh_0_7 & atrpct_0.2_0.8,2
4267,1919.4,-6359.8,1.854,53.3,nyh_7_12 & pd_bear,2
