rule,k,n,net_r,r_per_year,wr,pf,avg_r,max_dd,mar,sharpe_trade,pos_years,years,rank_net
ema8_aligned+base_body_low,2,962,18.90284056949612,7.344960125540912,0.5644490644490644,1.0409300846550618,0.01964952242151364,-21.287966003393844,0.34502874179571397,0.31514469232867887,2,3,55
wide_zone+dir_demand,2,143,18.69624021685713,7.455023732758807,0.5804195804195804,1.3168530632149351,0.1307429385794205,-9.37565759787212,0.7951467569006342,2.156641707846803,2,3,56
wide_zone+fast_confirm_3,2,162,17.679067957005973,7.111541378079771,0.5740740740740741,1.2519971204542557,0.10913004911732083,-7.22164638565429,0.9847534756349686,1.7677305220327095,3,3,57
wide_zone+zone_fvg_overlap_100,2,207,17.295627058526858,6.896536881142942,0.5603864734299517,1.1888987443914043,0.08355375390592684,-9.007242934563806,0.7656656905165311,1.3579732219422518,3,3,58
wide_zone+stack_7d30d_score3,2,212,16.080359665998717,6.411955641927982,0.5566037735849056,1.169917312501948,0.07585075314150339,-6.947484498290667,0.9229175888777521,1.2317556046887035,3,3,59
wide_zone+stack_score3,2,185,15.806743004386995,6.302852491651037,0.5621621621621622,1.1934051797780931,0.08544185407776754,-6.04543768501761,1.0425800115798691,1.3890779840105396,3,3,60
ema8_aligned+ob_fvg_bos_overlap_30d,2,890,15.749554206890538,6.139300612664641,0.5629213483146067,1.0369840060606732,0.01769612832234892,-31.34514585249368,0.19586128715289502,0.2847227294941923,3,3,61
impulse_ge_2+orb_reversal,2,174,15.467433364381694,6.872846759538216,0.5862068965517241,1.2011425709236339,0.08889329519759595,-8.267115366536693,0.8313476291086801,1.441874072454469,3,3,62
wide_zone,1,222,15.419685456290797,6.14851540710722,0.5540540540540541,1.1542069237096804,0.06945804259590449,-6.947484498290667,0.8849987946889234,1.1259367937766616,3,3,63
wide_zone+intraday_stack_24h,2,200,14.599378355585111,5.821422428359675,0.555,1.1631722391798138,0.07299689177792555,-6.6282218723467645,0.8782781476653501,1.185459368420118,3,3,64
wide_zone+avoid_after_hours,2,193,14.31916114128809,5.709687343728684,0.5544041450777202,1.1662917811589528,0.07419254477351342,-8.919467405662852,0.6401376992648328,1.2061967559967803,3,3,65
impulse_ge_2+fast_confirm_2,2,228,13.879729515081712,5.398904372080506,0.5745614035087719,1.133795049432723,0.060876006645095224,-13.601454668250637,0.3969358060416115,0.9842083957372812,3,3,66
ema8_aligned+body_ge_60,2,1650,13.367898545177155,4.708413638983564,0.5533333333333333,1.0166565241120975,0.008101756694046761,-30.684214020590975,0.1534474253055311,0.12986187921696743,2,3,67
wide_zone+intraday_stack_7d,2,215,12.900595832094199,5.144042169948041,0.5488372093023256,1.131852211323398,0.06000277131206604,-6.947484498290667,0.7404179413734082,0.9718860624311654,3,3,68
impulse_ge_2+fast_confirm_1,2,129,12.778561073707657,4.970574475156253,0.5891472868217055,1.228129551927915,0.09905861297447796,-7.5609137591553015,0.6574039373399176,1.6105390035809988,3,3,69
wide_zone+recent_fvg_20,2,193,11.210220779964896,4.470014344849539,0.5492227979274611,1.1270599510901895,0.05808404549204609,-10.256217078640669,0.4358346074946751,0.9386692846105024,2,3,70
wide_zone+h1_stack_96,2,138,11.15104871228487,4.446419805853766,0.5579710144927537,1.1825906683507865,0.08080470081365848,-8.01317295900607,0.5548887848297843,1.3145715711456631,3,3,71
cost_le_0p03+ema8_aligned,2,132,10.04167109694659,3.660399569021699,0.5378787878787878,1.18141997916122,0.07607326588595902,-7.531598934407926,0.4860056411526712,1.279738762384592,2,3,72
ema8_aligned+risk_ge_10,2,132,10.04167109694659,3.660399569021699,0.5378787878787878,1.18141997916122,0.07607326588595902,-7.531598934407926,0.4860056411526712,1.279738762384592,2,3,73
wide_zone+fast_confirm_2,2,139,9.050237361246998,3.6405277491139496,0.5539568345323741,1.1423700336563865,0.06510962130393523,-7.918772280962515,0.4597338602432256,1.0459978673812267,3,3,74
ema8_aligned+trend_aligned,2,1588,8.082992193200422,2.9001109023246108,0.5547858942065491,1.0104130389049488,0.005090045461713112,-44.461876577303286,0.06522691180797005,0.08136360995293754,2,3,75
wide_zone+opposite_fvg_20,2,203,7.487878386818423,2.9857506340452282,0.5369458128078818,1.0791442675215575,0.03688610042767696,-8.981610976028179,0.33242929826443873,0.5970927795438232,2,3,76
cost_le_0p03+zone_fvg_overlap_100,2,176,7.322731329621126,2.6692890400639886,0.5227272727272727,1.0940003151787763,0.041606428009210945,-17.043273599572316,0.1566183294816655,0.6932525890104977,2,3,77
zone_fvg_overlap_100+risk_ge_10,2,176,7.322731329621126,2.6692890400639886,0.5227272727272727,1.0940003151787763,0.041606428009210945,-17.043273599572316,0.1566183294816655,0.6932525890104977,2,3,78
