tf,family,side,sl,tp,n,net,wr,pf,dd,mar,pos_years,trades_per_year,flag
M15,ob,L,1.0,2.0,234,-347.9181149905208,0.038461538461538464,0.03671396058779276,-349.9642136526961,-0.14975660640261879,0/8,35.249133268319504,False
M15,ob,L,1.0,3.0,234,-350.9181149905208,0.02564102564102564,0.03958073893871561,-354.9642136526961,-0.1489202655670744,0/8,35.249133268319504,False
M15,ob,L,2.0,1.5,234,-257.6348256493327,0.07692307692307693,0.07973852205936159,-259.1578749804202,-0.1497520386172174,0/8,35.249133268319504,False
M15,ob,L,2.0,2.0,234,-259.18960606613246,0.0641025641025641,0.08741000049193981,-261.71265539722003,-0.14918509768096583,0/8,35.249133268319504,False
M15,ob,L,2.0,3.0,234,-259.8775646512636,0.05128205128205128,0.09793499652562607,-264.40061398235116,-0.14806039860811032,0/8,35.249133268319504,False
M15,ob,S,1.0,1.5,186,-293.1534622699171,0.026881720430107527,0.014024700227720798,-291.73594842680774,-0.15129190705664608,0/8,28.004225170681437,False
M15,ob,S,1.0,2.0,186,-290.6534622699171,0.026881720430107527,0.02243305478149079,-289.23594842680774,-0.1512982302391604,0/8,28.004225170681437,False
M15,ob,S,1.0,3.0,186,-289.6534622699171,0.021505376344086023,0.031604608704152805,-288.23594842680774,-0.15130079022469714,0/8,28.004225170681437,False
M15,ob,S,2.0,1.5,186,-208.32673113495855,0.08064516129032258,0.08002026937259453,-207.11797421340395,-0.15143903252396307,0/8,28.004225170681437,False
M15,ob,S,2.0,2.0,186,-203.82673113495855,0.07526881720430108,0.10432887154897053,-202.61797421340395,-0.15145854742466797,0/8,28.004225170681437,False
M15,ob,S,2.0,3.0,186,-205.08671905654174,0.053763440860215055,0.11550976790323551,-203.87796213498711,-0.15145299646950036,0/8,28.004225170681437,False
M15,orb,L,1.0,1.5,1771,-645.2421953860614,0.409373235460192,0.5571462328087057,-646.531156921235,-0.1498304249985689,0/8,265.879755778008,False
M15,orb,L,1.0,2.0,1771,-520.7061888584963,0.36702428006775834,0.6657409013303388,-521.7849196555117,-0.1498193561344245,0/8,265.879755778008,False
M15,orb,L,1.0,3.0,1771,-342.0310426981691,0.3060417843026539,0.8013747377759112,-343.31131726930624,-0.14956986930345909,0/8,265.879755778008,False
M15,orb,L,2.0,1.5,1771,-220.32154330299903,0.4330886504799548,0.8117885679718972,-221.61621645614252,-0.14925268028371463,0/8,265.879755778008,False
M15,orb,L,2.0,2.0,1771,-187.20385650939966,0.38170525127046867,0.8527773951531021,-188.497740344633,-0.14909921359616973,0/8,265.879755778008,False
M15,orb,L,2.0,3.0,1771,-68.60114973483215,0.33540372670807456,0.9496786209161755,-125.04884500287469,-0.08236039477271877,2/8,265.879755778008,False
M15,orb,S,1.0,1.5,1733,-718.8426677870241,0.380265435660704,0.5143700081135697,-719.272019695553,-0.14998488897409917,0/8,260.07906045094245,False
M15,orb,S,1.0,2.0,1733,-627.1901501898703,0.3398730525100981,0.6042123621046636,-628.6195020983988,-0.14973323368274752,0/8,260.07906045094245,False
M15,orb,S,1.0,3.0,1733,-531.8866321574984,0.27351413733410274,0.6941156734738517,-533.3330622386331,-0.14966746163384664,0/8,260.07906045094245,False
M15,orb,S,2.0,1.5,1733,-359.59150967067876,0.3935372186959031,0.7043645878679873,-361.9672802622753,-0.1490894591603872,0/8,260.07906045094245,False
M15,orb,S,2.0,2.0,1733,-323.41423705436523,0.34333525678015003,0.7520198914219464,-330.816856746522,-0.1467162871601803,0/8,260.07906045094245,False
M15,orb,S,2.0,3.0,1733,-271.76005345072207,0.2977495672244662,0.8054366700611127,-290.7106230686197,-0.1402915592704713,3/8,260.07906045094245,False
