direc,reg,sess,lb,hold,ext,sl,vol,n,tpd,pf30,wr30,netR30,pf65,wr65,pf_is,pf_oos,pf_delay,posY,ROBUST,GOOD
long,any,all,8,8,3.618,0.1,1.5,1583,0.31,1.207,41.6,184.0,1.009,39.6,1.13,1.286,1.298,16/21,0,0
long,any,all,8,12,1.618,0.02,0,9156,1.79,1.166,38.4,921.0,0.972,37.2,1.105,1.224,1.169,16/21,0,0
long,any,all,8,12,1.618,0.02,1.5,1774,0.35,1.227,37.3,260.0,1.026,36.8,1.122,1.334,1.33,18/21,0,0
long,any,all,8,12,1.618,0.1,0,9128,1.79,1.135,40.2,693.0,0.961,38.9,1.057,1.211,1.135,14/21,0,0
long,any,all,8,12,1.618,0.1,1.5,1771,0.35,1.193,39.4,205.0,1.014,38.8,1.087,1.302,1.287,16/21,0,0
long,any,all,8,12,2.618,0.02,0,9156,1.79,1.216,38.1,1207.0,1.017,36.8,1.17,1.259,1.225,17/21,0,0
long,any,all,8,12,2.618,0.02,1.5,1774,0.35,1.266,36.9,307.0,1.062,36.3,1.18,1.352,1.384,18/21,0,0
long,any,all,8,12,2.618,0.1,0,9128,1.79,1.187,40.0,960.0,1.008,38.6,1.122,1.249,1.191,14/21,0,0
long,any,all,8,12,2.618,0.1,1.5,1771,0.35,1.237,39.0,253.0,1.054,38.3,1.151,1.324,1.343,17/21,0,0
long,any,all,8,12,3.618,0.02,0,9156,1.79,1.24,38.0,1346.0,1.039,36.7,1.206,1.273,1.251,18/21,0,0
long,any,all,8,12,3.618,0.02,1.5,1774,0.35,1.294,36.8,341.0,1.087,36.2,1.224,1.365,1.416,16/21,0,0
long,any,all,8,12,3.618,0.1,0,9128,1.79,1.212,39.9,1092.0,1.03,38.5,1.156,1.265,1.217,17/21,0,0
long,any,all,8,12,3.618,0.1,1.5,1771,0.35,1.269,38.8,288.0,1.083,38.2,1.193,1.345,1.379,17/21,0,0
long,any,all,8,24,1.618,0.02,0,10162,1.99,1.224,33.8,1590.0,1.053,33.3,1.189,1.257,1.23,18/21,0,0
