swing_k,ote_fib,sweep_lb,min_conf,require_fvg,sl_buf_atr,tp_mode,session,h4_trend,wait_bars,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
2,0.5,3,3,0,0.5,2R,kz,0,48,2915,435.0,1.133,254.5,0.3,0.399,-128.3,6/8,2.0,False
2,0.5,3,3,0,0.5,2R,kz,0,96,3558,530.0,1.145,335.2,0.37,0.401,-133.6,6/8,2.0,False
2,0.5,3,3,0,0.5,2R,kz,1,48,1616,241.0,1.177,184.5,0.26,0.412,-104.9,5/8,2.0,False
2,0.5,3,3,0,0.5,2R,kz,1,96,1975,295.0,1.185,234.6,0.33,0.412,-105.0,6/8,2.0,False
2,0.5,3,3,0,0.5,3R,all,0,48,5279,787.0,1.177,687.3,0.83,0.322,-124.0,5/8,3.0,False
2,0.5,3,3,0,0.5,3R,all,0,96,6533,973.0,1.192,915.7,0.84,0.326,-162.6,7/8,3.0,False
2,0.5,3,3,0,0.5,3R,all,1,48,2866,427.0,1.187,394.4,0.38,0.325,-155.1,6/8,3.0,False
2,0.5,3,3,0,0.5,3R,all,1,96,3577,533.0,1.213,552.3,0.61,0.331,-135.5,6/8,3.0,False
2,0.5,3,3,0,0.5,3R,kz,0,48,2915,435.0,1.243,514.2,0.7,0.333,-110.1,6/8,3.0,False
2,0.5,3,3,0,0.5,3R,kz,0,96,3558,530.0,1.245,626.8,0.83,0.334,-112.1,6/8,3.0,False
2,0.5,3,3,0,0.5,3R,kz,1,48,1616,241.0,1.271,315.6,0.38,0.342,-122.7,6/8,3.0,False
2,0.5,3,3,0,0.5,3R,kz,1,96,1975,295.0,1.247,351.4,0.39,0.338,-133.0,6/8,3.0,False
2,0.5,3,3,1,0.05,bsl,all,0,48,4025,600.0,0.879,-250.5,-0.11,0.543,-331.0,3/8,0.95,False
2,0.5,3,3,1,0.05,bsl,all,0,96,5060,754.0,0.907,-237.0,-0.1,0.549,-343.6,3/8,0.96,False
2,0.5,3,3,1,0.05,bsl,all,1,48,2235,333.0,0.944,-61.7,-0.07,0.561,-130.6,3/8,0.96,False
2,0.5,3,3,1,0.05,bsl,all,1,96,2817,420.0,0.979,-29.3,-0.04,0.568,-108.5,3/8,0.96,False
2,0.5,3,3,1,0.05,bsl,kz,0,48,2222,331.0,0.888,-127.1,-0.1,0.546,-186.6,2/8,0.96,False
2,0.5,3,3,1,0.05,bsl,kz,0,96,2768,413.0,0.913,-120.5,-0.08,0.551,-211.4,3/8,0.96,False
2,0.5,3,3,1,0.05,bsl,kz,1,48,1274,190.0,0.97,-18.7,-0.04,0.569,-62.5,4/8,0.96,False
2,0.5,3,3,1,0.05,bsl,kz,1,96,1573,235.0,1.009,7.1,0.02,0.577,-56.7,5/8,0.96,False
2,0.5,3,3,1,0.05,2R,all,0,48,4025,600.0,1.073,200.7,0.22,0.394,-133.1,6/8,2.0,False
2,0.5,3,3,1,0.05,2R,all,0,96,5060,754.0,1.103,350.0,0.35,0.4,-150.1,5/8,2.0,False
2,0.5,3,3,1,0.05,2R,all,1,48,2235,333.0,1.087,131.0,0.21,0.398,-94.9,6/8,2.0,False
2,0.5,3,3,1,0.05,2R,all,1,96,2817,420.0,1.132,247.1,0.44,0.407,-84.0,6/8,2.0,False
2,0.5,3,3,1,0.05,2R,kz,0,48,2222,331.0,1.138,204.1,0.29,0.41,-105.0,5/8,2.0,False
2,0.5,3,3,1,0.05,2R,kz,0,96,2768,413.0,1.157,286.8,0.41,0.413,-103.1,6/8,2.0,False
2,0.5,3,3,1,0.05,2R,kz,1,48,1274,190.0,1.169,140.6,0.35,0.419,-60.6,5/8,2.0,False
2,0.5,3,3,1,0.05,2R,kz,1,96,1573,235.0,1.19,193.8,0.55,0.422,-52.6,6/8,2.0,False
2,0.5,3,3,1,0.05,3R,all,0,48,4025,600.0,1.197,598.5,0.7,0.328,-126.8,6/8,3.0,False
2,0.5,3,3,1,0.05,3R,all,0,96,5060,754.0,1.225,849.2,1.29,0.334,-98.0,6/8,3.0,False
2,0.5,3,3,1,0.05,3R,all,1,48,2235,333.0,1.197,332.0,0.36,0.329,-136.0,6/8,3.0,False
2,0.5,3,3,1,0.05,3R,all,1,96,2817,420.0,1.248,516.5,0.68,0.339,-113.4,6/8,3.0,False
2,0.5,3,3,1,0.05,3R,kz,0,48,2222,331.0,1.284,466.6,0.54,0.344,-129.8,6/8,3.0,False
2,0.5,3,3,1,0.05,3R,kz,0,96,2768,413.0,1.303,611.2,0.83,0.348,-110.1,7/8,3.0,False
2,0.5,3,3,1,0.05,3R,kz,1,48,1274,190.0,1.292,273.7,0.41,0.349,-98.9,5/8,3.0,False
2,0.5,3,3,1,0.05,3R,kz,1,96,1573,235.0,1.314,359.1,0.66,0.352,-81.4,6/8,3.0,False
2,0.5,3,3,1,0.1,bsl,all,0,48,4039,602.0,0.862,-280.9,-0.12,0.547,-350.0,3/8,0.91,False
2,0.5,3,3,1,0.1,bsl,all,0,96,5078,757.0,0.891,-274.1,-0.11,0.553,-366.6,3/8,0.92,False
2,0.5,3,3,1,0.1,bsl,all,1,48,2243,334.0,0.921,-86.3,-0.08,0.564,-151.5,3/8,0.92,False
2,0.5,3,3,1,0.1,bsl,all,1,96,2827,421.0,0.959,-56.0,-0.06,0.571,-129.6,3/8,0.92,False
2,0.5,3,3,1,0.1,bsl,kz,0,48,2228,332.0,0.874,-141.4,-0.11,0.551,-200.7,2/8,0.92,False
2,0.5,3,3,1,0.1,bsl,kz,0,96,2777,414.0,0.899,-138.8,-0.1,0.556,-217.0,3/8,0.92,False
2,0.5,3,3,1,0.1,bsl,kz,1,48,1277,191.0,0.956,-27.0,-0.05,0.574,-73.6,4/8,0.92,False
2,0.5,3,3,1,0.1,bsl,kz,1,96,1578,235.0,0.996,-3.0,-0.01,0.582,-56.6,4/8,0.92,False
2,0.5,3,3,1,0.1,2R,all,0,48,4039,602.0,1.072,197.6,0.23,0.392,-130.7,6/8,2.0,False
2,0.5,3,3,1,0.1,2R,all,0,96,5078,757.0,1.101,343.7,0.35,0.398,-145.2,5/8,2.0,False
2,0.5,3,3,1,0.1,2R,all,1,48,2243,334.0,1.086,129.3,0.2,0.396,-95.7,6/8,2.0,False
2,0.5,3,3,1,0.1,2R,all,1,96,2827,421.0,1.131,245.6,0.43,0.406,-85.6,6/8,2.0,False
2,0.5,3,3,1,0.1,2R,kz,0,48,2228,332.0,1.131,193.5,0.28,0.406,-104.5,5/8,2.0,False
2,0.5,3,3,1,0.1,2R,kz,0,96,2777,414.0,1.149,273.2,0.38,0.409,-106.8,6/8,2.0,False
2,0.5,3,3,1,0.1,2R,kz,1,48,1277,191.0,1.16,134.0,0.31,0.416,-64.6,5/8,2.0,False
2,0.5,3,3,1,0.1,2R,kz,1,96,1578,235.0,1.183,187.4,0.5,0.42,-55.7,6/8,2.0,False
2,0.5,3,3,1,0.1,3R,all,0,48,4039,602.0,1.196,595.3,0.63,0.327,-141.4,6/8,3.0,False
2,0.5,3,3,1,0.1,3R,all,0,96,5078,757.0,1.225,847.4,1.12,0.333,-113.0,6/8,3.0,False
2,0.5,3,3,1,0.1,3R,all,1,48,2243,334.0,1.185,312.7,0.31,0.326,-149.1,6/8,3.0,False
2,0.5,3,3,1,0.1,3R,all,1,96,2827,421.0,1.239,499.7,0.59,0.337,-125.9,6/8,3.0,False
2,0.5,3,3,1,0.1,3R,kz,0,48,2228,332.0,1.281,460.9,0.5,0.342,-136.3,6/8,3.0,False
2,0.5,3,3,1,0.1,3R,kz,0,96,2777,414.0,1.298,603.2,0.79,0.347,-114.3,7/8,3.0,False
2,0.5,3,3,1,0.1,3R,kz,1,48,1277,191.0,1.278,261.5,0.35,0.345,-112.6,5/8,3.0,False
2,0.5,3,3,1,0.1,3R,kz,1,96,1578,235.0,1.303,346.9,0.55,0.349,-94.7,6/8,3.0,False
2,0.5,3,3,1,0.25,bsl,all,0,48,4058,605.0,0.836,-319.5,-0.13,0.565,-365.9,2/8,0.81,False
2,0.5,3,3,1,0.25,bsl,all,0,96,5101,760.0,0.866,-323.2,-0.12,0.57,-386.6,3/8,0.82,False
2,0.5,3,3,1,0.25,bsl,all,1,48,2253,336.0,0.896,-108.6,-0.1,0.581,-156.7,3/8,0.82,False
2,0.5,3,3,1,0.25,bsl,all,1,96,2840,423.0,0.932,-87.3,-0.09,0.588,-142.9,3/8,0.82,False
2,0.5,3,3,1,0.25,bsl,kz,0,48,2237,334.0,0.859,-149.6,-0.11,0.571,-199.4,1/8,0.82,False
2,0.5,3,3,1,0.25,bsl,kz,0,96,2787,415.0,0.884,-151.2,-0.1,0.575,-217.5,3/8,0.82,False
2,0.5,3,3,1,0.25,bsl,kz,1,48,1281,191.0,0.944,-32.0,-0.07,0.595,-72.8,2/8,0.82,False
2,0.5,3,3,1,0.25,bsl,kz,1,96,1583,236.0,0.981,-13.0,-0.03,0.601,-62.8,4/8,0.82,False
