month,trades,net_r,r_per_year,wr_pct,pf,avg_r,max_dd_r,mar,ulcer_r,recovery_trades,max_loss_streak,worst_loss_streak_r,max_win_streak,positive_years,total_years,positive_months,total_months
2022-01,41,6.901218093219826,93.35814476105709,63.41463414634146,1.4207083848966977,0.16832239251755673,-3.841928064575897,24.299815923639038,1.4281376153621956,8,3,-3.311127848602883,7,1,1,1,1
2022-02,27,-0.9333691671297102,-12.175467439075952,51.85185185185185,0.9330433143444684,-0.03456922841221149,-7.276334273762792,-1.6732968801307808,3.827286988544036,26,3,-3.201553888425975,4,0,1,0,1
2022-03,40,-5.923220843791627,-69.78891655467393,45.0,0.7427619235300279,-0.1480805210947907,-9.464920836505803,-7.373428448075446,6.082664610769832,40,7,-7.19662835966486,4,0,1,0,1
2022-04,42,-0.4766987322457984,-6.003938343199237,52.38095238095239,0.9774363594113292,-0.011349969815376152,-5.459348062870609,-1.0997537204180885,3.0009162973285144,29,4,-4.172402776357693,5,0,1,0,1
2022-05,29,11.756747979876746,171.76608798599926,72.41379310344827,2.510128909241133,0.4054051027543705,-2.1798125755614164,78.79855814748682,0.7022185311089176,6,2,-2.1798125755614164,10,1,1,1,1
2022-06,37,12.207486559092885,148.6261488569559,70.27027027027027,2.016027315935714,0.32993206916467255,-4.678924822508181,31.76502177209239,1.8347918663830676,17,2,-2.194117368968576,12,1,1,1,1
2022-07,40,3.2384629610222824,42.24459273262103,57.49999999999999,1.1776550060835596,0.08096157402555706,-4.930789678546571,8.567510578766624,2.3937739929879847,19,3,-3.1765327953795675,6,1,1,1,1
2022-08,35,4.446511644081613,56.00304751726928,60.0,1.2967366163855625,0.12704318983090324,-4.3251581215337715,12.948208121789936,1.5993058419854904,17,4,-4.3251581215337715,4,1,1,1,1
2022-09,46,3.7176424852256975,45.26229725762287,56.52173913043478,1.183232278809445,0.08081831489621082,-4.578841994907576,9.885096997878936,2.0016139766794314,16,3,-3.1851218276086097,6,1,1,1,1
2022-10,33,8.794732132979995,118.97318191003492,66.66666666666666,1.7477822872012159,0.2665070343327271,-2.302088950693422,51.68053209855271,0.9515124353007626,6,2,-2.168722390538284,5,1,1,1,1
2022-11,34,1.9160719713847068,23.328176251608806,58.82352941176471,1.1284169860131354,0.05635505798190314,-5.44382614998001,4.285253718415396,2.5073439685231755,27,4,-4.250891082527093,6,1,1,1,1
2022-12,29,8.499308902934501,107.04733023437333,68.96551724137932,1.8854979569513317,0.29307961734256904,-3.4831975960797505,30.732488548698,1.3569682817869477,8,3,-3.1596844806444517,8,1,1,1,1
2023-01,47,2.284638017843051,28.774621931626704,55.319148936170215,1.1062321213818573,0.048609319528575556,-8.611982780889983,3.3412307785238125,3.812615074177725,28,6,-6.409609669194953,7,1,1,1,1
2023-02,34,-6.217683080119181,-87.3464901928281,44.11764705882353,0.693203430055401,-0.1828730317682112,-9.042100588412712,-9.65997771632413,3.9530062373410058,19,5,-5.442480887169515,4,0,1,0,1
2023-03,48,8.585990666968312,104.53443637033921,62.5,1.4451448234304842,0.17887480556183985,-3.306340857342141,31.616351997770433,1.3672013852754414,15,3,-3.306340857342141,5,1,1,1,1
2023-04,22,8.738122721353053,138.7651879988784,72.72727272727273,2.3739532914156993,0.39718739642513873,-3.19203095764581,43.472381640440176,1.1030325797027536,6,3,-3.1920309576458106,7,1,1,1,1
2023-05,40,2.651214606333746,31.23729467623873,57.49999999999999,1.1433182586882578,0.06628036515834365,-3.7143915706480533,8.409801196805088,1.6224180442469944,15,3,-3.2962191067637097,4,1,1,1,1
2023-06,32,2.679663095442475,32.624898187012136,59.375,1.1888177942789702,0.08373947173257734,-6.624295548447876,4.9250366244085235,3.0079968838100046,13,5,-5.4172792873140985,5,1,1,1,1
2023-07,34,-3.941961725654947,-51.42148286769534,50.0,0.787098408201917,-0.11594005075455727,-5.991199868132879,-8.582835491969746,3.250537207543007,25,3,-3.356629129779754,4,0,1,0,1
2023-08,36,6.125130114895543,72.16786369243862,63.888888888888886,1.426322559700172,0.17014250319154287,-2.47484099481453,29.160606214156818,1.0792484163877383,8,2,-2.2501481016910017,5,1,1,1,1
2023-09,38,-2.569040134730553,-32.35661755897705,52.63157894736842,0.8728606942816227,-0.06760631933501456,-10.011900590971916,-3.2318157042184534,5.866059618205226,32,4,-4.511642037056843,5,0,1,0,1
2023-10,53,-1.1396837894493965,-14.354120830910071,52.83018867924528,0.9552917068278356,-0.02150346772546031,-5.597746615033775,-2.5642676987842656,2.8524442442726263,40,3,-2.307142693845775,4,0,1,0,1
2023-11,38,-3.317628994009338,-40.392133002063694,50.0,0.8392318842724492,-0.08730602615814047,-7.641772981491325,-5.285701773645335,4.5875546179296345,37,7,-7.512149476692838,4,0,1,0,1
2023-12,38,5.564391784417337,88.36496083732315,60.526315789473685,1.3638077244315037,0.14643136274782464,-4.325632001326157,20.428219693730796,1.7440887895491037,14,4,-4.325632001326157,5,1,1,1,1
2024-01,34,5.256639119139001,66.2064633884662,61.76470588235294,1.37501446002832,0.15460703291585295,-3.382511711913576,19.57316604559854,1.2181613933470379,7,2,-2.1591519052415005,6,1,1,1,1
2024-02,34,6.6815894554787585,87.15894816477203,64.70588235294117,1.502573045568523,0.19651733692584583,-3.507370314696182,24.85022690634307,1.2482945801111762,8,2,-2.2311905338791025,4,1,1,1,1
2024-03,34,4.698449397501008,61.28959437275869,61.76470588235294,1.353895964410495,0.13818968816179436,-2.602288778426651,23.552187935811837,1.1462185189880405,10,2,-2.26657590181808,6,1,1,1,1
2024-04,36,11.177646540360891,136.08784662889386,66.66666666666666,1.9529387695285316,0.3104901816766914,-3.4644908194811297,39.28076410641939,1.2333740492611547,14,3,-3.2364594645328717,6,1,1,1,1
2024-05,41,-5.222017861731681,-61.527162064435366,46.34146341463415,0.7749326277135431,-0.1273662893105288,-9.842246283043071,-6.251333313050576,5.032270582129024,39,7,-7.388841979701878,4,0,1,0,1
2024-06,28,14.26158215403124,208.36171527039642,78.57142857142857,3.262133556322148,0.50934221978683,-2.0955792132135453,99.42917640935951,0.636692990253952,4,2,-2.0955792132135453,5,1,1,1,1
2024-07,39,6.386371768787423,77.75407628498688,61.53846153846154,1.3994255999139245,0.16375312227660058,-3.2770011694902905,23.727204313778397,1.4947752419879363,12,3,-3.1856851563170387,5,1,1,1,1
2024-08,40,10.833439357288794,131.8971241749911,65.0,1.7867767459533994,0.27083598393221986,-3.169582035324513,41.61341233797313,1.0576558659894446,11,3,-3.169582035324514,6,1,1,1,1
2024-09,33,-1.4939430098030402,-18.81595463208829,51.515151515151516,0.9120778707619385,-0.045271000297061825,-4.7252727156519265,-3.981982790064706,2.262364834583746,15,3,-3.124890025851034,3,0,1,0,1
2024-10,40,14.669510872853898,172.83996278418988,70.0,2.2519110454700413,0.3667377718213475,-1.4474599780436832,119.40914802894378,0.6439089252502709,8,2,-1.143905080989603,8,1,1,1,1
2024-11,32,2.3963109125245157,35.01010243198318,56.25,1.1631801050396977,0.07488471601639111,-3.332059974083327,10.507044502287117,1.3018472212526144,12,3,-3.1482980672988834,4,1,1,1,1
2024-12,26,-5.321004858559798,-69.4106080210345,42.30769230769231,0.663120370353244,-0.20465403302153068,-8.572690272781124,-8.096712445265627,3.226122457176139,10,6,-6.337170081913698,3,0,1,0,1
2025-01,30,10.276564294701403,129.43155547033405,70.0,2.081722920893806,0.34255214315671345,-2.2412389195608027,57.7500035095311,0.7600343856124788,8,2,-2.1406244719717864,4,1,1,1,1
2025-02,39,4.805857762454661,70.2135819094626,58.97435897435898,1.2882382976944353,0.12322712211422207,-4.179227246887269,16.80061354925325,1.7621917126285225,13,4,-4.179227246887269,6,1,1,1,1
2025-03,35,3.3560805724895904,42.26925617592492,57.14285714285714,1.2141519471982625,0.09588801635684543,-3.26795593162028,12.934463334383908,1.6681925544337497,10,3,-3.127553793591497,6,1,1,1,1
2025-04,40,21.00880488266256,264.6022752893965,77.5,3.28524614630036,0.525220122066564,-2.0320305552069993,130.21569710719334,0.5868158974529434,4,2,-2.0320305552069975,11,1,1,1,1
2025-05,23,2.294122202667457,28.894073604285815,56.52173913043478,1.2231647635030347,0.09974444359423726,-3.3072005515042138,8.736716493090787,1.8444553767345264,16,3,-3.0704938216361004,3,1,1,1,1
2025-06,36,12.695191538371914,165.60423962108365,69.44444444444444,2.1144976178332002,0.3526442093992198,-3.092842809592913,53.544344092573155,0.9696868176431039,8,3,-3.092842809592913,6,1,1,1,1
2025-07,28,3.315693414327993,39.06635547042901,57.14285714285714,1.2805628286834023,0.11841762194028546,-4.718590994133678,8.279241731058637,2.068839686305298,18,3,-2.402238180013768,5,1,1,1,1
2025-08,32,0.5192678105244801,8.246198599742016,53.125,1.033280564749989,0.016227119078890004,-8.895895209858129,0.9269666970226739,5.41544523248552,28,4,-4.165008365115256,8,1,1,1,1
2025-09,34,14.730853201039178,185.5325562648124,73.52941176470588,2.5798007858336667,0.43326038826585817,-3.1795542802417875,58.351749934806485,0.9222954348940573,8,3,-3.127160223165161,8,1,1,1,1
2025-10,46,15.007137511618492,182.71189920395514,67.3913043478261,1.9792369102840726,0.3262421198177933,-5.34297119334421,34.19668431519172,2.1201385587689483,18,3,-3.111524158326124,10,1,1,1,1
2025-11,28,1.226133577735535,17.224818817996315,53.57142857142857,1.0916433844573934,0.04379048491912625,-6.197119529700451,2.7794879113504702,2.9903480398598994,18,4,-4.087731623183261,4,1,1,1,1
2025-12,33,8.192914591412404,99.74873515044602,63.63636363636363,1.6655247332897483,0.2482701391337092,-5.111573330648786,19.514292116745477,1.8759277270852732,10,5,-5.111573330648786,8,1,1,1,1
2026-01,41,2.2225469762120778,27.9925959676366,53.65853658536586,1.1146224677187464,0.05420846283444092,-4.340928965987844,6.4485266142258695,2.242504021601662,30,3,-3.072061521004371,4,1,1,1,1
2026-02,43,10.40563959634567,152.02639450261026,62.7906976744186,1.6418260547828796,0.24199161851966675,-3.0888807976716652,49.21730699909321,1.3109437670455861,14,3,-3.043217443510197,5,1,1,1,1
2026-03,40,-2.5179060731500282,-34.06167382289066,47.5,0.8816169653313022,-0.0629476518287507,-7.470487762262071,-4.559497974811856,3.73218464394472,35,3,-3.0555835069490405,5,0,1,0,1
2026-04,37,10.367818828706005,126.22819423949562,64.86486486486487,1.783824499146159,0.2802113196947569,-3.043470152403911,41.475088605614616,1.085650725606949,8,3,-3.0434701524039105,6,1,1,1,1
2026-05,34,-2.7295311099569224,-38.34466299660638,47.05882352941176,0.8514546771739211,-0.0802803267634389,-9.388040453769296,-4.08441603819581,5.77877840866232,34,4,-4.073449277400922,5,0,1,0,1
2026-06,24,1.6149233812326047,34.69710382324758,54.166666666666664,1.1448362740312525,0.0672884742180252,-3.1091574020713537,11.159648527325121,1.3216742453683208,12,3,-3.035600104723512,4,1,1,1,1
