name,iter,net_r,max_dd_r
top10_stretch__fixed_fee_stretch__rolling_strict,194,266.74955825749174,-10.812351718261525
top10_stretch__fixed_fee_stretch__rolling_strict,195,266.7495582574918,-8.445854210597702
top10_stretch__fixed_fee_stretch__rolling_strict,196,266.7495582574918,-8.63819022210609
top10_stretch__fixed_fee_stretch__rolling_strict,197,266.7495582574918,-13.258245758594882
top10_stretch__fixed_fee_stretch__rolling_strict,198,266.7495582574918,-9.637052811885937
top10_stretch__fixed_fee_stretch__rolling_strict,199,266.7495582574918,-10.185749917334121
top10_stretch__fixed_fee_stretch__rolling_strict,200,266.7495582574918,-8.478928467487993
top10_stretch__fixed_fee_stretch__rolling_strict,201,266.7495582574918,-10.26021982079547
top10_stretch__fixed_fee_stretch__rolling_strict,202,266.7495582574918,-9.36466803400577
top10_stretch__fixed_fee_stretch__rolling_strict,203,266.7495582574918,-13.697886411818615
top10_stretch__fixed_fee_stretch__rolling_strict,204,266.7495582574918,-8.274964673847144
top10_stretch__fixed_fee_stretch__rolling_strict,205,266.7495582574918,-9.688929820034303
top10_stretch__fixed_fee_stretch__rolling_strict,206,266.7495582574918,-16.751907247736824
top10_stretch__fixed_fee_stretch__rolling_strict,207,266.7495582574918,-20.775947883121034
top10_stretch__fixed_fee_stretch__rolling_strict,208,266.7495582574918,-12.396082476783846
top10_stretch__fixed_fee_stretch__rolling_strict,209,266.7495582574918,-12.7980818985191
top10_stretch__fixed_fee_stretch__rolling_strict,210,266.7495582574918,-8.24057052456746
top10_stretch__fixed_fee_stretch__rolling_strict,211,266.7495582574918,-12.647362467310444
top10_stretch__fixed_fee_stretch__rolling_strict,212,266.7495582574918,-10.329899972871289
top10_stretch__fixed_fee_stretch__rolling_strict,213,266.7495582574918,-8.531612460519199
top10_stretch__fixed_fee_stretch__rolling_strict,214,266.7495582574918,-9.815808046688005
top10_stretch__fixed_fee_stretch__rolling_strict,215,266.7495582574918,-7.654706137348228
top10_stretch__fixed_fee_stretch__rolling_strict,216,266.7495582574918,-7.858771503635268
top10_stretch__fixed_fee_stretch__rolling_strict,217,266.7495582574918,-10.376177853886759
top10_stretch__fixed_fee_stretch__rolling_strict,218,266.7495582574918,-12.055438064286705
top10_stretch__fixed_fee_stretch__rolling_strict,219,266.7495582574918,-10.651809666883963
top10_stretch__fixed_fee_stretch__rolling_strict,220,266.7495582574918,-10.456370617341534
top10_stretch__fixed_fee_stretch__rolling_strict,221,266.7495582574918,-6.4488982470599865
top10_stretch__fixed_fee_stretch__rolling_strict,222,266.7495582574918,-9.43353530973829
top10_stretch__fixed_fee_stretch__rolling_strict,223,266.7495582574918,-8.94883669264345
top10_stretch__fixed_fee_stretch__rolling_strict,224,266.7495582574918,-12.959065311792642
top10_stretch__fixed_fee_stretch__rolling_strict,225,266.7495582574918,-7.162104155237046
top10_stretch__fixed_fee_stretch__rolling_strict,226,266.7495582574918,-9.147878349666712
top10_stretch__fixed_fee_stretch__rolling_strict,227,266.7495582574918,-9.954646991556913
top10_stretch__fixed_fee_stretch__rolling_strict,228,266.7495582574918,-13.215914518359028
top10_stretch__fixed_fee_stretch__rolling_strict,229,266.7495582574918,-10.012525012373828
top10_stretch__fixed_fee_stretch__rolling_strict,230,266.7495582574918,-14.497230560898686
top10_stretch__fixed_fee_stretch__rolling_strict,231,266.74955825749174,-10.474525941618055
top10_stretch__fixed_fee_stretch__rolling_strict,232,266.7495582574918,-10.099823723611394
top10_stretch__fixed_fee_stretch__rolling_strict,233,266.7495582574918,-8.597516141903242
top10_stretch__fixed_fee_stretch__rolling_strict,234,266.7495582574918,-11.58183223005642
top10_stretch__fixed_fee_stretch__rolling_strict,235,266.7495582574918,-11.475803033387635
top10_stretch__fixed_fee_stretch__rolling_strict,236,266.7495582574918,-15.90766483421558
top10_stretch__fixed_fee_stretch__rolling_strict,237,266.7495582574918,-10.629004121164456
top10_stretch__fixed_fee_stretch__rolling_strict,238,266.7495582574918,-9.518950985620592
top10_stretch__fixed_fee_stretch__rolling_strict,239,266.7495582574918,-8.851216178045519
top10_stretch__fixed_fee_stretch__rolling_strict,240,266.7495582574918,-11.972967368042461
top10_stretch__fixed_fee_stretch__rolling_strict,241,266.7495582574918,-7.624888843655981
top10_stretch__fixed_fee_stretch__rolling_strict,242,266.7495582574918,-15.963168262145842
