risk_pct,entry_timestamp,year,month,direction,entry_price,stop_price,risk_units,net_r,equity_before,risk_usd,lot,pnl_usd,equity_after
0.04,2022-03-01 17:35:00+00:00,2022,2022-03,demand,1922.63,1915.6097142857143,7.020285714285819,0.9572666965121492,4790.013315579228,191.60053262316913,0.2729241236339921,183.4128089141494,4973.426124493378
0.04,2022-03-07 19:10:00+00:00,2022,2022-03,supply,1983.61,1993.3331428571428,9.723142857142877,-1.0308542211513032,4973.426124493378,198.9370449797351,0.2046015860330497,-205.0750925607266,4768.3510319326515
0.04,2022-03-15 16:05:00+00:00,2022,2022-03,supply,1918.91,1926.501142857143,7.591142857142813,0.9604802589483984,4768.3510319326515,190.73404127730606,0.2512586640334883,183.19628135630143,4951.547313288953
0.04,2022-03-16 16:15:00+00:00,2022,2022-03,supply,1911.26,1922.732142857143,11.4721428571429,0.973849698026275,4951.547313288953,198.06189253155813,0.1726459433062576,192.8825142323704,5144.429827521323
0.04,2022-03-30 18:45:00+00:00,2022,2022-03,demand,1937.31,1929.4181428571428,7.891857142857134,-1.0380138660101732,5144.429827521323,205.77719310085294,0.26074622154951255,-213.5995797473383,4930.830247773985
0.04,2022-04-01 16:30:00+00:00,2022,2022-04,supply,1924.35,1933.538857142857,9.18885714285716,-1.0326482385497964,5000.0,200.0,0.21765492366530853,-206.52964770995928,4793.470352290041
0.04,2022-04-12 15:30:00+00:00,2022,2022-04,supply,1955.36,1964.6537142857144,9.29371428571426,-1.0322798819478605,4793.470352290041,191.73881409160163,0.206310209456655,-197.9281203753013,4595.542231914739
0.04,2022-04-21 19:00:00+00:00,2022,2022-04,supply,1939.98,1947.2522857142856,7.272285714285545,-1.0412525046163528,4595.542231914739,183.82168927658958,0.2527701695156086,-191.40479436205786,4404.137437552681
0.04,2022-04-29 19:05:00+00:00,2022,2022-04,supply,1908.09,1914.2974285714288,6.207428571428636,0.9516708091687384,4404.137437552681,176.16549750210726,0.28379786488878256,167.65156155544378,4571.788999108125
0.04,2022-05-03 16:35:00+00:00,2022,2022-05,demand,1867.33,1856.2385714285713,11.09142857142865,-0.3047398248325518,5000.0,200.0,0.18031942297784517,-60.94796496651036,4939.05203503349
0.04,2022-05-05 14:10:00+00:00,2022,2022-05,demand,1900.12,1893.962142857143,6.157857142856983,0.95128175385686,4939.05203503349,197.5620814013396,0.32082927034205155,187.93720329107808,5126.989238324568
0.04,2022-05-11 17:10:00+00:00,2022,2022-05,supply,1850.52,1860.6907142857144,10.170714285714212,0.9705035465973731,5126.989238324568,205.07956953298273,0.20163733221867963,199.03044956642233,5326.01968789099
0.04,2022-05-18 16:05:00+00:00,2022,2022-05,demand,1813.73,1807.7025714285712,6.0274285714285725,0.9502275312855518,5326.01968789099,213.0407875156396,0.35345219771745284,202.43722158411603,5528.456909475106
0.04,2022-06-02 15:50:00+00:00,2022,2022-06,demand,1856.5,1850.477142857143,6.022857142856992,0.950189753320682,5000.0,200.0,0.3320683111954542,190.0379506641364,5190.037950664137
0.04,2022-07-28 15:35:00+00:00,2022,2022-07,demand,1744.65,1734.9738571428572,9.67614285714285,0.968995910412945,5000.0,200.0,0.2066939305803672,193.799182082589,5193.799182082589
0.04,2022-08-02 17:35:00+00:00,2022,2022-08,supply,1782.12,1788.6337142857142,6.513714285714286,0.953943328362137,5000.0,200.0,0.3070444775857531,190.7886656724274,5190.788665672428
0.04,2022-08-10 19:30:00+00:00,2022,2022-08,demand,1798.63,1791.3718571428572,7.258142857142957,-1.041332887200582,5190.788665672428,207.63154662689712,0.28606704320039755,-216.21355792290905,4974.575107749519
0.04,2022-08-26 17:55:00+00:00,2022,2022-08,supply,1740.76,1756.7941428571428,16.034142857142797,0.981289925961564,4974.575107749519,198.98300430998074,0.12409955810100504,195.26001756695055,5169.835125316469
0.04,2022-09-02 17:00:00+00:00,2022,2022-09,demand,1712.2,1704.150142857143,8.049857142857036,-0.1354061296562467,5000.0,200.0,0.24845161404816743,-27.081225931249342,4972.91877406875
0.04,2022-09-22 14:10:00+00:00,2022,2022-09,supply,1665.74,1672.4262857142858,6.686285714285759,-1.0448679600034183,4972.91877406875,198.91675096275003,0.29749962754021897,-207.84173978895663,4765.077034279793
0.04,2022-09-27 14:55:00+00:00,2022,2022-09,supply,1637.73,1645.5452857142857,7.815285714285665,0.9616136874622988,4765.077034279793,190.60308137119173,0.24388498173878126,183.28653191902828,4948.363566198822
0.04,2022-09-28 15:20:00+00:00,2022,2022-09,demand,1631.98,1621.8957142857143,10.08428571428567,0.9702507437314066,4948.363566198822,197.93454264795287,0.19628018112135942,192.0461372143121,5140.409703413134
0.04,2022-09-30 15:55:00+00:00,2022,2022-09,supply,1665.17,1672.5945714285715,7.424571428571426,-1.0404063726622028,5140.409703413134,205.61638813652536,0.2769404134833522,-213.92460054102594,4926.485102872108
0.04,2022-09-30 16:35:00+00:00,2022,2022-09,demand,1669.47,1661.6462857142858,7.823714285714232,-1.038344958550926,4926.485102872108,197.0594041148843,0.251874489428514,-204.6156387977397,4721.869464074368
0.04,2022-10-11 17:35:00+00:00,2022,2022-10,demand,1668.6,1662.1967142857145,6.40328571428563,0.9531490529415696,5000.0,200.0,0.31233964705620293,190.62981058831392,5190.629810588314
0.04,2022-10-19 12:00:00+00:00,2022,2022-10,supply,1640.84,1647.2572857142857,6.417285714285754,0.9532512633289556,5190.629810588314,207.62519242353258,0.3235405148960885,197.91897697664993,5388.548787564964
0.04,2022-10-21 17:45:00+00:00,2022,2022-10,demand,1639.97,1628.649571428571,11.320428571428693,0.973499236525624,5388.548787564964,215.54195150259858,0.19040087585252627,209.82992522702278,5598.378712791987
0.04,2022-11-17 15:05:00+00:00,2022,2022-11,supply,1759.75,1767.046857142857,7.296857142857334,-1.0411135909785023,5000.0,200.0,0.27409060652334927,-208.22271819570045,4791.7772818042995
0.04,2022-11-23 21:05:00+00:00,2022,2022-11,demand,1751.25,1742.6592857142855,8.590714285714284,0.1280452315623287,4791.7772818042995,191.671091272172,0.2231142660522498,24.5425692657495,4816.319851070049
0.04,2022-12-30 17:40:00+00:00,2022,2022-12,supply,1816.82,1823.4018571428571,6.581857142857189,-1.0455798406876042,5000.0,200.0,0.30386560458402756,-209.11596813752084,4790.884031862479
0.04,2023-01-23 17:00:00+00:00,2023,2023-01,supply,1916.67,1923.221142857143,6.55114285714285,-1.04579353656941,5000.0,200.0,0.30529024379606645,-209.158707313882,4790.841292686118
0.04,2023-02-10 17:25:00+00:00,2023,2023-02,supply,1862.72,1869.1011428571428,6.381142857142777,0.952986478015581,5000.0,200.0,0.31342347989612646,190.5972956031162,5190.597295603116
0.04,2023-02-14 17:40:00+00:00,2023,2023-02,supply,1856.54,1867.3504285714284,10.810428571428474,0.9722490188045932,5190.597295603116,207.62389182412466,0.19205889059094863,201.8621251063962,5392.459420709512
0.04,2023-02-23 16:35:00+00:00,2023,2023-02,supply,1824.52,1830.7985714285712,6.2785714285714675,0.95221843003413,5392.459420709512,215.6983768283805,0.3435469027983286,205.39196974443064,5597.851390453943
0.04,2023-02-24 16:45:00+00:00,2023,2023-02,supply,1809.76,1818.2042857142856,8.444285714285797,-1.0355269835899168,5597.851390453943,223.91405561815773,0.2651663659832666,-231.86904659765574,5365.982343856287
0.04,2023-03-01 17:20:00+00:00,2023,2023-03,demand,1839.16,1830.825,8.335000000000264,-1.0359928014397108,5000.0,200.0,0.23995200959807278,-207.19856028794217,4792.801439712058
0.04,2023-03-13 16:10:00+00:00,2023,2023-03,demand,1902.87,1893.661,9.208999999999833,0.9674231729829508,4792.801439712058,191.7120575884823,0.20817901790475166,185.46668705133973,4978.268126763398
0.04,2023-03-20 13:30:00+00:00,2023,2023-03,supply,1981.03,1989.2665714285713,8.236571428571324,0.9635770778409876,4978.268126763398,199.13072507053593,0.24176409662372852,191.8778021718241,5170.145928935222
0.04,2023-03-21 14:45:00+00:00,2023,2023-03,supply,1963.18,1969.8084285714283,6.628428571428458,0.954740403888014,5170.145928935222,206.8058371574089,0.3119982887781821,197.4458884940634,5367.591817429286
0.04,2023-03-24 18:25:00+00:00,2023,2023-03,supply,1988.13,1995.3082857142856,7.178285714285494,0.9582072918325096,5367.591817429286,214.70367269717144,0.2991015978507097,205.73062476165018,5573.322442190935
0.04,2023-04-05 17:10:00+00:00,2023,2023-04,supply,2024.32,2032.8701428571428,8.550142857142873,0.9649128669529332,5000.0,200.0,0.2339142203137788,192.98257339058665,5192.982573390586
0.04,2023-04-26 17:25:00+00:00,2023,2023-04,demand,2001.78,1993.2318571428573,8.548142857142693,-1.0350953423467093,5192.982573390586,207.71930293562346,0.24299933495151696,-215.00928298416898,4977.973290406418
0.04,2023-04-28 16:30:00+00:00,2023,2023-04,demand,1988.55,1975.567,12.982999999999947,0.9768928598937072,4977.973290406418,199.1189316162567,0.1533689683557402,194.51786256558452,5172.491152972002
0.04,2023-06-30 17:05:00+00:00,2023,2023-06,demand,1914.04,1907.1637142857144,6.876285714285586,0.956371795404495,5000.0,200.0,0.2908546973033669,191.274359080899,5191.274359080899
