trades,net,wr,pf,dd,years_pos,years,months_pos,months,mar,rule
322,36.17012876245384,56.2111801242236,1.2639763204357077,-13.687865799631808,5,8,39,67,0.33031198299944964,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_10 + dir_demand
237,15.821582195082076,54.008438818565395,1.1469270917549683,-13.485519360948453,7,8,26,54,0.14665343776913056,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_10 + dir_supply
168,13.806689583450758,55.35714285714286,1.1815206680455785,-10.704576635517611,4,8,13,27,0.1612241433449174,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_15 + fast_confirm_2
210,13.793765937737268,53.80952380952381,1.145058335036326,-11.879857435644904,4,8,16,34,0.1451381678237756,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_15 + fast_confirm_3
219,28.09459220419263,57.077625570776256,1.3050080526121441,-7.209229703590378,6,8,21,33,0.4871288847649149,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_15 + body_ge_45
168,3.3372845451343593,51.19047619047619,1.0417399580462812,-13.665748339110731,5,8,19,33,0.03052599519544063,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_15 + body_ge_60
126,0.4817594141065302,50.0,1.0079375287853374,-11.57078719185919,6,8,15,29,0.005204479674959795,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_15 + body_ge_70
100,15.546475066164632,57.99999999999999,1.396668104488999,-7.110709237758703,8,8,14,26,0.2732933267684997,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_15 + impulse_ge_1p5
108,2.7278035475777402,50.92592592592593,1.0532521919954485,-10.501302666159306,4,8,13,27,0.032469823438764304,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_15 + base_body_high
157,12.760205855764653,54.77707006369427,1.1842108140210448,-12.553333428726939,5,8,17,29,0.12705993519781278,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_15 + dir_demand
122,13.064315468053884,55.73770491803278,1.244759203393155,-6.157668546770231,4,8,14,26,0.2652041793258398,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_15 + dir_supply
1504,99.66534368912335,56.44946808510638,1.1449298867740014,-30.06398152366996,5,8,46,85,0.4143884918014555,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_1 + fast_confirm_2
1504,99.66534368912335,56.44946808510638,1.1449298867740014,-30.06398152366996,5,8,46,85,0.4143884918014555,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_1 + fast_confirm_3
