trades,net_r,avg_r_per_trade,avg_r_per_year,win_rate,profit_factor,max_drawdown_r,positive_years,negative_years,positive_months,negative_months,worst_year_r,best_year_r,worst_month_r,best_month_r,start,end,month
2,1.9394330462062144,0.9697165231031072,1.9394330462062144,1.0,inf,0.0,1,0,1,0,1.9394330462062144,1.9394330462062144,1.9394330462062144,1.9394330462062144,2021-11-03 20:05:00+00:00,2021-11-05 15:30:00+00:00,2021-11
2,1.9176888075854794,0.9588444037927397,1.9176888075854794,1.0,inf,0.0,1,0,1,0,1.9176888075854794,1.9176888075854794,1.9176888075854794,1.9176888075854794,2021-12-09 16:40:00+00:00,2021-12-10 15:35:00+00:00,2021-12
1,-1.0401253439315188,-1.0401253439315188,-1.0401253439315188,0.0,0.0,0.0,0,1,0,1,-1.0401253439315188,-1.0401253439315188,-1.0401253439315188,-1.0401253439315188,2022-01-26 17:20:00+00:00,2022-01-26 17:20:00+00:00,2022-01
12,3.1105243055211957,0.25921035879343296,3.1105243055211957,0.6666666666666666,1.7487887972058942,-2.0722441426966345,1,0,1,0,3.1105243055211957,3.1105243055211957,3.1105243055211957,3.1105243055211957,2022-02-02 16:05:00+00:00,2022-02-28 17:40:00+00:00,2022-02
23,6.137275423695965,0.26683806189982456,6.137275423695965,0.6521739130434783,1.7412492293290447,-1.3067476811492194,1,0,1,0,6.137275423695967,6.137275423695967,6.137275423695967,6.137275423695967,2022-03-01 15:20:00+00:00,2022-03-30 18:45:00+00:00,2022-03
8,-0.32538316742258644,-0.040672895927823305,-0.32538316742258644,0.5,0.921538878873601,-3.111373633523398,0,1,0,1,-0.32538316742258644,-0.32538316742258644,-0.32538316742258644,-0.32538316742258644,2022-04-01 17:15:00+00:00,2022-04-29 19:05:00+00:00,2022-04
10,4.341148715256808,0.4341148715256808,4.341148715256808,0.7,2.8323313483065236,-2.0644543273435714,1,0,1,0,4.341148715256808,4.341148715256808,4.341148715256808,4.341148715256808,2022-05-03 16:35:00+00:00,2022-05-18 16:05:00+00:00,2022-05
3,2.8608357881107858,0.953611929370262,2.8608357881107858,1.0,inf,0.0,1,0,1,0,2.860835788110786,2.860835788110786,2.860835788110786,2.860835788110786,2022-06-02 15:50:00+00:00,2022-06-30 17:00:00+00:00,2022-06
3,-0.39688513011635795,-0.1322950433721193,-0.39688513011635795,0.3333333333333333,0.7094292121057937,-1.0251205186789,0,1,0,1,-0.39688513011635795,-0.39688513011635795,-0.39688513011635795,-0.39688513011635795,2022-07-14 18:35:00+00:00,2022-07-28 15:35:00+00:00,2022-07
6,-0.21569261402868722,-0.0359487690047812,-0.21569261402868722,0.5,0.9308416981155626,-2.082702415587958,0,1,0,1,-0.21569261402868722,-0.21569261402868722,-0.21569261402868722,-0.21569261402868722,2022-08-01 16:20:00+00:00,2022-08-26 17:55:00+00:00,2022-08
10,0.5337588308556576,0.053375883085565755,0.5337588308556576,0.5,1.1244417962835054,-2.1502437094607654,1,0,1,0,0.5337588308556573,0.5337588308556573,0.5337588308556573,0.5337588308556573,2022-09-01 18:50:00+00:00,2022-09-30 16:35:00+00:00,2022-09
6,3.7602617307098285,0.6267102884516381,3.7602617307098285,0.8333333333333334,4.671018038311393,-1.0243103388398185,1,0,1,0,3.760261730709829,3.760261730709829,3.760261730709829,3.760261730709829,2022-10-05 10:20:00+00:00,2022-10-21 17:45:00+00:00,2022-10
6,0.048641069203392145,0.008106844867232024,0.048641069203392145,0.6666666666666666,1.0234134134482948,-2.077487304907903,1,0,1,0,0.048641069203392145,0.048641069203392145,0.048641069203392145,0.048641069203392145,2022-11-01 16:35:00+00:00,2022-11-23 21:05:00+00:00,2022-11
2,-0.08661229540535942,-0.04330614770267971,-0.08661229540535942,0.5,0.9171633843395445,-1.0455798406876042,0,1,0,1,-0.08661229540535942,-0.08661229540535942,-0.08661229540535942,-0.08661229540535942,2022-12-20 05:05:00+00:00,2022-12-30 17:40:00+00:00,2022-12
10,-0.6870130651064115,-0.06870130651064114,-0.6870130651064115,0.5,0.8683996589248103,-3.205832028744435,0,1,0,1,-0.6870130651064115,-0.6870130651064115,-0.6870130651064115,-0.6870130651064115,2023-01-04 21:20:00+00:00,2023-01-31 15:20:00+00:00,2023-01
8,1.6929568834256448,0.2116196104282056,1.6929568834256448,0.625,1.5462600812555245,-1.1747099238416159,1,0,1,0,1.6929568834256448,1.6929568834256448,1.6929568834256448,1.6929568834256448,2023-02-07 10:10:00+00:00,2023-02-24 16:45:00+00:00,2023-02
13,6.480448753271379,0.4984960579439522,6.480448753271379,0.7692307692307693,3.083185508479341,-1.0447560793674475,1,0,1,0,6.480448753271379,6.480448753271379,6.480448753271379,6.480448753271379,2023-03-01 17:20:00+00:00,2023-03-28 12:15:00+00:00,2023-03
10,4.404525769726491,0.4404525769726491,4.404525769726491,0.7,2.865762243895444,-1.394236609421787,1,0,1,0,4.404525769726491,4.404525769726491,4.404525769726491,4.404525769726491,2023-04-05 17:10:00+00:00,2023-04-28 16:30:00+00:00,2023-04
7,-1.2848160565880191,-0.1835451509411456,-1.2848160565880191,0.42857142857142855,0.6910736652996604,-3.1250575319193716,0,1,0,1,-1.2848160565880191,-1.2848160565880191,-1.2848160565880191,-1.2848160565880191,2023-05-04 10:55:00+00:00,2023-05-24 17:40:00+00:00,2023-05
6,-2.2528096877259065,-0.3754682812876511,-2.2528096877259065,0.3333333333333333,0.45896165802608224,-4.163863284636691,0,1,0,1,-2.2528096877259065,-2.2528096877259065,-2.2528096877259065,-2.2528096877259065,2023-06-01 17:10:00+00:00,2023-06-30 17:05:00+00:00,2023-06
4,-1.0286876877599858,-0.25717192193999644,-1.0286876877599858,0.5,0.5081041692888643,-2.091271410600915,0,1,0,1,-1.0286876877599855,-1.0286876877599855,-1.0286876877599855,-1.0286876877599855,2023-07-14 17:05:00+00:00,2023-07-25 17:15:00+00:00,2023-07
2,-0.09241639242590194,-0.04620819621295097,-0.09241639242590194,0.5,0.91193749257902,0.0,0,1,0,1,-0.09241639242590194,-0.09241639242590194,-0.09241639242590194,-0.09241639242590194,2023-08-03 17:05:00+00:00,2023-08-04 17:50:00+00:00,2023-08
7,-1.9196106465439318,-0.27423009236341883,-1.9196106465439318,0.42857142857142855,0.539895942067963,-1.1207810667846079,0,1,0,1,-1.9196106465439313,-1.9196106465439313,-1.9196106465439313,-1.9196106465439313,2023-10-02 18:40:00+00:00,2023-10-30 16:05:00+00:00,2023-10
4,-2.150507270956218,-0.5376268177390545,-2.150507270956218,0.25,0.30953042235772765,-2.0856152371441654,0,1,0,1,-2.150507270956218,-2.150507270956218,-2.150507270956218,-2.150507270956218,2023-11-03 15:40:00+00:00,2023-11-30 17:10:00+00:00,2023-11
4,-2.125836899507096,-0.531459224876774,-2.125836899507096,0.25,0.3129130839287057,-1.098482107859425,0,1,0,1,-2.125836899507096,-2.125836899507096,-2.125836899507096,-2.125836899507096,2023-12-04 12:35:00+00:00,2023-12-26 16:40:00+00:00,2023-12
1,0.9537821599137266,0.9537821599137266,0.9537821599137266,1.0,inf,0.0,1,0,1,0,0.9537821599137266,0.9537821599137266,0.9537821599137266,0.9537821599137266,2024-01-25 15:35:00+00:00,2024-01-25 15:35:00+00:00,2024-01
1,0.955093661791122,0.955093661791122,0.955093661791122,1.0,inf,0.0,1,0,1,0,0.955093661791122,0.955093661791122,0.955093661791122,0.955093661791122,2024-02-07 18:00:00+00:00,2024-02-07 18:00:00+00:00,2024-02
8,-1.0731820406905497,-0.1341477550863187,-1.0731820406905497,0.5,0.7414202571804704,-4.1502943308268145,0,1,0,1,-1.073182040690549,-1.073182040690549,-1.073182040690549,-1.073182040690549,2024-03-04 19:05:00+00:00,2024-03-26 19:45:00+00:00,2024-03
26,7.9778087388416825,0.306838797647757,7.9778087388416825,0.6538461538461539,1.9463328519006464,-2.2807933712351183,1,0,1,0,7.977808738841683,7.977808738841683,7.977808738841683,7.977808738841683,2024-04-03 17:20:00+00:00,2024-04-30 18:35:00+00:00,2024-04
14,3.5030959908790553,0.2502211422056468,3.5030959908790553,0.6428571428571429,1.6781098667062153,-1.1181109321238782,1,0,1,0,3.5030959908790553,3.5030959908790553,3.5030959908790553,3.5030959908790553,2024-05-03 17:15:00+00:00,2024-05-28 18:05:00+00:00,2024-05
14,1.4394396519176995,0.1028171179941214,1.4394396519176995,0.5714285714285714,1.230528229728258,-2.242464553769537,1,0,1,0,1.4394396519177,1.4394396519177,1.4394396519177,1.4394396519177,2024-06-03 17:25:00+00:00,2024-06-27 17:20:00+00:00,2024-06
17,4.320858689513261,0.2541681582066624,4.320858689513261,0.6470588235294118,1.6924642722107641,-2.1641059492426162,1,0,1,0,4.320858689513261,4.320858689513261,4.320858689513261,4.320858689513261,2024-07-01 11:30:00+00:00,2024-07-29 17:30:00+00:00,2024-07
22,12.21128678726246,0.5550584903301119,12.21128678726246,0.7727272727272727,3.9332403299974827,-2.093299693435394,1,0,1,0,12.211286787262459,12.211286787262459,12.211286787262459,12.211286787262459,2024-08-01 17:50:00+00:00,2024-08-30 18:45:00+00:00,2024-08
12,1.5376563703422972,0.1281380308618581,1.5376563703422972,0.5833333333333334,1.2955048051688207,-3.2100455333520115,1,0,1,0,1.5376563703422976,1.5376563703422976,1.5376563703422976,1.5376563703422976,2024-09-04 17:25:00+00:00,2024-09-30 20:50:00+00:00,2024-09
11,5.551553907302466,0.5046867188456787,5.551553907302466,0.7272727272727273,3.572349700728478,-1.0423003323597548,1,0,1,0,5.551553907302466,5.551553907302466,5.551553907302466,5.551553907302466,2024-10-01 18:45:00+00:00,2024-10-24 17:45:00+00:00,2024-10
22,5.104907551651836,0.23204125234781073,5.104907551651836,0.6363636363636364,1.6128317939410914,-2.1578639910263937,1,0,1,0,5.104907551651836,5.104907551651836,5.104907551651836,5.104907551651836,2024-11-04 13:35:00+00:00,2024-11-27 16:30:00+00:00,2024-11
9,-3.317753988560386,-0.3686393320622651,-3.317753988560386,0.3333333333333333,0.46477101460411846,-4.1976971862488766,0,1,0,1,-3.317753988560386,-3.317753988560386,-3.317753988560386,-3.317753988560386,2024-12-02 18:35:00+00:00,2024-12-19 19:05:00+00:00,2024-12
10,3.5778973547677184,0.35778973547677184,3.5778973547677184,0.7,2.14748589570599,-1.1265007768856439,1,0,1,0,3.5778973547677184,3.5778973547677184,3.5778973547677184,3.5778973547677184,2025-01-02 18:10:00+00:00,2025-01-29 16:35:00+00:00,2025-01
13,2.5824035051792738,0.19864642347532874,2.5824035051792738,0.6153846153846154,1.5001652244078687,-2.076443789008696,1,0,1,0,2.582403505179274,2.582403505179274,2.582403505179274,2.582403505179274,2025-02-03 17:35:00+00:00,2025-02-28 20:25:00+00:00,2025-02
17,0.4050493000050249,0.02382642941206029,0.4050493000050249,0.5294117647058824,1.0489518821901889,-4.293121860167684,1,0,1,0,0.40504930000502404,0.40504930000502404,0.40504930000502404,0.40504930000502404,2025-03-03 11:55:00+00:00,2025-03-31 14:40:00+00:00,2025-03
39,22.035946084435462,0.5650242585752683,22.035946084435462,0.7948717948717948,3.699987649156074,-2.0564968216968165,1,0,1,0,22.035946084435466,22.035946084435466,22.035946084435466,22.035946084435466,2025-04-02 09:20:00+00:00,2025-04-30 17:35:00+00:00,2025-04
23,6.419650970407264,0.2791152595829245,6.419650970407264,0.6521739130434783,1.7803802679803207,-2.1250687289564723,1,0,1,0,6.419650970407264,6.419650970407264,6.419650970407264,6.419650970407264,2025-05-01 09:25:00+00:00,2025-05-30 19:45:00+00:00,2025-05
27,6.093738460327991,0.22569401704918485,6.093738460327991,0.6296296296296297,1.5902760355835692,-2.201708924947156,1,0,1,0,6.093738460327991,6.093738460327991,6.093738460327991,6.093738460327991,2025-06-02 13:35:00+00:00,2025-06-30 16:30:00+00:00,2025-06
23,16.04780671162286,0.6977307265922983,16.04780671162286,0.8695652173913043,6.120205958772144,-1.0487453865973393,1,0,1,0,16.04780671162286,16.04780671162286,16.04780671162286,16.04780671162286,2025-07-01 06:45:00+00:00,2025-07-31 16:50:00+00:00,2025-07
18,-0.6922631015068406,-0.03845906119482448,-0.6922631015068406,0.5,0.925739840126572,-5.251681746741472,0,1,0,1,-0.6922631015068405,-0.6922631015068405,-0.6922631015068405,-0.6922631015068405,2025-08-01 17:30:00+00:00,2025-08-27 17:15:00+00:00,2025-08
25,6.179576212464394,0.24718304849857575,6.179576212464394,0.64,1.6667972491598435,-3.189897855140771,1,0,1,0,6.179576212464394,6.179576212464394,6.179576212464394,6.179576212464394,2025-09-03 11:35:00+00:00,2025-09-29 16:50:00+00:00,2025-09
38,13.173281831865394,0.34666531136487877,13.173281831865394,0.6842105263157895,2.0749707010106184,-2.2938567661049265,1,0,1,0,13.173281831865388,13.173281831865388,13.173281831865388,13.173281831865388,2025-10-01 10:15:00+00:00,2025-10-31 09:45:00+00:00,2025-10
30,1.357321692297694,0.045244056409923135,1.357321692297694,0.5333333333333333,1.0949422526933084,-3.216970526785326,1,0,1,0,1.357321692297695,1.357321692297695,1.357321692297695,1.357321692297695,2025-11-03 13:40:00+00:00,2025-11-28 14:15:00+00:00,2025-11
32,5.16827225861984,0.16150850808187,5.16827225861984,0.59375,1.3868384828696105,-4.126359510329548,1,0,1,0,5.16827225861984,5.16827225861984,5.16827225861984,5.16827225861984,2025-12-01 05:35:00+00:00,2025-12-31 16:25:00+00:00,2025-12
32,9.328722763175511,0.2915225863492347,9.328722763175511,0.65625,1.834777375877284,-4.110355466871575,1,0,1,0,9.328722763175511,9.328722763175511,9.328722763175511,9.328722763175511,2026-01-02 08:20:00+00:00,2026-01-30 17:55:00+00:00,2026-01
30,11.81606379424254,0.393868793141418,11.81606379424254,0.7,2.4052362447988984,-2.3549648310666695,1,0,1,0,11.816063794242542,11.816063794242542,11.816063794242542,11.816063794242542,2026-02-02 15:55:00+00:00,2026-02-27 05:00:00+00:00,2026-02
33,14.618817564673927,0.4429944716567857,14.618817564673927,0.7272727272727273,2.607160498576392,-2.023424521007109,1,0,1,0,14.618817564673927,14.618817564673927,14.618817564673927,14.618817564673927,2026-03-02 06:55:00+00:00,2026-03-31 05:50:00+00:00,2026-03
39,20.272278792009963,0.5198020203079478,20.272278792009963,0.7692307692307693,3.20451978881085,-2.055520070212758,1,0,1,0,20.272278792009963,20.272278792009963,20.272278792009963,20.272278792009963,2026-04-01 15:35:00+00:00,2026-04-30 20:45:00+00:00,2026-04
40,13.155272110693426,0.32888180276733564,13.155272110693426,0.675,1.9925683496996816,-5.20133192820389,1,0,1,0,13.155272110693426,13.155272110693426,13.155272110693426,13.155272110693426,2026-05-01 05:45:00+00:00,2026-05-29 19:10:00+00:00,2026-05
27,6.4972838744799075,0.24064014349925583,6.4972838744799075,0.6296296296296297,1.637124453156412,-3.1450877828827553,1,0,1,0,6.497283874479908,6.497283874479908,6.497283874479908,6.497283874479908,2026-06-02 16:10:00+00:00,2026-06-18 15:35:00+00:00,2026-06
