name,trades,net_r,years,avg_r_year,wr,pf,expectancy_r,max_dd_r,positive_years,negative_years,positive_months,negative_months,worst_year_r,best_year_r,worst_month_r,best_month_r,month
2025-06,27,6.093738460327991,1,6.093738460327991,0.6296296296296297,1.5902760355835692,0.22569401704918485,-2.201708924947156,1,0,1,0,6.093738460327991,6.093738460327991,6.093738460327991,6.093738460327991,2025-06
2025-07,23,16.04780671162286,1,16.04780671162286,0.8695652173913043,6.120205958772144,0.6977307265922983,-1.0487453865973393,1,0,1,0,16.04780671162286,16.04780671162286,16.04780671162286,16.04780671162286,2025-07
2025-08,18,-0.6922631015068406,1,-0.6922631015068406,0.5,0.925739840126572,-0.03845906119482448,-5.251681746741472,0,1,0,1,-0.6922631015068405,-0.6922631015068405,-0.6922631015068405,-0.6922631015068405,2025-08
2025-09,25,6.179576212464394,1,6.179576212464394,0.64,1.6667972491598435,0.24718304849857575,-3.189897855140771,1,0,1,0,6.179576212464394,6.179576212464394,6.179576212464394,6.179576212464394,2025-09
2025-10,38,13.173281831865394,1,13.173281831865394,0.6842105263157895,2.0749707010106184,0.34666531136487877,-2.2938567661049265,1,0,1,0,13.173281831865388,13.173281831865388,13.173281831865388,13.173281831865388,2025-10
2025-11,30,1.357321692297694,1,1.357321692297694,0.5333333333333333,1.0949422526933084,0.045244056409923135,-3.216970526785326,1,0,1,0,1.357321692297695,1.357321692297695,1.357321692297695,1.357321692297695,2025-11
2025-12,32,5.16827225861984,1,5.16827225861984,0.59375,1.3868384828696105,0.16150850808187,-4.126359510329548,1,0,1,0,5.16827225861984,5.16827225861984,5.16827225861984,5.16827225861984,2025-12
2026-01,32,9.328722763175511,1,9.328722763175511,0.65625,1.834777375877284,0.2915225863492347,-4.110355466871575,1,0,1,0,9.328722763175511,9.328722763175511,9.328722763175511,9.328722763175511,2026-01
2026-02,30,11.81606379424254,1,11.81606379424254,0.7,2.4052362447988984,0.393868793141418,-2.3549648310666695,1,0,1,0,11.816063794242542,11.816063794242542,11.816063794242542,11.816063794242542,2026-02
2026-03,33,14.618817564673927,1,14.618817564673927,0.7272727272727273,2.607160498576392,0.4429944716567857,-2.023424521007109,1,0,1,0,14.618817564673927,14.618817564673927,14.618817564673927,14.618817564673927,2026-03
2026-04,39,20.272278792009963,1,20.272278792009963,0.7692307692307693,3.20451978881085,0.5198020203079478,-2.055520070212758,1,0,1,0,20.272278792009963,20.272278792009963,20.272278792009963,20.272278792009963,2026-04
2026-05,40,13.155272110693426,1,13.155272110693426,0.675,1.9925683496996816,0.32888180276733564,-5.20133192820389,1,0,1,0,13.155272110693426,13.155272110693426,13.155272110693426,13.155272110693426,2026-05
2026-06,27,6.4972838744799075,1,6.4972838744799075,0.6296296296296297,1.637124453156412,0.24064014349925583,-3.1450877828827553,1,0,1,0,6.497283874479908,6.497283874479908,6.497283874479908,6.497283874479908,2026-06
