month,trades,net_r,r_per_year,wr_pct,pf,avg_r,max_dd_r,mar,ulcer_r,max_loss_streak,worst_loss_streak_r,max_win_streak,positive_years,total_years,positive_months,total_months
2023-08,10,3.0748599232226623,36.228793127647656,70.0,1.9428496491001888,0.30748599232226625,-1.105485232067517,32.771847218520776,0.6009750352086888,1,-1.105485232067517,4,1,1,1,1
2023-09,8,2.9518202784773457,51.340588414945266,75.0,2.300391190192618,0.3689775348096682,-1.3696440849275238,37.484620260059756,0.6439695336631586,1,-1.198150594451797,4,1,1,1,1
2023-10,11,3.8116320191004016,48.00684810263523,72.72727272727273,2.1698850556407567,0.3465120017364001,-2.212086735711931,21.702064086191836,0.9035594120492166,2,-2.212086735711931,4,1,1,1,1
2023-11,6,-2.5972277410466162,-39.52655968405319,33.33333333333333,0.40601663332415144,-0.43287129017443604,-3.2828276302786157,-12.040400574031523,1.7260118181677033,3,-3.2828276302786152,2,0,1,0,1
2023-12,10,5.074955048084701,84.25578778695169,80.0,3.3971217278454766,0.50749550480847,-1.084239239440003,77.70959094827523,0.4807572239328485,1,-1.084239239440003,6,1,1,1,1
2024-01,11,2.021466262262046,29.533622091648496,63.63636363636363,1.4578815234473719,0.18376966020564056,-2.1553383798411403,13.702545441530754,1.0030811446693522,2,-2.1553383798411403,3,1,1,1,1
2024-02,10,-1.0017929812187076,-13.068031656790463,50.0,0.8192981498826797,-0.10017929812187076,-3.4246130337576797,-3.815914828324845,1.9498793220177828,2,-2.20685008963214,3,0,1,0,1
2024-03,6,3.5757605991110895,68.73929256975397,83.33333333333334,4.392137151707231,0.5959600998518483,-1.0541320822807658,65.209373403214,0.4343466788590821,1,-1.0541320822807658,3,1,1,1,1
2024-04,7,4.660341037081082,94.56608687743696,85.71428571428571,5.483045454148652,0.6657630052972975,-1.0395480225988694,90.96846400709974,0.3944072436811566,1,-1.0395480225988694,3,1,1,1,1
2024-05,12,-4.599306157543013,-55.996552468086186,33.33333333333333,0.45069952403972013,-0.3832755131285844,-6.470096678191624,-8.65467013141094,3.491939183371421,6,-6.326878358958464,2,0,1,0,1
2024-06,6,5.615461746455225,93.22942740421685,100.0,inf,0.9359102910758708,0.9175306314797318,inf,0.0,0,0.0,6,1,1,1,1
2024-07,9,2.4651297506461605,39.14733223580479,66.66666666666666,1.7755384665637945,0.27390330562735116,-2.2272783087483443,17.576309203048933,1.2308721977815316,2,-2.1215047485685767,3,1,1,1,1
2024-08,12,5.389292635167431,85.58431021716976,75.0,2.7161680388815155,0.4491077195972859,-1.0599469041705931,80.74395979687242,0.5250879314149876,1,-1.0599469041705931,4,1,1,1,1
2024-09,6,1.6139309947536071,28.07087123017881,66.66666666666666,1.746120729712304,0.2689884991256012,-2.163096306647212,12.977171263210428,1.1103064286232494,2,-2.163096306647212,3,1,1,1,1
2024-10,10,1.3857027211615423,17.452686858767354,60.0,1.3230576952689077,0.13857027211615422,-1.3180994914628554,13.240796291786733,0.7472242338667825,1,-1.09677419354839,4,1,1,1,1
2024-11,8,3.63063342271789,66.30444288238547,75.0,2.7392417587116453,0.45382917783973625,-1.1099806761587323,59.7347722411193,0.5385912884468782,1,-1.0460849719101115,5,1,1,1,1
2024-12,7,-3.2736689671563304,-62.93197843441314,28.57142857142857,0.3693919471491321,-0.4676669953080472,-4.218141322321725,-14.919362255927092,2.3554426224649183,3,-3.1237857502545805,1,0,1,0,1
2025-01,8,7.466285419453291,94.03657756742463,100.0,inf,0.9332856774316614,0.890824018715891,inf,0.0,0,0.0,8,1,1,1,1
2025-02,5,-1.3110285860794695,-43.532108278684206,40.0,0.5818326701857761,-0.2622057172158939,-2.2810204410115222,-19.084488457885026,1.3810188515639654,2,-2.0933518088739405,1,0,1,0,1
2025-03,14,-2.745460273733287,-35.8135487493244,42.857142857142854,0.6742355666073463,-0.19610430526666336,-3.129001260270144,-11.445680512839557,1.5885824706661367,3,-3.129001260270144,3,0,1,0,1
2025-04,7,-1.1646039308533322,-17.014863429767185,42.857142857142854,0.7140386517727111,-0.1663719901219046,-2.139982052555759,-7.950937443352156,1.3877153087278318,2,-2.0389733175946883,2,0,1,0,1
2025-05,7,-1.2149274434180863,-18.489677029519,42.857142857142854,0.7058682417948225,-0.1735610633454409,-4.130555132270313,-4.476317695185044,2.583685556845368,4,-4.130555132270314,2,0,1,0,1
