rule,k,entry_off,sl_buf,tp_r,session,ctx,n,per_yr,pf,mar,wr,pos_years,gate_pass
15min,2,0.25,0.25,1.0,all,off,2198,328,0.629,-0.15,0.504,0/8,False
15min,2,0.25,0.25,1.0,all,down,828,124,0.653,-0.15,0.513,0/8,False
15min,2,0.25,0.25,1.0,kz,up,729,109,0.702,-0.15,0.527,0/8,False
15min,2,0.25,0.25,1.0,kz,off,1171,175,0.69,-0.15,0.523,0/8,False
15min,2,0.25,0.25,1.0,kz,down,442,66,0.671,-0.15,0.516,1/8,False
15min,2,0.25,0.25,1.5,all,up,1370,204,0.726,-0.14,0.416,0/8,False
15min,2,0.25,0.25,1.5,all,off,2198,328,0.749,-0.14,0.424,1/8,False
15min,2,0.25,0.25,1.5,all,down,828,124,0.791,-0.14,0.436,1/8,False
15min,2,0.25,0.25,1.5,kz,up,729,109,0.787,-0.14,0.432,2/8,False
15min,2,0.25,0.25,1.5,kz,off,1171,175,0.81,-0.15,0.439,0/8,False
15min,2,0.25,0.25,1.5,kz,down,442,66,0.851,-0.13,0.45,1/8,False
15min,2,0.25,0.25,2.0,all,up,1370,204,0.813,-0.14,0.366,1/8,False
15min,2,0.25,0.25,2.0,all,off,2198,328,0.821,-0.14,0.367,2/8,False
15min,2,0.25,0.25,2.0,all,down,828,124,0.833,-0.14,0.368,1/8,False
15min,2,0.25,0.25,2.0,kz,up,729,109,0.866,-0.13,0.377,3/8,False
15min,2,0.25,0.25,2.0,kz,off,1171,175,0.881,-0.14,0.38,2/8,False
15min,2,0.25,0.25,2.0,kz,down,442,66,0.906,-0.12,0.385,2/8,False
15min,2,0.25,0.25,3.0,all,up,1370,204,0.877,-0.12,0.286,3/8,False
15min,2,0.25,0.25,3.0,all,off,2198,328,0.906,-0.12,0.291,4/8,False
15min,2,0.25,0.25,3.0,all,down,828,124,0.955,-0.08,0.3,4/8,False
15min,2,0.25,0.25,3.0,kz,up,729,109,0.944,-0.08,0.299,4/8,False
15min,2,0.25,0.25,3.0,kz,off,1171,175,0.975,-0.06,0.304,4/8,False
15min,2,0.25,0.25,3.0,kz,down,442,66,1.03,0.06,0.312,4/8,False
15min,3,0.0,0.05,1.0,all,up,509,77,0.013,-0.15,0.09,0/8,False
15min,3,0.0,0.05,1.0,all,off,831,124,0.015,-0.15,0.097,0/8,False
15min,3,0.0,0.05,1.0,all,down,322,48,0.019,-0.15,0.109,0/8,False
15min,3,0.0,0.05,1.0,kz,up,298,45,0.017,-0.15,0.111,1/8,False
15min,3,0.0,0.05,1.0,kz,off,482,72,0.018,-0.15,0.108,0/8,False
15min,3,0.0,0.05,1.0,kz,down,184,28,0.02,-0.15,0.103,0/8,False
15min,3,0.0,0.05,1.5,all,up,509,77,0.083,-0.15,0.234,1/8,False
