rule,k,sl_buf,tp_mode,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
1h,2,1.0,3R,0,"(-1,)",241,37,0.894,-17.9,-0.1,0.315,-27.3,3/8,2.93,False
1h,2,1.0,3R,0,"(1, -1)",462,69,1.057,17.3,0.13,0.357,-20.4,6/8,2.93,False
1h,2,1.0,3R,1,"(1,)",109,17,1.505,30.7,0.57,0.431,-8.3,6/8,2.94,False
1h,2,1.0,3R,1,"(-1,)",84,13,0.965,-2.0,-0.02,0.345,-13.5,5/8,2.93,False
1h,2,1.0,3R,1,"(1, -1)",193,29,1.247,28.8,0.49,0.394,-8.8,7/8,2.94,False
1h,3,0.1,2R,0,"(1,)",103,16,1.159,10.0,0.17,0.553,-8.9,5/8,1.63,False
1h,3,0.1,2R,0,"(-1,)",107,16,1.173,10.9,0.16,0.561,-10.0,6/8,1.58,False
1h,3,0.1,2R,0,"(1, -1)",210,31,1.166,20.9,0.19,0.557,-16.3,4/8,1.6,False
1h,3,0.1,2R,1,"(1,)",59,9,1.498,15.3,0.36,0.593,-6.5,5/8,1.66,False
1h,3,0.1,2R,1,"(1, -1)",94,14,1.405,20.3,0.45,0.585,-6.7,4/8,1.63,False
1h,3,0.1,3R,0,"(1,)",103,16,1.42,30.9,0.44,0.476,-10.6,5/8,2.5,False
1h,3,0.1,3R,0,"(-1,)",107,16,1.281,22.3,0.21,0.449,-16.4,5/8,2.44,False
1h,3,0.1,3R,0,"(1, -1)",210,31,1.348,53.2,0.43,0.462,-18.6,6/8,2.47,False
1h,3,0.1,3R,1,"(1,)",59,9,2.012,35.4,0.89,0.542,-6.1,6/8,2.54,False
1h,3,0.1,3R,1,"(1, -1)",94,14,1.734,43.8,0.78,0.511,-8.4,6/8,2.51,False
1h,3,0.25,2R,0,"(1,)",119,18,1.415,29.0,0.35,0.496,-12.7,6/8,1.82,False
1h,3,0.25,2R,0,"(-1,)",123,19,1.055,4.4,0.04,0.423,-16.9,5/8,1.81,False
1h,3,0.25,2R,0,"(1, -1)",242,36,1.222,33.4,0.33,0.459,-15.0,5/8,1.82,False
1h,3,0.25,2R,1,"(1,)",67,10,1.759,26.5,1.11,0.537,-3.7,7/8,1.85,False
1h,3,0.25,2R,1,"(-1,)",41,6,0.93,-2.0,-0.03,0.39,-11.9,3/8,1.82,False
1h,3,0.25,2R,1,"(1, -1)",108,16,1.388,24.5,0.35,0.481,-10.6,6/8,1.84,False
1h,3,0.25,3R,0,"(1,)",119,18,1.478,39.9,0.51,0.395,-11.8,7/8,2.76,False
1h,3,0.25,3R,0,"(-1,)",123,19,0.97,-2.9,-0.03,0.309,-16.9,4/8,2.75,False
1h,3,0.25,3R,0,"(1, -1)",242,36,1.204,37.0,0.37,0.351,-15.1,6/8,2.75,False
1h,3,0.25,3R,1,"(1,)",67,10,1.679,30.1,0.3,0.418,-15.6,6/8,2.8,False
1h,3,0.25,3R,1,"(-1,)",41,6,1.061,2.0,0.03,0.317,-10.0,5/8,2.77,False
1h,3,0.25,3R,1,"(1, -1)",108,16,1.42,32.0,0.31,0.38,-15.5,7/8,2.79,False
1h,3,0.5,2R,0,"(1,)",127,19,1.361,27.1,0.34,0.449,-11.9,6/8,1.9,False
1h,3,0.5,2R,0,"(-1,)",131,20,0.817,-17.0,-0.15,0.344,-17.4,2/8,1.89,False
1h,3,0.5,2R,0,"(1, -1)",258,38,1.06,10.1,0.1,0.395,-15.6,5/8,1.9,False
1h,3,0.5,2R,1,"(1,)",71,11,1.661,24.8,0.58,0.493,-6.6,7/8,1.92,False
1h,3,0.5,2R,1,"(-1,)",42,6,0.905,-2.8,-0.05,0.357,-8.8,3/8,1.91,False
1h,3,0.5,2R,1,"(1, -1)",113,17,1.331,22.1,0.3,0.442,-11.1,7/8,1.92,False
1h,3,0.5,3R,0,"(1,)",127,19,1.504,42.1,0.5,0.386,-12.7,7/8,2.87,False
1h,3,0.5,3R,0,"(-1,)",131,20,0.992,-0.8,-0.01,0.305,-15.7,4/8,2.86,False
