rule,k,tp_mode,sl_buf,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,3,swing,0.5,0,"(-1,)",9857,1468,0.428,-12620.9,-0.15,0.21,-12645.3,0/8,8.13,False
15min,3,swing,0.5,0,"(1, -1)",20768,3093,0.412,-29485.7,-0.15,0.214,-29507.2,0/8,7.81,False
15min,3,swing,0.5,1,"(1,)",6532,973,0.373,-11491.7,-0.15,0.217,-11490.1,0/8,7.32,False
15min,3,swing,0.5,1,"(-1,)",4132,615,0.374,-6303.0,-0.15,0.212,-6307.2,0/8,7.68,False
15min,3,swing,0.5,1,"(1, -1)",10664,1588,0.373,-17794.8,-0.15,0.215,-17798.9,0/8,7.46,False
15min,4,2R,0.05,0,"(1,)",10275,1530,0.372,-6145.5,-0.15,0.379,-6211.3,1/8,1.18,False
15min,4,2R,0.05,0,"(-1,)",9296,1385,0.323,-6383.6,-0.15,0.353,-6401.2,0/8,1.18,False
15min,4,2R,0.05,0,"(1, -1)",19571,2915,0.348,-12529.1,-0.15,0.367,-12583.5,1/8,1.18,False
15min,4,2R,0.05,1,"(1,)",6143,915,0.378,-3670.3,-0.15,0.379,-3731.4,1/8,1.18,False
15min,4,2R,0.05,1,"(-1,)",3893,580,0.343,-2537.8,-0.15,0.365,-2565.6,0/8,1.17,False
15min,4,2R,0.05,1,"(1, -1)",10036,1495,0.364,-6208.1,-0.15,0.373,-6286.2,1/8,1.18,False
15min,4,2R,0.1,0,"(1,)",10354,1542,0.386,-5980.0,-0.15,0.381,-6051.8,1/8,1.2,False
15min,4,2R,0.1,0,"(-1,)",9365,1395,0.337,-6211.4,-0.15,0.357,-6228.9,0/8,1.2,False
15min,4,2R,0.1,0,"(1, -1)",19719,2937,0.362,-12191.4,-0.15,0.369,-12259.6,1/8,1.2,False
15min,4,2R,0.1,1,"(1,)",6193,923,0.391,-3574.3,-0.15,0.382,-3640.8,1/8,1.2,False
15min,4,2R,0.1,1,"(-1,)",3923,584,0.359,-2466.5,-0.15,0.369,-2493.6,0/8,1.19,False
15min,4,2R,0.1,1,"(1, -1)",10116,1507,0.378,-6040.8,-0.15,0.377,-6126.6,1/8,1.2,False
15min,4,2R,0.25,0,"(1,)",10598,1579,0.426,-5545.5,-0.15,0.388,-5624.6,1/8,1.25,False
15min,4,2R,0.25,0,"(-1,)",9563,1424,0.377,-5755.3,-0.15,0.368,-5779.8,0/8,1.25,False
15min,4,2R,0.25,0,"(1, -1)",20161,3003,0.402,-11300.8,-0.15,0.378,-11385.3,1/8,1.25,False
15min,4,2R,0.25,1,"(1,)",6342,945,0.431,-3321.9,-0.15,0.389,-3397.5,1/8,1.25,False
15min,4,2R,0.25,1,"(-1,)",4008,597,0.401,-2264.5,-0.15,0.38,-2311.8,1/8,1.25,False
15min,4,2R,0.25,1,"(1, -1)",10350,1542,0.419,-5586.4,-0.15,0.385,-5705.5,1/8,1.25,False
15min,4,2R,0.5,0,"(1,)",10911,1625,0.483,-4927.3,-0.15,0.395,-5038.4,1/8,1.33,False
15min,4,2R,0.5,0,"(-1,)",9857,1468,0.427,-5237.8,-0.15,0.375,-5276.6,1/8,1.32,False
15min,4,2R,0.5,0,"(1, -1)",20768,3093,0.456,-10165.0,-0.15,0.386,-10278.4,1/8,1.32,False
15min,4,2R,0.5,1,"(1,)",6532,973,0.488,-2948.3,-0.14,0.395,-3057.1,1/8,1.32,False
