rule,k,ob_level,os_level,sl_buf,tp_mode,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,75,35,0.25,3R,"(1,)",658,98,1.071,30.5,0.1,0.359,-44.1,4/8,2.92,False
15min,2,75,35,0.25,3R,"(-1,)",259,39,0.716,-53.7,-0.14,0.278,-55.5,2/8,2.91,False
15min,2,75,35,0.25,3R,"(1, -1)",917,137,0.962,-23.3,-0.05,0.336,-76.2,3/8,2.91,False
15min,2,75,35,0.5,2R,"(1,)",659,98,1.025,9.5,0.03,0.408,-52.8,4/8,1.95,False
15min,2,75,35,0.5,2R,"(-1,)",259,39,0.718,-48.7,-0.14,0.328,-51.3,2/8,1.94,False
15min,2,75,35,0.5,2R,"(1, -1)",918,137,0.93,-39.2,-0.07,0.386,-82.1,3/8,1.95,False
15min,2,75,35,0.5,3R,"(1,)",659,98,1.073,30.0,0.1,0.37,-44.2,5/8,2.93,False
15min,2,75,35,0.5,3R,"(-1,)",259,39,0.703,-54.0,-0.14,0.293,-58.7,1/8,2.92,False
15min,2,75,35,0.5,3R,"(1, -1)",918,137,0.96,-24.0,-0.05,0.349,-75.6,3/8,2.93,False
15min,3,65,25,0.1,2R,"(1,)",131,20,0.918,-6.2,-0.04,0.412,-20.8,3/8,1.94,False
15min,3,65,25,0.1,2R,"(-1,)",852,127,0.788,-123.2,-0.13,0.329,-137.2,3/8,1.94,False
15min,3,65,25,0.1,2R,"(1, -1)",983,147,0.803,-129.3,-0.14,0.34,-138.8,3/8,1.94,False
15min,3,65,25,0.1,3R,"(1,)",131,20,0.932,-5.5,-0.03,0.366,-24.8,3/8,2.92,False
15min,3,65,25,0.1,3R,"(-1,)",852,127,0.843,-96.1,-0.12,0.286,-118.0,3/8,2.92,False
15min,3,65,25,0.1,3R,"(1, -1)",983,147,0.853,-101.6,-0.13,0.297,-118.0,3/8,2.92,False
15min,3,65,25,0.25,2R,"(1,)",131,20,0.883,-8.7,-0.05,0.412,-24.0,3/8,1.95,False
15min,3,65,25,0.25,2R,"(-1,)",853,127,0.828,-96.5,-0.12,0.342,-117.4,2/8,1.94,False
15min,3,65,25,0.25,2R,"(1, -1)",984,147,0.834,-105.2,-0.13,0.352,-117.4,3/8,1.95,False
15min,3,65,25,0.25,3R,"(1,)",131,20,0.982,-1.4,-0.01,0.382,-22.7,3/8,2.93,False
15min,3,65,25,0.25,3R,"(-1,)",853,127,0.855,-85.9,-0.11,0.302,-121.9,2/8,2.93,False
15min,3,65,25,0.25,3R,"(1, -1)",984,147,0.869,-87.4,-0.11,0.313,-121.9,2/8,2.93,False
15min,3,65,25,0.5,2R,"(1,)",131,20,0.927,-5.1,-0.04,0.435,-20.8,4/8,1.96,False
15min,3,65,25,0.5,2R,"(-1,)",855,128,0.814,-100.0,-0.12,0.349,-127.9,2/8,1.95,False
15min,3,65,25,0.5,2R,"(1, -1)",986,147,0.827,-105.1,-0.12,0.36,-127.9,3/8,1.95,False
15min,3,65,25,0.5,3R,"(1,)",131,20,1.055,4.0,0.03,0.412,-19.3,5/8,2.94,False
15min,3,65,25,0.5,3R,"(-1,)",855,128,0.845,-86.8,-0.11,0.323,-121.7,2/8,2.94,False
15min,3,65,25,0.5,3R,"(1, -1)",986,147,0.869,-82.8,-0.1,0.335,-121.7,2/8,2.94,False
15min,3,65,30,0.1,2R,"(1,)",316,47,0.954,-8.8,-0.05,0.392,-25.9,4/8,1.94,False
15min,3,65,30,0.1,2R,"(-1,)",852,127,0.788,-123.2,-0.13,0.329,-137.2,3/8,1.94,False
15min,3,65,30,0.1,2R,"(1, -1)",1168,174,0.829,-131.9,-0.14,0.346,-139.2,2/8,1.94,False
15min,3,65,30,0.1,3R,"(1,)",316,47,0.886,-23.4,-0.08,0.332,-42.0,4/8,2.92,False
15min,3,65,30,0.1,3R,"(-1,)",852,127,0.843,-96.1,-0.12,0.286,-118.0,3/8,2.92,False
15min,3,65,30,0.1,3R,"(1, -1)",1168,174,0.854,-119.6,-0.15,0.299,-119.6,1/8,2.92,False
15min,3,65,30,0.25,2R,"(1,)",316,47,0.877,-23.1,-0.09,0.383,-38.0,4/8,1.95,False
15min,3,65,30,0.25,2R,"(-1,)",853,127,0.828,-96.5,-0.12,0.342,-117.4,2/8,1.94,False
15min,3,65,30,0.25,2R,"(1, -1)",1169,174,0.84,-119.7,-0.14,0.353,-124.6,0/8,1.95,False
15min,3,65,30,0.25,3R,"(1,)",316,47,0.882,-23.5,-0.1,0.342,-33.9,4/8,2.93,False
15min,3,65,30,0.25,3R,"(-1,)",853,127,0.855,-85.9,-0.11,0.302,-121.9,2/8,2.93,False
15min,3,65,30,0.25,3R,"(1, -1)",1169,174,0.862,-109.5,-0.13,0.313,-121.9,1/8,2.93,False
15min,3,65,30,0.5,2R,"(1,)",316,47,0.947,-9.2,-0.04,0.411,-31.5,4/8,1.96,False
15min,3,65,30,0.5,2R,"(-1,)",855,128,0.814,-100.0,-0.12,0.349,-127.9,2/8,1.95,False
15min,3,65,30,0.5,2R,"(1, -1)",1171,175,0.846,-109.2,-0.13,0.365,-127.9,1/8,1.95,False
15min,3,65,30,0.5,3R,"(1,)",316,47,0.984,-2.8,-0.01,0.38,-36.6,4/8,2.94,False
15min,3,65,30,0.5,3R,"(-1,)",855,128,0.845,-86.8,-0.11,0.323,-121.7,2/8,2.94,False
15min,3,65,30,0.5,3R,"(1, -1)",1171,175,0.879,-89.6,-0.11,0.338,-121.7,3/8,2.94,False
15min,3,65,35,0.1,2R,"(1,)",578,86,0.859,-51.1,-0.12,0.377,-64.4,1/8,1.94,False
15min,3,65,35,0.1,2R,"(-1,)",852,127,0.788,-123.2,-0.13,0.329,-137.2,3/8,1.94,False
15min,3,65,35,0.1,2R,"(1, -1)",1430,213,0.815,-174.3,-0.15,0.348,-179.2,0/8,1.94,False
15min,3,65,35,0.1,3R,"(1,)",578,86,0.809,-74.8,-0.13,0.324,-87.6,3/8,2.92,False
15min,3,65,35,0.1,3R,"(-1,)",852,127,0.843,-96.1,-0.12,0.286,-118.0,3/8,2.92,False
15min,3,65,35,0.1,3R,"(1, -1)",1430,213,0.83,-170.9,-0.15,0.301,-171.5,1/8,2.92,False
15min,3,65,35,0.25,2R,"(1,)",578,86,0.807,-69.4,-0.13,0.369,-78.8,1/8,1.95,False
15min,3,65,35,0.25,2R,"(-1,)",853,127,0.828,-96.5,-0.12,0.342,-117.4,2/8,1.94,False
15min,3,65,35,0.25,2R,"(1, -1)",1431,213,0.82,-165.9,-0.15,0.353,-167.1,0/8,1.95,False
15min,3,65,35,0.25,3R,"(1,)",578,86,0.797,-77.6,-0.13,0.329,-86.3,1/8,2.93,False
15min,3,65,35,0.25,3R,"(-1,)",853,127,0.855,-85.9,-0.11,0.302,-121.9,2/8,2.93,False
15min,3,65,35,0.25,3R,"(1, -1)",1431,213,0.832,-163.6,-0.15,0.313,-162.5,1/8,2.93,False
15min,3,65,35,0.5,2R,"(1,)",579,87,0.877,-40.2,-0.1,0.406,-59.9,4/8,1.96,False
15min,3,65,35,0.5,2R,"(-1,)",855,128,0.814,-100.0,-0.12,0.349,-127.9,2/8,1.95,False
15min,3,65,35,0.5,2R,"(1, -1)",1434,214,0.838,-140.2,-0.14,0.372,-151.7,0/8,1.95,False
15min,3,65,35,0.5,3R,"(1,)",579,87,0.869,-45.5,-0.1,0.368,-66.1,5/8,2.94,False
15min,3,65,35,0.5,3R,"(-1,)",855,128,0.845,-86.8,-0.11,0.323,-121.7,2/8,2.94,False
15min,3,65,35,0.5,3R,"(1, -1)",1434,214,0.854,-132.3,-0.15,0.341,-131.4,1/8,2.94,False
15min,3,70,25,0.1,2R,"(1,)",131,20,0.918,-6.2,-0.04,0.412,-20.8,3/8,1.94,False
15min,3,70,25,0.1,2R,"(-1,)",496,74,0.721,-95.9,-0.15,0.31,-98.5,2/8,1.94,False
15min,3,70,25,0.1,2R,"(1, -1)",627,93,0.756,-102.0,-0.14,0.332,-111.5,2/8,1.94,False
15min,3,70,25,0.1,3R,"(1,)",131,20,0.932,-5.5,-0.03,0.366,-24.8,3/8,2.92,False
15min,3,70,25,0.1,3R,"(-1,)",496,74,0.777,-80.5,-0.14,0.274,-85.7,2/8,2.92,False
15min,3,70,25,0.1,3R,"(1, -1)",627,93,0.805,-86.0,-0.13,0.293,-98.8,2/8,2.92,False
15min,3,70,25,0.25,2R,"(1,)",131,20,0.883,-8.7,-0.05,0.412,-24.0,3/8,1.95,False
15min,3,70,25,0.25,2R,"(-1,)",496,74,0.747,-84.6,-0.13,0.323,-98.1,2/8,1.94,False
15min,3,70,25,0.25,2R,"(1, -1)",627,93,0.771,-93.3,-0.13,0.341,-103.5,1/8,1.95,False
15min,3,70,25,0.25,3R,"(1,)",131,20,0.982,-1.4,-0.01,0.382,-22.7,3/8,2.93,False
15min,3,70,25,0.25,3R,"(-1,)",496,74,0.779,-77.7,-0.11,0.284,-105.3,2/8,2.93,False
15min,3,70,25,0.25,3R,"(1, -1)",627,93,0.815,-79.1,-0.11,0.305,-105.3,1/8,2.93,False
15min,3,70,25,0.5,2R,"(1,)",131,20,0.927,-5.1,-0.04,0.435,-20.8,4/8,1.96,False
