rule,k,fib,sl_buf,tp_mode,ema_confirm,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,0.786,0.25,3R,0,"(-1,)",11042,1645,0.858,-1336.2,-0.14,0.305,-1456.4,1/8,2.66,False
15min,2,0.786,0.25,3R,0,"(1, -1)",21763,3242,0.915,-1558.9,-0.12,0.318,-1993.8,2/8,2.67,False
15min,2,0.786,0.25,3R,1,"(1,)",5929,884,0.973,-132.7,-0.04,0.332,-551.8,4/8,2.67,False
15min,2,0.786,0.25,3R,1,"(-1,)",4953,738,0.856,-607.9,-0.14,0.303,-650.6,2/8,2.67,False
15min,2,0.786,0.25,3R,1,"(1, -1)",10882,1621,0.919,-740.6,-0.11,0.319,-1050.3,2/8,2.67,False
15min,3,0.5,0.05,2R,0,"(1,)",9202,1371,0.796,-1370.4,-0.15,0.334,-1390.3,1/8,1.89,False
15min,3,0.5,0.05,2R,0,"(-1,)",9229,1375,0.678,-2268.5,-0.15,0.301,-2276.7,0/8,1.89,False
15min,3,0.5,0.05,2R,0,"(1, -1)",18431,2745,0.735,-3638.9,-0.15,0.318,-3646.7,0/8,1.89,False
15min,3,0.5,0.05,2R,1,"(1,)",5021,748,0.801,-726.4,-0.14,0.336,-761.1,1/8,1.89,False
15min,3,0.5,0.05,2R,1,"(-1,)",4159,619,0.682,-1002.2,-0.15,0.302,-1013.8,0/8,1.89,False
15min,3,0.5,0.05,2R,1,"(1, -1)",9180,1367,0.746,-1728.6,-0.15,0.321,-1753.3,0/8,1.89,False
15min,3,0.5,0.05,3R,0,"(1,)",9202,1371,0.882,-857.5,-0.13,0.279,-1000.4,2/8,2.86,False
15min,3,0.5,0.05,3R,0,"(-1,)",9229,1375,0.738,-1993.8,-0.15,0.245,-2017.5,0/8,2.85,False
15min,3,0.5,0.05,3R,0,"(1, -1)",18431,2745,0.808,-2851.3,-0.15,0.262,-2854.3,0/8,2.85,False
15min,3,0.5,0.05,3R,1,"(1,)",5021,748,0.898,-404.6,-0.11,0.282,-560.5,1/8,2.86,False
15min,3,0.5,0.05,3R,1,"(-1,)",4159,619,0.719,-961.2,-0.15,0.242,-975.7,0/8,2.86,False
15min,3,0.5,0.05,3R,1,"(1, -1)",9180,1367,0.815,-1365.8,-0.15,0.264,-1385.8,1/8,2.86,False
15min,3,0.5,0.1,2R,0,"(1,)",9280,1382,0.801,-1336.9,-0.15,0.335,-1353.9,0/8,1.9,False
15min,3,0.5,0.1,2R,0,"(-1,)",9344,1392,0.677,-2296.0,-0.15,0.301,-2301.9,0/8,1.89,False
15min,3,0.5,0.1,2R,0,"(1, -1)",18624,2774,0.737,-3632.9,-0.15,0.318,-3634.3,0/8,1.9,False
15min,3,0.5,0.1,2R,1,"(1,)",5076,757,0.808,-706.6,-0.14,0.337,-746.9,1/8,1.9,False
15min,3,0.5,0.1,2R,1,"(-1,)",4213,627,0.681,-1015.9,-0.15,0.301,-1025.7,0/8,1.9,False
15min,3,0.5,0.1,2R,1,"(1, -1)",9289,1383,0.749,-1722.5,-0.15,0.321,-1742.2,0/8,1.9,False
15min,3,0.5,0.1,3R,0,"(1,)",9280,1382,0.889,-804.1,-0.13,0.281,-949.1,2/8,2.86,False
15min,3,0.5,0.1,3R,0,"(-1,)",9344,1392,0.743,-1963.9,-0.15,0.247,-1989.8,0/8,2.86,False
15min,3,0.5,0.1,3R,0,"(1, -1)",18624,2774,0.814,-2767.9,-0.15,0.264,-2769.8,0/8,2.86,False
15min,3,0.5,0.1,3R,1,"(1,)",5076,757,0.913,-345.2,-0.1,0.285,-531.5,1/8,2.86,False
15min,3,0.5,0.1,3R,1,"(-1,)",4213,627,0.72,-966.6,-0.15,0.243,-980.4,0/8,2.86,False
15min,3,0.5,0.1,3R,1,"(1, -1)",9289,1383,0.823,-1311.9,-0.15,0.266,-1330.7,1/8,2.86,False
15min,3,0.5,0.25,2R,0,"(1,)",9525,1419,0.805,-1327.7,-0.15,0.335,-1350.6,0/8,1.91,False
15min,3,0.5,0.25,2R,0,"(-1,)",9600,1430,0.674,-2359.9,-0.15,0.298,-2393.8,0/8,1.91,False
15min,3,0.5,0.25,2R,0,"(1, -1)",19125,2848,0.738,-3687.6,-0.15,0.316,-3691.4,0/8,1.91,False
15min,3,0.5,0.25,2R,1,"(1,)",5220,778,0.819,-673.0,-0.14,0.339,-726.2,1/8,1.91,False
15min,3,0.5,0.25,2R,1,"(-1,)",4323,644,0.699,-966.8,-0.15,0.304,-992.1,1/8,1.91,False
15min,3,0.5,0.25,2R,1,"(1, -1)",9543,1421,0.763,-1639.8,-0.15,0.324,-1668.6,0/8,1.91,False
15min,3,0.5,0.25,3R,0,"(1,)",9525,1419,0.888,-823.1,-0.12,0.284,-1038.5,2/8,2.88,False
15min,3,0.5,0.25,3R,0,"(-1,)",9600,1430,0.733,-2072.0,-0.15,0.248,-2101.9,0/8,2.87,False
15min,3,0.5,0.25,3R,0,"(1, -1)",19125,2848,0.808,-2895.2,-0.15,0.266,-2906.9,0/8,2.88,False
15min,3,0.5,0.25,3R,1,"(1,)",5220,778,0.909,-364.3,-0.09,0.288,-621.0,4/8,2.88,False
15min,3,0.5,0.25,3R,1,"(-1,)",4323,644,0.727,-947.0,-0.15,0.248,-956.5,0/8,2.88,False
15min,3,0.5,0.25,3R,1,"(1, -1)",9543,1421,0.825,-1311.3,-0.14,0.27,-1352.6,0/8,2.88,False
15min,3,0.618,0.05,2R,0,"(1,)",8468,1261,0.842,-970.0,-0.14,0.358,-1029.6,1/8,1.86,False
15min,3,0.618,0.05,2R,0,"(-1,)",8616,1283,0.736,-1724.7,-0.15,0.329,-1731.5,0/8,1.86,False
15min,3,0.618,0.05,2R,0,"(1, -1)",17084,2544,0.787,-2694.7,-0.15,0.343,-2700.5,0/8,1.86,False
15min,3,0.618,0.05,2R,1,"(1,)",4619,688,0.842,-532.4,-0.14,0.358,-587.4,1/8,1.86,False
15min,3,0.618,0.05,2R,1,"(-1,)",3868,576,0.715,-838.9,-0.15,0.321,-845.8,0/8,1.86,False
15min,3,0.618,0.05,2R,1,"(1, -1)",8487,1264,0.783,-1371.3,-0.15,0.341,-1395.1,0/8,1.86,False
15min,3,0.618,0.05,3R,0,"(1,)",8468,1261,0.919,-554.0,-0.1,0.286,-801.1,3/8,2.81,False
15min,3,0.618,0.05,3R,0,"(-1,)",8616,1283,0.79,-1509.8,-0.15,0.259,-1530.7,0/8,2.81,False
15min,3,0.618,0.05,3R,0,"(1, -1)",17084,2544,0.853,-2063.8,-0.15,0.272,-2110.5,0/8,2.81,False
15min,3,0.618,0.05,3R,1,"(1,)",4619,688,0.925,-278.3,-0.09,0.288,-450.7,4/8,2.81,False
15min,3,0.618,0.05,3R,1,"(-1,)",3868,576,0.794,-661.3,-0.14,0.26,-682.8,0/8,2.81,False
15min,3,0.618,0.05,3R,1,"(1, -1)",8487,1264,0.865,-939.7,-0.13,0.275,-1040.4,2/8,2.81,False
