rule,k,ote,sl_buf,tp_mode,sweep_lb,need_conf,use_idm,h4_trend,session,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,0.5,0.05,2R,6,5,1,1,kz,"(1,)",1306,195,0.981,-17.3,-0.02,0.395,-112.1,5/8,1.86,False
15min,2,0.5,0.05,2R,6,5,1,1,kz,"(-1,)",887,133,0.883,-74.3,-0.1,0.371,-113.7,2/8,1.85,False
15min,2,0.5,0.05,2R,6,5,1,1,kz,"(1, -1)",2193,328,0.94,-91.6,-0.07,0.385,-199.1,3/8,1.86,False
15min,2,0.5,0.05,2R,10,3,0,0,all,"(1,)",8891,1325,0.905,-599.8,-0.11,0.395,-849.2,3/8,1.81,False
15min,2,0.5,0.05,2R,10,3,0,0,all,"(-1,)",9590,1429,0.83,-1197.4,-0.14,0.379,-1230.9,0/8,1.8,False
15min,2,0.5,0.05,2R,10,3,0,0,all,"(1, -1)",18481,2753,0.865,-1797.2,-0.14,0.387,-1921.4,2/8,1.81,False
15min,2,0.5,0.05,2R,10,3,0,0,kz,"(1,)",4569,681,0.916,-272.5,-0.09,0.396,-448.2,2/8,1.81,False
15min,2,0.5,0.05,2R,10,3,0,0,kz,"(-1,)",4909,731,0.846,-549.3,-0.14,0.382,-579.7,0/8,1.8,False
15min,2,0.5,0.05,2R,10,3,0,0,kz,"(1, -1)",9478,1412,0.879,-821.8,-0.13,0.389,-933.9,2/8,1.81,False
15min,2,0.5,0.05,2R,10,3,0,1,all,"(1,)",4605,687,0.944,-178.7,-0.07,0.404,-397.3,3/8,1.82,False
15min,2,0.5,0.05,2R,10,3,0,1,all,"(-1,)",3497,523,0.797,-529.3,-0.15,0.364,-534.9,1/8,1.82,False
15min,2,0.5,0.05,2R,10,3,0,1,all,"(1, -1)",8102,1208,0.878,-708.0,-0.12,0.387,-903.0,2/8,1.82,False
15min,2,0.5,0.05,2R,10,3,0,1,kz,"(1,)",2440,364,0.945,-93.9,-0.06,0.404,-221.2,2/8,1.82,False
15min,2,0.5,0.05,2R,10,3,0,1,kz,"(-1,)",1803,270,0.864,-177.2,-0.14,0.383,-190.3,2/8,1.81,False
15min,2,0.5,0.05,2R,10,3,0,1,kz,"(1, -1)",4243,633,0.91,-271.1,-0.1,0.395,-403.0,2/8,1.81,False
15min,2,0.5,0.05,2R,10,3,1,0,all,"(1,)",8891,1325,0.905,-599.8,-0.11,0.395,-849.2,3/8,1.81,False
15min,2,0.5,0.05,2R,10,3,1,0,all,"(-1,)",9590,1429,0.83,-1197.4,-0.14,0.379,-1230.9,0/8,1.8,False
15min,2,0.5,0.05,2R,10,3,1,0,all,"(1, -1)",18481,2753,0.865,-1797.2,-0.14,0.387,-1921.4,2/8,1.81,False
15min,2,0.5,0.05,2R,10,3,1,0,kz,"(1,)",4569,681,0.916,-272.5,-0.09,0.396,-448.2,2/8,1.81,False
15min,2,0.5,0.05,2R,10,3,1,0,kz,"(-1,)",4909,731,0.846,-549.3,-0.14,0.382,-579.7,0/8,1.8,False
15min,2,0.5,0.05,2R,10,3,1,0,kz,"(1, -1)",9478,1412,0.879,-821.8,-0.13,0.389,-933.9,2/8,1.81,False
15min,2,0.5,0.05,2R,10,3,1,1,all,"(1,)",4605,687,0.944,-178.7,-0.07,0.404,-397.3,3/8,1.82,False
15min,2,0.5,0.05,2R,10,3,1,1,all,"(-1,)",3497,523,0.797,-529.3,-0.15,0.364,-534.9,1/8,1.82,False
15min,2,0.5,0.05,2R,10,3,1,1,all,"(1, -1)",8102,1208,0.878,-708.0,-0.12,0.387,-903.0,2/8,1.82,False
15min,2,0.5,0.05,2R,10,3,1,1,kz,"(1,)",2440,364,0.945,-93.9,-0.06,0.404,-221.2,2/8,1.82,False
15min,2,0.5,0.05,2R,10,3,1,1,kz,"(-1,)",1803,270,0.864,-177.2,-0.14,0.383,-190.3,2/8,1.81,False
15min,2,0.5,0.05,2R,10,3,1,1,kz,"(1, -1)",4243,633,0.91,-271.1,-0.1,0.395,-403.0,2/8,1.81,False
15min,2,0.5,0.05,2R,10,4,0,0,all,"(1,)",8062,1201,0.902,-564.2,-0.11,0.392,-771.7,3/8,1.82,False
15min,2,0.5,0.05,2R,10,4,0,0,all,"(-1,)",8613,1283,0.826,-1102.2,-0.14,0.375,-1138.5,0/8,1.81,False
15min,2,0.5,0.05,2R,10,4,0,0,all,"(1, -1)",16675,2484,0.862,-1666.4,-0.14,0.383,-1771.3,1/8,1.81,False
15min,2,0.5,0.05,2R,10,4,0,0,kz,"(1,)",4100,611,0.91,-263.1,-0.1,0.393,-401.0,2/8,1.82,False
