rule,k,ote,sl_buf,tp_mode,sweep_lb,need_conf,use_idm,h4_trend,session,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
1h,3,0.786,0.1,3R,3,3,0,0,all,"(-1,)",546,81,0.948,-23.1,-0.05,0.322,-72.9,3/8,2.64,False
1h,3,0.786,0.1,3R,3,3,0,0,all,"(1, -1)",1019,152,1.035,29.0,0.08,0.342,-56.6,5/8,2.63,False
1h,3,0.786,0.1,3R,3,3,0,0,kz,"(1,)",292,44,1.135,32.0,0.15,0.366,-32.1,3/8,2.63,False
1h,3,0.786,0.1,3R,3,3,0,0,kz,"(-1,)",346,52,0.943,-16.3,-0.07,0.321,-37.2,4/8,2.69,False
1h,3,0.786,0.1,3R,3,3,0,0,kz,"(1, -1)",638,95,1.03,15.6,0.05,0.342,-43.8,4/8,2.66,False
1h,3,0.786,0.1,3R,3,3,0,1,all,"(1,)",229,34,1.069,12.8,0.07,0.341,-27.0,5/8,2.67,False
1h,3,0.786,0.1,3R,3,3,0,1,all,"(-1,)",168,26,1.061,8.0,0.06,0.339,-19.9,5/8,2.68,False
1h,3,0.786,0.1,3R,3,3,0,1,all,"(1, -1)",397,59,1.065,20.8,0.08,0.34,-41.4,6/8,2.68,False
1h,3,0.786,0.1,3R,3,3,0,1,kz,"(1,)",137,21,0.985,-1.8,-0.01,0.328,-30.4,4/8,2.64,False
1h,3,0.786,0.1,3R,3,3,0,1,kz,"(-1,)",105,16,1.081,6.7,0.04,0.343,-23.1,5/8,2.72,False
1h,3,0.786,0.1,3R,3,3,0,1,kz,"(1, -1)",242,37,1.024,4.9,0.02,0.335,-34.4,5/8,2.68,False
1h,3,0.786,0.1,3R,3,3,1,0,all,"(1,)",473,71,1.14,52.1,0.23,0.366,-34.4,4/8,2.62,False
1h,3,0.786,0.1,3R,3,3,1,0,all,"(-1,)",546,81,0.948,-23.1,-0.05,0.322,-72.9,3/8,2.64,False
1h,3,0.786,0.1,3R,3,3,1,0,all,"(1, -1)",1019,152,1.035,29.0,0.08,0.342,-56.6,5/8,2.63,False
1h,3,0.786,0.1,3R,3,3,1,0,kz,"(1,)",292,44,1.135,32.0,0.15,0.366,-32.1,3/8,2.63,False
1h,3,0.786,0.1,3R,3,3,1,0,kz,"(-1,)",346,52,0.943,-16.3,-0.07,0.321,-37.2,4/8,2.69,False
1h,3,0.786,0.1,3R,3,3,1,0,kz,"(1, -1)",638,95,1.03,15.6,0.05,0.342,-43.8,4/8,2.66,False
1h,3,0.786,0.1,3R,3,3,1,1,all,"(1,)",229,34,1.069,12.8,0.07,0.341,-27.0,5/8,2.67,False
1h,3,0.786,0.1,3R,3,3,1,1,all,"(-1,)",168,26,1.061,8.0,0.06,0.339,-19.9,5/8,2.68,False
1h,3,0.786,0.1,3R,3,3,1,1,all,"(1, -1)",397,59,1.065,20.8,0.08,0.34,-41.4,6/8,2.68,False
1h,3,0.786,0.1,3R,3,3,1,1,kz,"(1,)",137,21,0.985,-1.8,-0.01,0.328,-30.4,4/8,2.64,False
1h,3,0.786,0.1,3R,3,3,1,1,kz,"(-1,)",105,16,1.081,6.7,0.04,0.343,-23.1,5/8,2.72,False
1h,3,0.786,0.1,3R,3,3,1,1,kz,"(1, -1)",242,37,1.024,4.9,0.02,0.335,-34.4,5/8,2.68,False
1h,3,0.786,0.1,3R,3,4,0,0,all,"(1,)",439,66,1.185,63.4,0.31,0.371,-31.0,4/8,2.64,False
1h,3,0.786,0.1,3R,3,4,0,0,all,"(-1,)",488,73,0.964,-14.2,-0.03,0.322,-61.5,4/8,2.67,False
1h,3,0.786,0.1,3R,3,4,0,0,all,"(1, -1)",927,138,1.067,49.1,0.13,0.345,-54.8,5/8,2.65,False
1h,3,0.786,0.1,3R,3,4,0,0,kz,"(1,)",273,42,1.18,39.3,0.19,0.37,-32.1,4/8,2.66,False
1h,3,0.786,0.1,3R,3,4,0,0,kz,"(-1,)",313,47,0.94,-15.7,-0.06,0.313,-42.1,3/8,2.71,False
1h,3,0.786,0.1,3R,3,4,0,0,kz,"(1, -1)",586,87,1.05,23.7,0.08,0.34,-43.0,6/8,2.69,False
1h,3,0.786,0.1,3R,3,4,0,1,all,"(1,)",215,32,1.13,22.4,0.13,0.353,-25.8,5/8,2.69,False
1h,3,0.786,0.1,3R,3,4,0,1,all,"(-1,)",151,23,1.078,8.9,0.07,0.338,-19.5,6/8,2.71,False
1h,3,0.786,0.1,3R,3,4,0,1,all,"(1, -1)",366,55,1.109,31.4,0.11,0.347,-41.0,6/8,2.7,False
1h,3,0.786,0.1,3R,3,4,0,1,kz,"(1,)",130,20,1.071,7.6,0.05,0.346,-24.5,4/8,2.66,False
1h,3,0.786,0.1,3R,3,4,0,1,kz,"(-1,)",92,14,1.03,2.2,0.01,0.326,-22.7,5/8,2.75,False
1h,3,0.786,0.1,3R,3,4,0,1,kz,"(1, -1)",222,34,1.054,9.8,0.04,0.338,-34.6,4/8,2.7,False
1h,3,0.786,0.1,3R,3,4,1,0,all,"(1,)",439,66,1.185,63.4,0.31,0.371,-31.0,4/8,2.64,False
1h,3,0.786,0.1,3R,3,4,1,0,all,"(-1,)",488,73,0.964,-14.2,-0.03,0.322,-61.5,4/8,2.67,False
1h,3,0.786,0.1,3R,3,4,1,0,all,"(1, -1)",927,138,1.067,49.1,0.13,0.345,-54.8,5/8,2.65,False
1h,3,0.786,0.1,3R,3,4,1,0,kz,"(1,)",273,42,1.18,39.3,0.19,0.37,-32.1,4/8,2.66,False
1h,3,0.786,0.1,3R,3,4,1,0,kz,"(-1,)",313,47,0.94,-15.7,-0.06,0.313,-42.1,3/8,2.71,False
1h,3,0.786,0.1,3R,3,4,1,0,kz,"(1, -1)",586,87,1.05,23.7,0.08,0.34,-43.0,6/8,2.69,False
1h,3,0.786,0.1,3R,3,4,1,1,all,"(1,)",215,32,1.13,22.4,0.13,0.353,-25.8,5/8,2.69,False
1h,3,0.786,0.1,3R,3,4,1,1,all,"(-1,)",151,23,1.078,8.9,0.07,0.338,-19.5,6/8,2.71,False
1h,3,0.786,0.1,3R,3,4,1,1,all,"(1, -1)",366,55,1.109,31.4,0.11,0.347,-41.0,6/8,2.7,False
1h,3,0.786,0.1,3R,3,4,1,1,kz,"(1,)",130,20,1.071,7.6,0.05,0.346,-24.5,4/8,2.66,False
1h,3,0.786,0.1,3R,3,4,1,1,kz,"(-1,)",92,14,1.03,2.2,0.01,0.326,-22.7,5/8,2.75,False
1h,3,0.786,0.1,3R,3,4,1,1,kz,"(1, -1)",222,34,1.054,9.8,0.04,0.338,-34.6,4/8,2.7,False
1h,3,0.786,0.1,3R,3,5,0,0,all,"(1,)",276,41,1.19,39.4,0.2,0.344,-29.4,4/8,2.76,False
1h,3,0.786,0.1,3R,3,5,0,0,all,"(-1,)",317,48,0.987,-3.3,-0.02,0.319,-30.7,4/8,2.73,False
1h,3,0.786,0.1,3R,3,5,0,0,all,"(1, -1)",593,88,1.078,36.1,0.14,0.331,-38.3,5/8,2.74,False
1h,3,0.786,0.1,3R,3,5,0,0,kz,"(1,)",164,25,1.198,24.5,0.18,0.341,-20.9,4/8,2.78,False
1h,3,0.786,0.1,3R,3,5,0,0,kz,"(-1,)",212,32,0.956,-7.6,-0.06,0.311,-18.7,4/8,2.75,False
1h,3,0.786,0.1,3R,3,5,0,0,kz,"(1, -1)",376,57,1.057,16.9,0.08,0.324,-32.3,4/8,2.76,False
1h,3,0.786,0.1,3R,3,5,0,1,all,"(1,)",149,22,1.236,26.2,0.23,0.349,-17.4,4/8,2.79,False
1h,3,0.786,0.1,3R,3,5,0,1,all,"(-1,)",98,15,1.253,17.8,0.23,0.367,-11.6,4/8,2.76,False
1h,3,0.786,0.1,3R,3,5,0,1,all,"(1, -1)",247,37,1.243,43.9,0.25,0.356,-25.9,5/8,2.78,False
1h,3,0.786,0.1,3R,3,5,0,1,kz,"(1,)",92,14,1.174,12.1,0.14,0.337,-13.4,4/8,2.8,False
1h,3,0.786,0.1,3R,3,5,0,1,kz,"(-1,)",63,10,1.172,8.1,0.09,0.349,-13.5,5/8,2.77,False
1h,3,0.786,0.1,3R,3,5,0,1,kz,"(1, -1)",155,24,1.173,20.2,0.15,0.342,-20.8,5/8,2.79,False
1h,3,0.786,0.1,3R,3,5,1,0,all,"(1,)",276,41,1.19,39.4,0.2,0.344,-29.4,4/8,2.76,False
1h,3,0.786,0.1,3R,3,5,1,0,all,"(-1,)",317,48,0.987,-3.3,-0.02,0.319,-30.7,4/8,2.73,False
1h,3,0.786,0.1,3R,3,5,1,0,all,"(1, -1)",593,88,1.078,36.1,0.14,0.331,-38.3,5/8,2.74,False
1h,3,0.786,0.1,3R,3,5,1,0,kz,"(1,)",164,25,1.198,24.5,0.18,0.341,-20.9,4/8,2.78,False
1h,3,0.786,0.1,3R,3,5,1,0,kz,"(-1,)",212,32,0.956,-7.6,-0.06,0.311,-18.7,4/8,2.75,False
1h,3,0.786,0.1,3R,3,5,1,0,kz,"(1, -1)",376,57,1.057,16.9,0.08,0.324,-32.3,4/8,2.76,False
1h,3,0.786,0.1,3R,3,5,1,1,all,"(1,)",149,22,1.236,26.2,0.23,0.349,-17.4,4/8,2.79,False
1h,3,0.786,0.1,3R,3,5,1,1,all,"(-1,)",98,15,1.253,17.8,0.23,0.367,-11.6,4/8,2.76,False
1h,3,0.786,0.1,3R,3,5,1,1,all,"(1, -1)",247,37,1.243,43.9,0.25,0.356,-25.9,5/8,2.78,False
1h,3,0.786,0.1,3R,3,5,1,1,kz,"(1,)",92,14,1.174,12.1,0.14,0.337,-13.4,4/8,2.8,False
1h,3,0.786,0.1,3R,3,5,1,1,kz,"(-1,)",63,10,1.172,8.1,0.09,0.349,-13.5,5/8,2.77,False
1h,3,0.786,0.1,3R,3,5,1,1,kz,"(1, -1)",155,24,1.173,20.2,0.15,0.342,-20.8,5/8,2.79,False
1h,3,0.786,0.1,3R,6,3,0,0,all,"(1,)",547,82,1.166,71.3,0.31,0.369,-34.5,5/8,2.62,False
1h,3,0.786,0.1,3R,6,3,0,0,all,"(-1,)",630,94,0.922,-40.6,-0.07,0.314,-88.8,2/8,2.65,False
1h,3,0.786,0.1,3R,6,3,0,0,all,"(1, -1)",1177,175,1.032,30.7,0.07,0.34,-69.3,3/8,2.64,False
1h,3,0.786,0.1,3R,6,3,0,0,kz,"(1,)",337,51,1.194,52.1,0.25,0.377,-31.7,6/8,2.64,False
1h,3,0.786,0.1,3R,6,3,0,0,kz,"(-1,)",392,58,0.93,-23.1,-0.08,0.316,-42.4,3/8,2.69,False
1h,3,0.786,0.1,3R,6,3,0,0,kz,"(1, -1)",729,109,1.048,29.0,0.09,0.344,-47.6,4/8,2.67,False
1h,3,0.786,0.1,3R,6,3,0,1,all,"(1,)",268,40,1.095,20.6,0.12,0.343,-26.5,5/8,2.68,False
1h,3,0.786,0.1,3R,6,3,0,1,all,"(-1,)",190,29,0.984,-2.4,-0.01,0.321,-29.4,4/8,2.69,False
1h,3,0.786,0.1,3R,6,3,0,1,all,"(1, -1)",458,68,1.049,18.2,0.06,0.334,-47.3,5/8,2.68,False
1h,3,0.786,0.1,3R,6,3,0,1,kz,"(1,)",160,25,1.048,6.5,0.03,0.338,-33.2,5/8,2.67,False
1h,3,0.786,0.1,3R,6,3,0,1,kz,"(-1,)",115,18,1.022,2.0,0.01,0.33,-31.6,5/8,2.73,False
1h,3,0.786,0.1,3R,6,3,0,1,kz,"(1, -1)",275,42,1.038,8.5,0.03,0.335,-41.9,4/8,2.69,False
1h,3,0.786,0.1,3R,6,3,1,0,all,"(1,)",547,82,1.166,71.3,0.31,0.369,-34.5,5/8,2.62,False
1h,3,0.786,0.1,3R,6,3,1,0,all,"(-1,)",630,94,0.922,-40.6,-0.07,0.314,-88.8,2/8,2.65,False
1h,3,0.786,0.1,3R,6,3,1,0,all,"(1, -1)",1177,175,1.032,30.7,0.07,0.34,-69.3,3/8,2.64,False
1h,3,0.786,0.1,3R,6,3,1,0,kz,"(1,)",337,51,1.194,52.1,0.25,0.377,-31.7,6/8,2.64,False
1h,3,0.786,0.1,3R,6,3,1,0,kz,"(-1,)",392,58,0.93,-23.1,-0.08,0.316,-42.4,3/8,2.69,False
1h,3,0.786,0.1,3R,6,3,1,0,kz,"(1, -1)",729,109,1.048,29.0,0.09,0.344,-47.6,4/8,2.67,False
1h,3,0.786,0.1,3R,6,3,1,1,all,"(1,)",268,40,1.095,20.6,0.12,0.343,-26.5,5/8,2.68,False
1h,3,0.786,0.1,3R,6,3,1,1,all,"(-1,)",190,29,0.984,-2.4,-0.01,0.321,-29.4,4/8,2.69,False
1h,3,0.786,0.1,3R,6,3,1,1,all,"(1, -1)",458,68,1.049,18.2,0.06,0.334,-47.3,5/8,2.68,False
1h,3,0.786,0.1,3R,6,3,1,1,kz,"(1,)",160,25,1.048,6.5,0.03,0.338,-33.2,5/8,2.67,False
1h,3,0.786,0.1,3R,6,3,1,1,kz,"(-1,)",115,18,1.022,2.0,0.01,0.33,-31.6,5/8,2.73,False
1h,3,0.786,0.1,3R,6,3,1,1,kz,"(1, -1)",275,42,1.038,8.5,0.03,0.335,-41.9,4/8,2.69,False
1h,3,0.786,0.1,3R,6,4,0,0,all,"(1,)",503,75,1.209,81.2,0.36,0.374,-33.6,4/8,2.64,False
1h,3,0.786,0.1,3R,6,4,0,0,all,"(-1,)",567,85,0.944,-25.6,-0.05,0.316,-71.5,3/8,2.67,False
1h,3,0.786,0.1,3R,6,4,0,0,all,"(1, -1)",1070,159,1.065,55.6,0.13,0.343,-62.2,5/8,2.66,False
1h,3,0.786,0.1,3R,6,4,0,0,kz,"(1,)",313,47,1.219,54.1,0.24,0.377,-34.3,5/8,2.67,False
1h,3,0.786,0.1,3R,6,4,0,0,kz,"(-1,)",357,53,0.931,-20.4,-0.08,0.311,-40.2,3/8,2.72,False
1h,3,0.786,0.1,3R,6,4,0,0,kz,"(1, -1)",670,100,1.062,33.8,0.11,0.342,-46.3,5/8,2.69,False
1h,3,0.786,0.1,3R,6,4,0,1,all,"(1,)",248,37,1.157,30.8,0.18,0.355,-25.4,5/8,2.7,False
1h,3,0.786,0.1,3R,6,4,0,1,all,"(-1,)",171,26,1.008,1.1,0.01,0.322,-27.8,5/8,2.72,False
1h,3,0.786,0.1,3R,6,4,0,1,all,"(1, -1)",419,63,1.097,31.9,0.1,0.341,-48.1,6/8,2.71,False
1h,3,0.786,0.1,3R,6,4,0,1,kz,"(1,)",150,23,1.097,11.9,0.07,0.347,-25.6,5/8,2.68,False
1h,3,0.786,0.1,3R,6,4,0,1,kz,"(-1,)",101,15,0.984,-1.3,-0.01,0.317,-30.0,5/8,2.75,False
1h,3,0.786,0.1,3R,6,4,0,1,kz,"(1, -1)",251,38,1.052,10.6,0.04,0.335,-43.6,4/8,2.71,False
1h,3,0.786,0.1,3R,6,4,1,0,all,"(1,)",503,75,1.209,81.2,0.36,0.374,-33.6,4/8,2.64,False
1h,3,0.786,0.1,3R,6,4,1,0,all,"(-1,)",567,85,0.944,-25.6,-0.05,0.316,-71.5,3/8,2.67,False
1h,3,0.786,0.1,3R,6,4,1,0,all,"(1, -1)",1070,159,1.065,55.6,0.13,0.343,-62.2,5/8,2.66,False
1h,3,0.786,0.1,3R,6,4,1,0,kz,"(1,)",313,47,1.219,54.1,0.24,0.377,-34.3,5/8,2.67,False
1h,3,0.786,0.1,3R,6,4,1,0,kz,"(-1,)",357,53,0.931,-20.4,-0.08,0.311,-40.2,3/8,2.72,False
1h,3,0.786,0.1,3R,6,4,1,0,kz,"(1, -1)",670,100,1.062,33.8,0.11,0.342,-46.3,5/8,2.69,False
1h,3,0.786,0.1,3R,6,4,1,1,all,"(1,)",248,37,1.157,30.8,0.18,0.355,-25.4,5/8,2.7,False
1h,3,0.786,0.1,3R,6,4,1,1,all,"(-1,)",171,26,1.008,1.1,0.01,0.322,-27.8,5/8,2.72,False
1h,3,0.786,0.1,3R,6,4,1,1,all,"(1, -1)",419,63,1.097,31.9,0.1,0.341,-48.1,6/8,2.71,False
1h,3,0.786,0.1,3R,6,4,1,1,kz,"(1,)",150,23,1.097,11.9,0.07,0.347,-25.6,5/8,2.68,False
1h,3,0.786,0.1,3R,6,4,1,1,kz,"(-1,)",101,15,0.984,-1.3,-0.01,0.317,-30.0,5/8,2.75,False
1h,3,0.786,0.1,3R,6,4,1,1,kz,"(1, -1)",251,38,1.052,10.6,0.04,0.335,-43.6,4/8,2.71,False
1h,3,0.786,0.1,3R,6,5,0,0,all,"(1,)",318,48,1.273,63.8,0.34,0.358,-28.0,5/8,2.76,False
1h,3,0.786,0.1,3R,6,5,0,0,all,"(-1,)",363,55,0.974,-7.5,-0.03,0.314,-42.9,4/8,2.73,False
1h,3,0.786,0.1,3R,6,5,0,0,all,"(1, -1)",681,102,1.107,56.3,0.17,0.335,-48.0,6/8,2.74,False
1h,3,0.786,0.1,3R,6,5,0,0,kz,"(1,)",191,29,1.309,43.2,0.31,0.361,-21.8,4/8,2.78,False
1h,3,0.786,0.1,3R,6,5,0,0,kz,"(-1,)",238,36,0.979,-4.0,-0.03,0.315,-19.2,6/8,2.75,False
1h,3,0.786,0.1,3R,6,5,0,0,kz,"(1, -1)",429,65,1.118,39.2,0.16,0.336,-36.7,5/8,2.77,False
1h,3,0.786,0.1,3R,6,5,0,1,all,"(1,)",170,26,1.331,40.7,0.31,0.365,-19.6,5/8,2.79,False
1h,3,0.786,0.1,3R,6,5,0,1,all,"(-1,)",108,17,1.121,9.8,0.09,0.343,-16.5,3/8,2.76,False
1h,3,0.786,0.1,3R,6,5,0,1,all,"(1, -1)",278,42,1.248,50.5,0.24,0.356,-31.1,6/8,2.78,False
1h,3,0.786,0.1,3R,6,5,0,1,kz,"(1,)",106,16,1.301,23.3,0.25,0.358,-14.6,5/8,2.8,False
1h,3,0.786,0.1,3R,6,5,0,1,kz,"(-1,)",69,11,1.088,4.6,0.04,0.333,-18.2,5/8,2.77,False
1h,3,0.786,0.1,3R,6,5,0,1,kz,"(1, -1)",175,27,1.215,28.0,0.18,0.349,-24.2,5/8,2.79,False
1h,3,0.786,0.1,3R,6,5,1,0,all,"(1,)",318,48,1.273,63.8,0.34,0.358,-28.0,5/8,2.76,False
1h,3,0.786,0.1,3R,6,5,1,0,all,"(-1,)",363,55,0.974,-7.5,-0.03,0.314,-42.9,4/8,2.73,False
1h,3,0.786,0.1,3R,6,5,1,0,all,"(1, -1)",681,102,1.107,56.3,0.17,0.335,-48.0,6/8,2.74,False
1h,3,0.786,0.1,3R,6,5,1,0,kz,"(1,)",191,29,1.309,43.2,0.31,0.361,-21.8,4/8,2.78,False
1h,3,0.786,0.1,3R,6,5,1,0,kz,"(-1,)",238,36,0.979,-4.0,-0.03,0.315,-19.2,6/8,2.75,False
1h,3,0.786,0.1,3R,6,5,1,0,kz,"(1, -1)",429,65,1.118,39.2,0.16,0.336,-36.7,5/8,2.77,False
1h,3,0.786,0.1,3R,6,5,1,1,all,"(1,)",170,26,1.331,40.7,0.31,0.365,-19.6,5/8,2.79,False
1h,3,0.786,0.1,3R,6,5,1,1,all,"(-1,)",108,17,1.121,9.8,0.09,0.343,-16.5,3/8,2.76,False
1h,3,0.786,0.1,3R,6,5,1,1,all,"(1, -1)",278,42,1.248,50.5,0.24,0.356,-31.1,6/8,2.78,False
1h,3,0.786,0.1,3R,6,5,1,1,kz,"(1,)",106,16,1.301,23.3,0.25,0.358,-14.6,5/8,2.8,False
1h,3,0.786,0.1,3R,6,5,1,1,kz,"(-1,)",69,11,1.088,4.6,0.04,0.333,-18.2,5/8,2.77,False
1h,3,0.786,0.1,3R,6,5,1,1,kz,"(1, -1)",175,27,1.215,28.0,0.18,0.349,-24.2,5/8,2.79,False
1h,3,0.786,0.1,3R,10,3,0,0,all,"(1,)",593,89,1.188,86.5,0.35,0.374,-36.7,5/8,2.62,False
1h,3,0.786,0.1,3R,10,3,0,0,all,"(-1,)",669,100,0.916,-46.3,-0.07,0.312,-93.8,2/8,2.65,False
1h,3,0.786,0.1,3R,10,3,0,0,all,"(1, -1)",1262,188,1.04,40.2,0.08,0.342,-79.5,5/8,2.64,False
1h,3,0.786,0.1,3R,10,3,0,0,kz,"(1,)",363,55,1.234,66.8,0.32,0.386,-31.7,6/8,2.64,False
1h,3,0.786,0.1,3R,10,3,0,0,kz,"(-1,)",420,63,0.933,-23.4,-0.08,0.317,-42.8,4/8,2.69,False
1h,3,0.786,0.1,3R,10,3,0,0,kz,"(1, -1)",783,117,1.068,43.4,0.14,0.349,-47.5,4/8,2.66,False
1h,3,0.786,0.1,3R,10,3,0,1,all,"(1,)",299,45,1.116,27.7,0.17,0.348,-24.6,5/8,2.68,False
1h,3,0.786,0.1,3R,10,3,0,1,all,"(-1,)",209,31,0.962,-6.3,-0.03,0.316,-29.1,5/8,2.69,False
1h,3,0.786,0.1,3R,10,3,0,1,all,"(1, -1)",508,76,1.052,21.3,0.07,0.335,-45.6,5/8,2.69,False
1h,3,0.786,0.1,3R,10,3,0,1,kz,"(1,)",176,27,1.093,13.4,0.07,0.347,-29.3,5/8,2.67,False
1h,3,0.786,0.1,3R,10,3,0,1,kz,"(-1,)",129,20,1.036,3.7,0.02,0.333,-30.2,4/8,2.72,False
1h,3,0.786,0.1,3R,10,3,0,1,kz,"(1, -1)",305,47,1.069,17.1,0.07,0.341,-40.0,4/8,2.69,False
1h,3,0.786,0.1,3R,10,3,1,0,all,"(1,)",593,89,1.188,86.5,0.35,0.374,-36.7,5/8,2.62,False
1h,3,0.786,0.1,3R,10,3,1,0,all,"(-1,)",669,100,0.916,-46.3,-0.07,0.312,-93.8,2/8,2.65,False
1h,3,0.786,0.1,3R,10,3,1,0,all,"(1, -1)",1262,188,1.04,40.2,0.08,0.342,-79.5,5/8,2.64,False
1h,3,0.786,0.1,3R,10,3,1,0,kz,"(1,)",363,55,1.234,66.8,0.32,0.386,-31.7,6/8,2.64,False
1h,3,0.786,0.1,3R,10,3,1,0,kz,"(-1,)",420,63,0.933,-23.4,-0.08,0.317,-42.8,4/8,2.69,False
1h,3,0.786,0.1,3R,10,3,1,0,kz,"(1, -1)",783,117,1.068,43.4,0.14,0.349,-47.5,4/8,2.66,False
1h,3,0.786,0.1,3R,10,3,1,1,all,"(1,)",299,45,1.116,27.7,0.17,0.348,-24.6,5/8,2.68,False
1h,3,0.786,0.1,3R,10,3,1,1,all,"(-1,)",209,31,0.962,-6.3,-0.03,0.316,-29.1,5/8,2.69,False
1h,3,0.786,0.1,3R,10,3,1,1,all,"(1, -1)",508,76,1.052,21.3,0.07,0.335,-45.6,5/8,2.69,False
1h,3,0.786,0.1,3R,10,3,1,1,kz,"(1,)",176,27,1.093,13.4,0.07,0.347,-29.3,5/8,2.67,False
1h,3,0.786,0.1,3R,10,3,1,1,kz,"(-1,)",129,20,1.036,3.7,0.02,0.333,-30.2,4/8,2.72,False
1h,3,0.786,0.1,3R,10,3,1,1,kz,"(1, -1)",305,47,1.069,17.1,0.07,0.341,-40.0,4/8,2.69,False
1h,3,0.786,0.1,3R,10,4,0,0,all,"(1,)",542,81,1.227,94.3,0.39,0.378,-35.8,4/8,2.65,False
1h,3,0.786,0.1,3R,10,4,0,0,all,"(-1,)",601,90,0.94,-29.3,-0.06,0.314,-78.5,4/8,2.68,False
1h,3,0.786,0.1,3R,10,4,0,0,all,"(1, -1)",1143,170,1.072,65.0,0.14,0.345,-70.6,5/8,2.66,False
1h,3,0.786,0.1,3R,10,4,0,0,kz,"(1,)",336,51,1.263,68.8,0.3,0.387,-34.3,5/8,2.66,False
1h,3,0.786,0.1,3R,10,4,0,0,kz,"(-1,)",382,57,0.945,-17.3,-0.06,0.314,-42.3,5/8,2.72,False
1h,3,0.786,0.1,3R,10,4,0,0,kz,"(1, -1)",718,107,1.09,51.5,0.17,0.348,-46.1,5/8,2.69,False
1h,3,0.786,0.1,3R,10,4,0,1,all,"(1,)",274,41,1.168,36.3,0.23,0.358,-23.5,5/8,2.7,False
1h,3,0.786,0.1,3R,10,4,0,1,all,"(-1,)",190,29,0.981,-2.9,-0.02,0.316,-27.4,4/8,2.72,False
1h,3,0.786,0.1,3R,10,4,0,1,all,"(1, -1)",464,69,1.092,33.5,0.11,0.341,-46.4,5/8,2.71,False
1h,3,0.786,0.1,3R,10,4,0,1,kz,"(1,)",164,25,1.133,17.6,0.11,0.354,-24.5,5/8,2.68,False
1h,3,0.786,0.1,3R,10,4,0,1,kz,"(-1,)",115,18,1.004,0.4,0.0,0.322,-28.6,4/8,2.74,False
1h,3,0.786,0.1,3R,10,4,0,1,kz,"(1, -1)",279,43,1.081,18.0,0.06,0.341,-43.0,4/8,2.71,False
1h,3,0.786,0.1,3R,10,4,1,0,all,"(1,)",542,81,1.227,94.3,0.39,0.378,-35.8,4/8,2.65,False
1h,3,0.786,0.1,3R,10,4,1,0,all,"(-1,)",601,90,0.94,-29.3,-0.06,0.314,-78.5,4/8,2.68,False
1h,3,0.786,0.1,3R,10,4,1,0,all,"(1, -1)",1143,170,1.072,65.0,0.14,0.345,-70.6,5/8,2.66,False
1h,3,0.786,0.1,3R,10,4,1,0,kz,"(1,)",336,51,1.263,68.8,0.3,0.387,-34.3,5/8,2.66,False
1h,3,0.786,0.1,3R,10,4,1,0,kz,"(-1,)",382,57,0.945,-17.3,-0.06,0.314,-42.3,5/8,2.72,False
1h,3,0.786,0.1,3R,10,4,1,0,kz,"(1, -1)",718,107,1.09,51.5,0.17,0.348,-46.1,5/8,2.69,False
1h,3,0.786,0.1,3R,10,4,1,1,all,"(1,)",274,41,1.168,36.3,0.23,0.358,-23.5,5/8,2.7,False
1h,3,0.786,0.1,3R,10,4,1,1,all,"(-1,)",190,29,0.981,-2.9,-0.02,0.316,-27.4,4/8,2.72,False
1h,3,0.786,0.1,3R,10,4,1,1,all,"(1, -1)",464,69,1.092,33.5,0.11,0.341,-46.4,5/8,2.71,False
1h,3,0.786,0.1,3R,10,4,1,1,kz,"(1,)",164,25,1.133,17.6,0.11,0.354,-24.5,5/8,2.68,False
1h,3,0.786,0.1,3R,10,4,1,1,kz,"(-1,)",115,18,1.004,0.4,0.0,0.322,-28.6,4/8,2.74,False
1h,3,0.786,0.1,3R,10,4,1,1,kz,"(1, -1)",279,43,1.081,18.0,0.06,0.341,-43.0,4/8,2.71,False
1h,3,0.786,0.1,3R,10,5,0,0,all,"(1,)",339,51,1.306,75.3,0.41,0.366,-27.3,4/8,2.76,False
1h,3,0.786,0.1,3R,10,5,0,0,all,"(-1,)",378,57,0.958,-12.6,-0.04,0.31,-47.1,4/8,2.73,False
1h,3,0.786,0.1,3R,10,5,0,0,all,"(1, -1)",717,107,1.114,62.7,0.2,0.336,-46.9,6/8,2.74,False
1h,3,0.786,0.1,3R,10,5,0,0,kz,"(1,)",205,32,1.374,55.0,0.37,0.376,-22.9,5/8,2.78,False
1h,3,0.786,0.1,3R,10,5,0,0,kz,"(-1,)",248,38,0.965,-6.9,-0.05,0.31,-19.2,5/8,2.76,False
1h,3,0.786,0.1,3R,10,5,0,0,kz,"(1, -1)",453,69,1.138,48.1,0.21,0.34,-35.4,5/8,2.76,False
1h,3,0.786,0.1,3R,10,5,0,1,all,"(1,)",183,27,1.336,44.4,0.39,0.366,-17.1,5/8,2.79,False
1h,3,0.786,0.1,3R,10,5,0,1,all,"(-1,)",120,18,1.04,3.7,0.04,0.325,-14.6,3/8,2.76,False
1h,3,0.786,0.1,3R,10,5,0,1,all,"(1, -1)",303,45,1.214,48.1,0.26,0.35,-27.8,5/8,2.78,False
1h,3,0.786,0.1,3R,10,5,0,1,kz,"(1,)",114,18,1.302,25.2,0.27,0.36,-14.6,5/8,2.8,False
