k,confirm_bars,sl_buf,tp_mode,sides,n,per_yr,pf,net_r,mar,wr,pos_years,gate_pass
4,12,0.25,2R,"(1, -1)",3270,487,0.982,-37.7,-0.03,0.386,3/8,False
4,12,0.25,3R,"(1,)",1639,244,1.129,138.9,0.28,0.361,6/8,False
4,12,0.25,3R,"(-1,)",1631,243,0.883,-137.6,-0.1,0.305,1/8,False
4,12,0.25,3R,"(1, -1)",3270,487,1.001,1.3,0.0,0.333,4/8,False
4,12,0.5,2R,"(1,)",1639,244,1.09,84.9,0.18,0.418,5/8,False
4,12,0.5,2R,"(-1,)",1631,243,0.879,-126.6,-0.11,0.367,2/8,False
4,12,0.5,2R,"(1, -1)",3270,487,0.979,-41.7,-0.04,0.392,3/8,False
4,12,0.5,3R,"(1,)",1639,244,1.162,163.0,0.53,0.381,7/8,False
4,12,0.5,3R,"(-1,)",1631,243,0.923,-85.7,-0.09,0.327,2/8,False
4,12,0.5,3R,"(1, -1)",3270,487,1.037,77.3,0.08,0.354,6/8,False
