rule,k,vol_mult,use_rsi,h4_trend,sl_buf,tp_mode,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,1.5,0,1,0.25,2R,"(-1,)",763,114,0.732,-151.7,-0.14,0.372,-167.4,1/8,1.73,False
15min,2,1.5,0,1,0.25,2R,"(1, -1)",1820,271,0.855,-185.8,-0.11,0.413,-262.5,2/8,1.71,False
15min,2,1.5,0,1,0.25,3R,"(1,)",1057,158,1.077,62.0,0.15,0.378,-60.1,3/8,2.59,False
15min,2,1.5,0,1,0.25,3R,"(-1,)",763,114,0.861,-85.8,-0.1,0.324,-132.2,2/8,2.63,False
15min,2,1.5,0,1,0.25,3R,"(1, -1)",1820,271,0.983,-23.8,-0.02,0.355,-163.8,3/8,2.61,False
15min,2,1.5,0,1,0.5,2R,"(1,)",1088,162,0.951,-35.8,-0.06,0.436,-90.7,1/8,1.74,False
15min,2,1.5,0,1,0.5,2R,"(-1,)",778,116,0.797,-112.7,-0.13,0.382,-131.5,2/8,1.76,False
15min,2,1.5,0,1,0.5,2R,"(1, -1)",1866,278,0.884,-148.4,-0.1,0.413,-218.4,2/8,1.75,False
15min,2,1.5,0,1,0.5,3R,"(1,)",1088,162,1.116,93.7,0.28,0.378,-49.2,4/8,2.64,False
15min,2,1.5,0,1,0.5,3R,"(-1,)",778,116,0.863,-83.9,-0.1,0.317,-120.2,2/8,2.68,False
15min,2,1.5,0,1,0.5,3R,"(1, -1)",1866,278,1.007,9.8,0.01,0.353,-124.4,3/8,2.66,False
15min,2,1.5,1,0,0.1,2R,"(1,)",1577,235,0.883,-127.6,-0.1,0.436,-185.8,2/8,1.67,False
15min,2,1.5,1,0,0.1,2R,"(-1,)",1609,240,0.733,-319.1,-0.14,0.39,-347.0,1/8,1.69,False
15min,2,1.5,1,0,0.1,2R,"(1, -1)",3186,475,0.805,-446.7,-0.13,0.413,-499.5,2/8,1.68,False
15min,2,1.5,1,0,0.1,3R,"(1,)",1577,235,1.073,88.4,0.21,0.389,-62.0,3/8,2.55,False
15min,2,1.5,1,0,0.1,3R,"(-1,)",1609,240,0.884,-152.2,-0.11,0.334,-203.0,3/8,2.58,False
15min,2,1.5,1,0,0.1,3R,"(1, -1)",3186,475,0.975,-63.8,-0.05,0.361,-207.6,4/8,2.57,False
15min,2,1.5,1,0,0.25,2R,"(1,)",1609,240,0.936,-70.0,-0.07,0.442,-152.6,3/8,1.7,False
15min,2,1.5,1,0,0.25,2R,"(-1,)",1641,245,0.744,-310.8,-0.14,0.383,-336.3,1/8,1.72,False
15min,2,1.5,1,0,0.25,2R,"(1, -1)",3250,484,0.835,-380.8,-0.13,0.412,-449.5,2/8,1.71,False
15min,2,1.5,1,0,0.25,3R,"(1,)",1609,240,1.083,101.5,0.23,0.38,-65.5,3/8,2.59,False
15min,2,1.5,1,0,0.25,3R,"(-1,)",1641,245,0.855,-194.8,-0.11,0.324,-254.3,2/8,2.62,False
15min,2,1.5,1,0,0.25,3R,"(1, -1)",3250,484,0.964,-93.3,-0.06,0.352,-223.1,3/8,2.6,False
15min,2,1.5,1,0,0.5,2R,"(1,)",1655,247,0.952,-53.3,-0.07,0.439,-110.9,3/8,1.73,False
15min,2,1.5,1,0,0.5,2R,"(-1,)",1686,251,0.777,-272.5,-0.14,0.38,-290.7,1/8,1.75,False
15min,2,1.5,1,0,0.5,2R,"(1, -1)",3341,498,0.86,-325.8,-0.13,0.409,-375.3,2/8,1.74,False
15min,2,1.5,1,0,0.5,3R,"(1,)",1655,247,1.125,153.7,0.43,0.379,-52.9,6/8,2.64,False
15min,2,1.5,1,0,0.5,3R,"(-1,)",1686,251,0.843,-214.7,-0.12,0.314,-268.1,2/8,2.67,False
15min,2,1.5,1,0,0.5,3R,"(1, -1)",3341,498,0.976,-61.0,-0.05,0.347,-177.0,3/8,2.65,False
15min,2,1.5,1,1,0.1,2R,"(1,)",955,142,0.89,-73.6,-0.09,0.438,-122.3,2/8,1.66,False
15min,2,1.5,1,1,0.1,2R,"(-1,)",682,103,0.671,-172.1,-0.14,0.364,-189.8,1/8,1.69,False
15min,2,1.5,1,1,0.1,2R,"(1, -1)",1637,244,0.794,-245.7,-0.12,0.407,-302.3,2/8,1.67,False
15min,2,1.5,1,1,0.1,3R,"(1,)",955,142,1.065,48.3,0.11,0.39,-63.7,3/8,2.54,False
15min,2,1.5,1,1,0.1,3R,"(-1,)",682,103,0.856,-81.2,-0.1,0.324,-125.3,2/8,2.58,False
15min,2,1.5,1,1,0.1,3R,"(1, -1)",1637,244,0.975,-32.8,-0.03,0.362,-164.1,3/8,2.55,False
15min,2,1.5,1,1,0.25,2R,"(1,)",977,146,0.946,-36.2,-0.05,0.444,-99.8,2/8,1.69,False
15min,2,1.5,1,1,0.25,2R,"(-1,)",695,105,0.697,-158.8,-0.13,0.365,-177.8,2/8,1.71,False
15min,2,1.5,1,1,0.25,2R,"(1, -1)",1672,249,0.837,-195.0,-0.11,0.411,-272.8,2/8,1.7,False
15min,2,1.5,1,1,0.25,3R,"(1,)",977,146,1.073,54.8,0.13,0.378,-61.6,3/8,2.58,False
15min,2,1.5,1,1,0.25,3R,"(-1,)",695,105,0.83,-97.1,-0.1,0.317,-144.7,2/8,2.61,False
15min,2,1.5,1,1,0.25,3R,"(1, -1)",1672,249,0.968,-42.4,-0.04,0.352,-177.9,3/8,2.59,False
15min,2,1.5,1,1,0.5,2R,"(1,)",1006,150,0.95,-34.0,-0.06,0.437,-83.6,2/8,1.73,False
15min,2,1.5,1,1,0.5,2R,"(-1,)",709,107,0.773,-116.4,-0.13,0.377,-138.1,2/8,1.75,False
15min,2,1.5,1,1,0.5,2R,"(1, -1)",1715,256,0.874,-150.4,-0.1,0.412,-221.4,2/8,1.74,False
15min,2,1.5,1,1,0.5,3R,"(1,)",1006,150,1.107,81.6,0.24,0.375,-49.8,5/8,2.63,False
15min,2,1.5,1,1,0.5,3R,"(-1,)",709,107,0.839,-92.0,-0.11,0.31,-130.7,2/8,2.66,False
15min,2,1.5,1,1,0.5,3R,"(1, -1)",1715,256,0.992,-10.3,-0.01,0.348,-140.4,3/8,2.64,False
15min,2,2.0,0,0,0.1,2R,"(1,)",611,91,0.979,-8.1,-0.02,0.453,-52.6,2/8,1.72,False
15min,2,2.0,0,0,0.1,2R,"(-1,)",621,93,0.875,-52.8,-0.13,0.414,-60.1,2/8,1.77,False
15min,2,2.0,0,0,0.1,2R,"(1, -1)",1232,184,0.925,-60.9,-0.1,0.433,-88.7,3/8,1.75,False
15min,2,2.0,0,0,0.1,3R,"(1,)",611,91,1.223,95.9,0.59,0.412,-24.2,6/8,2.63,False
15min,2,2.0,0,0,0.1,3R,"(-1,)",621,93,1.035,16.0,0.06,0.357,-39.5,4/8,2.69,False
15min,2,2.0,0,0,0.1,3R,"(1, -1)",1232,184,1.125,111.9,0.43,0.385,-39.2,7/8,2.66,False
15min,2,2.0,0,0,0.25,2R,"(1,)",622,93,1.031,12.4,0.03,0.458,-57.9,3/8,1.75,False
15min,2,2.0,0,0,0.25,2R,"(-1,)",633,95,0.858,-61.2,-0.14,0.401,-66.2,2/8,1.79,False
15min,2,2.0,0,0,0.25,2R,"(1, -1)",1255,187,0.941,-48.8,-0.08,0.429,-90.4,4/8,1.77,False
15min,2,2.0,0,0,0.25,3R,"(1,)",622,93,1.26,112.9,0.73,0.412,-23.0,7/8,2.66,False
15min,2,2.0,0,0,0.25,3R,"(-1,)",633,95,0.978,-10.5,-0.03,0.343,-45.9,2/8,2.72,False
15min,2,2.0,0,0,0.25,3R,"(1, -1)",1255,187,1.112,102.4,0.38,0.377,-39.8,7/8,2.69,False
15min,2,2.0,0,0,0.5,2R,"(1,)",634,95,1.031,12.4,0.05,0.453,-40.2,5/8,1.78,False
15min,2,2.0,0,0,0.5,2R,"(-1,)",645,97,0.911,-37.7,-0.12,0.403,-46.5,2/8,1.82,False
15min,2,2.0,0,0,0.5,2R,"(1, -1)",1279,191,0.969,-25.3,-0.06,0.428,-62.1,4/8,1.8,False
15min,2,2.0,0,0,0.5,3R,"(1,)",634,95,1.244,107.2,0.64,0.401,-25.1,6/8,2.7,False
15min,2,2.0,0,0,0.5,3R,"(-1,)",645,97,0.918,-39.3,-0.09,0.333,-63.2,3/8,2.76,False
15min,2,2.0,0,0,0.5,3R,"(1, -1)",1279,191,1.074,67.8,0.24,0.367,-42.0,6/8,2.73,False
15min,2,2.0,0,1,0.1,2R,"(1,)",388,58,0.963,-9.5,-0.03,0.446,-40.9,3/8,1.73,False
15min,2,2.0,0,1,0.1,2R,"(-1,)",265,40,0.694,-61.0,-0.14,0.362,-64.9,2/8,1.78,False
15min,2,2.0,0,1,0.1,2R,"(1, -1)",653,97,0.845,-70.5,-0.11,0.412,-97.1,2/8,1.75,False
15min,2,2.0,0,1,0.1,3R,"(1,)",388,58,1.157,44.4,0.27,0.397,-24.4,5/8,2.63,False
15min,2,2.0,0,1,0.1,3R,"(-1,)",265,40,0.878,-26.1,-0.1,0.321,-39.8,4/8,2.7,False
15min,2,2.0,0,1,0.1,3R,"(1, -1)",653,97,1.037,18.3,0.07,0.366,-40.4,5/8,2.66,False
15min,2,2.0,0,1,0.25,2R,"(1,)",395,59,1.02,5.0,0.02,0.451,-47.5,3/8,1.75,False
15min,2,2.0,0,1,0.25,2R,"(-1,)",269,41,0.713,-57.4,-0.14,0.361,-62.2,2/8,1.8,False
15min,2,2.0,0,1,0.25,2R,"(1, -1)",664,99,0.885,-52.4,-0.08,0.414,-93.7,3/8,1.77,False
15min,2,2.0,0,1,0.25,3R,"(1,)",395,59,1.203,57.7,0.38,0.395,-22.4,6/8,2.66,False
15min,2,2.0,0,1,0.25,3R,"(-1,)",269,41,0.8,-44.1,-0.11,0.301,-60.8,2/8,2.73,False
15min,2,2.0,0,1,0.25,3R,"(1, -1)",664,99,1.027,13.6,0.04,0.357,-57.9,3/8,2.69,False
15min,2,2.0,0,1,0.5,2R,"(1,)",399,59,1.036,9.0,0.05,0.449,-27.9,5/8,1.78,False
15min,2,2.0,0,1,0.5,2R,"(-1,)",271,41,0.794,-39.6,-0.11,0.373,-54.2,2/8,1.82,False
15min,2,2.0,0,1,0.5,2R,"(1, -1)",670,100,0.931,-30.6,-0.07,0.418,-70.2,2/8,1.8,False
15min,2,2.0,0,1,0.5,3R,"(1,)",399,59,1.19,53.8,0.41,0.386,-19.5,6/8,2.71,False
15min,2,2.0,0,1,0.5,3R,"(-1,)",271,41,0.725,-60.6,-0.12,0.284,-76.0,2/8,2.76,False
15min,2,2.0,0,1,0.5,3R,"(1, -1)",670,100,0.987,-6.8,-0.02,0.345,-65.8,3/8,2.73,False
15min,2,2.0,1,0,0.1,2R,"(1,)",558,83,0.968,-11.6,-0.04,0.457,-48.7,2/8,1.7,False
15min,2,2.0,1,0,0.1,2R,"(-1,)",569,85,0.852,-58.2,-0.13,0.409,-66.5,2/8,1.75,False
15min,2,2.0,1,0,0.1,2R,"(1, -1)",1127,168,0.908,-69.7,-0.12,0.433,-89.6,3/8,1.73,False
15min,2,2.0,1,0,0.1,3R,"(1,)",558,83,1.222,88.9,0.61,0.414,-21.7,6/8,2.6,False
15min,2,2.0,1,0,0.1,3R,"(-1,)",569,85,1.025,10.9,0.04,0.351,-41.8,4/8,2.67,False
15min,2,2.0,1,0,0.1,3R,"(1, -1)",1127,168,1.12,99.8,0.37,0.382,-39.8,7/8,2.64,False
15min,2,2.0,1,0,0.25,2R,"(1,)",569,85,1.025,9.1,0.03,0.462,-51.0,4/8,1.73,False
15min,2,2.0,1,0,0.25,2R,"(-1,)",581,87,0.834,-66.9,-0.14,0.394,-73.0,2/8,1.78,False
15min,2,2.0,1,0,0.25,2R,"(1, -1)",1150,171,0.925,-57.8,-0.09,0.428,-93.9,4/8,1.75,False
15min,2,2.0,1,0,0.25,3R,"(1,)",569,85,1.254,103.0,0.65,0.411,-23.5,7/8,2.64,False
15min,2,2.0,1,0,0.25,3R,"(-1,)",581,87,0.958,-18.7,-0.05,0.334,-54.3,2/8,2.7,False
15min,2,2.0,1,0,0.25,3R,"(1, -1)",1150,171,1.099,84.3,0.28,0.372,-45.0,6/8,2.67,False
15min,2,2.0,1,0,0.5,2R,"(1,)",580,86,1.027,10.2,0.04,0.453,-34.7,4/8,1.76,False
15min,2,2.0,1,0,0.5,2R,"(-1,)",592,89,0.892,-42.9,-0.12,0.395,-53.5,2/8,1.81,False
15min,2,2.0,1,0,0.5,2R,"(1, -1)",1172,175,0.957,-32.8,-0.07,0.424,-68.6,4/8,1.78,False
15min,2,2.0,1,0,0.5,3R,"(1,)",580,86,1.234,97.1,0.6,0.397,-24.1,6/8,2.68,False
15min,2,2.0,1,0,0.5,3R,"(-1,)",592,89,0.902,-44.4,-0.1,0.323,-69.1,3/8,2.74,False
15min,2,2.0,1,0,0.5,3R,"(1, -1)",1172,175,1.061,52.6,0.19,0.359,-42.0,4/8,2.71,False
15min,2,2.0,1,1,0.1,2R,"(1,)",347,52,0.946,-12.6,-0.05,0.45,-38.9,3/8,1.71,False
15min,2,2.0,1,1,0.1,2R,"(-1,)",236,36,0.644,-65.4,-0.15,0.347,-67.4,1/8,1.75,False
15min,2,2.0,1,1,0.1,2R,"(1, -1)",583,87,0.813,-78.0,-0.12,0.408,-97.9,2/8,1.73,False
15min,2,2.0,1,1,0.1,3R,"(1,)",347,52,1.15,38.8,0.23,0.398,-25.7,4/8,2.6,False
15min,2,2.0,1,1,0.1,3R,"(-1,)",236,36,0.835,-32.5,-0.11,0.305,-43.6,3/8,2.67,False
15min,2,2.0,1,1,0.1,3R,"(1, -1)",583,87,1.014,6.4,0.02,0.36,-45.2,5/8,2.63,False
15min,2,2.0,1,1,0.25,2R,"(1,)",354,53,1.006,1.3,0.0,0.455,-43.0,2/8,1.73,False
15min,2,2.0,1,1,0.25,2R,"(-1,)",240,36,0.652,-64.3,-0.14,0.342,-67.1,2/8,1.78,False
15min,2,2.0,1,1,0.25,2R,"(1, -1)",594,89,0.85,-63.0,-0.1,0.409,-97.9,3/8,1.75,False
15min,2,2.0,1,1,0.25,3R,"(1,)",354,53,1.185,48.6,0.29,0.393,-24.6,5/8,2.64,False
15min,2,2.0,1,1,0.25,3R,"(-1,)",240,36,0.739,-53.5,-0.12,0.279,-66.9,3/8,2.7,False
15min,2,2.0,1,1,0.25,3R,"(1, -1)",594,89,0.989,-4.9,-0.01,0.347,-63.1,4/8,2.66,False
15min,2,2.0,1,1,0.5,2R,"(1,)",357,53,1.026,6.0,0.04,0.448,-24.7,4/8,1.76,False
15min,2,2.0,1,1,0.5,2R,"(-1,)",242,36,0.744,-45.7,-0.12,0.355,-57.9,2/8,1.81,False
15min,2,2.0,1,1,0.5,2R,"(1, -1)",599,89,0.903,-39.7,-0.08,0.411,-74.5,3/8,1.78,False
