rule,k,ote,sl_buf,tp_r,sweep_lb,need_conf,trend_mode,session,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,0.5,0.05,3.0,10,3,down,all,3497,523,0.864,-397.4,-0.12,0.289,-478.5,1/8,2.75,False
15min,2,0.5,0.05,3.0,10,3,down,kz,1803,270,0.956,-63.8,-0.06,0.308,-162.1,3/8,2.74,False
15min,2,0.5,0.05,3.0,10,3,off,all,9590,1429,0.901,-784.9,-0.13,0.301,-904.0,1/8,2.73,False
15min,2,0.5,0.05,3.0,10,3,off,kz,4909,731,0.923,-310.2,-0.13,0.304,-365.5,0/8,2.73,False
15min,2,0.5,0.05,3.0,10,3,fade,all,6093,908,0.922,-387.5,-0.13,0.308,-442.2,1/8,2.72,False
15min,2,0.5,0.05,3.0,10,3,fade,kz,3106,463,0.904,-246.5,-0.13,0.301,-280.5,0/8,2.73,False
15min,2,0.5,0.05,3.0,10,4,down,all,3143,470,0.867,-349.2,-0.12,0.288,-446.5,2/8,2.76,False
15min,2,0.5,0.05,3.0,10,4,down,kz,1611,241,0.956,-57.6,-0.06,0.307,-145.0,2/8,2.75,False
15min,2,0.5,0.05,3.0,10,4,off,all,8613,1283,0.895,-746.2,-0.13,0.298,-855.9,0/8,2.75,False
15min,2,0.5,0.05,3.0,10,4,off,kz,4417,658,0.913,-315.7,-0.13,0.3,-368.1,0/8,2.74,False
15min,2,0.5,0.05,3.0,10,4,fade,all,5470,815,0.911,-397.0,-0.13,0.304,-446.6,1/8,2.74,False
15min,2,0.5,0.05,3.0,10,4,fade,kz,2806,418,0.889,-258.0,-0.13,0.296,-286.0,0/8,2.74,False
15min,2,0.5,0.05,3.0,10,5,down,all,1887,283,0.825,-277.3,-0.12,0.269,-333.3,1/8,2.81,False
15min,2,0.5,0.05,3.0,10,5,down,kz,951,143,0.939,-46.6,-0.06,0.291,-111.7,2/8,2.8,False
15min,2,0.5,0.05,3.0,10,5,off,all,5169,771,0.874,-535.4,-0.14,0.283,-571.1,1/8,2.8,False
