rule,k,block,sl_buf,tp_mode,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,3,breaker,0.15,3R,1,"(1, -1)",823,123,0.979,-13.1,-0.03,0.301,-71.0,5/8,2.87,False
15min,3,breaker,0.3,2R,0,"(1,)",798,119,0.91,-48.7,-0.12,0.363,-60.4,1/8,1.91,False
15min,3,breaker,0.3,2R,0,"(-1,)",783,117,0.828,-94.4,-0.12,0.341,-122.5,1/8,1.91,False
15min,3,breaker,0.3,2R,0,"(1, -1)",1581,236,0.869,-143.2,-0.13,0.352,-163.5,2/8,1.91,False
15min,3,breaker,0.3,2R,1,"(1,)",496,74,1.014,4.4,0.02,0.389,-38.0,5/8,1.91,False
15min,3,breaker,0.3,2R,1,"(-1,)",338,51,0.927,-16.6,-0.08,0.367,-32.3,2/8,1.92,False
15min,3,breaker,0.3,2R,1,"(1, -1)",834,125,0.978,-12.1,-0.03,0.38,-52.4,4/8,1.91,False
15min,3,breaker,0.3,3R,0,"(1,)",798,119,0.955,-26.6,-0.07,0.297,-59.4,3/8,2.88,False
15min,3,breaker,0.3,3R,0,"(-1,)",783,117,0.921,-47.1,-0.07,0.29,-95.8,3/8,2.88,False
15min,3,breaker,0.3,3R,0,"(1, -1)",1581,236,0.938,-73.7,-0.08,0.293,-137.2,3/8,2.88,False
15min,3,breaker,0.3,3R,1,"(1,)",496,74,1.005,2.0,0.01,0.308,-41.8,5/8,2.88,False
15min,3,breaker,0.3,3R,1,"(-1,)",338,51,0.984,-4.1,-0.01,0.305,-41.5,4/8,2.89,False
15min,3,breaker,0.3,3R,1,"(1, -1)",834,125,0.997,-2.1,-0.0,0.307,-66.7,5/8,2.88,False
15min,3,breaker,0.5,2R,0,"(1,)",824,123,0.893,-59.2,-0.14,0.359,-61.3,3/8,1.92,False
15min,3,breaker,0.5,2R,0,"(-1,)",802,120,0.838,-90.2,-0.11,0.342,-120.6,1/8,1.92,False
15min,3,breaker,0.5,2R,0,"(1, -1)",1626,242,0.865,-149.4,-0.13,0.351,-172.6,2/8,1.92,False
15min,3,breaker,0.5,2R,1,"(1,)",510,76,0.953,-15.9,-0.06,0.375,-37.2,4/8,1.92,False
15min,3,breaker,0.5,2R,1,"(-1,)",344,52,0.881,-28.0,-0.11,0.352,-39.5,2/8,1.93,False
15min,3,breaker,0.5,2R,1,"(1, -1)",854,128,0.923,-43.9,-0.1,0.365,-67.4,3/8,1.92,False
15min,3,breaker,0.5,3R,0,"(1,)",824,123,0.925,-45.2,-0.12,0.3,-57.9,3/8,2.9,False
15min,3,breaker,0.5,3R,0,"(-1,)",802,120,0.866,-80.9,-0.11,0.284,-112.2,3/8,2.9,False
15min,3,breaker,0.5,3R,0,"(1, -1)",1626,242,0.896,-126.2,-0.13,0.292,-149.6,2/8,2.9,False
15min,3,breaker,0.5,3R,1,"(1,)",510,76,0.973,-10.1,-0.03,0.308,-53.2,5/8,2.9,False
15min,3,breaker,0.5,3R,1,"(-1,)",344,52,0.904,-24.5,-0.09,0.294,-41.6,4/8,2.9,False
15min,3,breaker,0.5,3R,1,"(1, -1)",854,128,0.945,-34.5,-0.07,0.302,-75.0,4/8,2.9,False
15min,3,mitigation,0.05,2R,0,"(1,)",1484,221,1.0,-0.3,-0.0,0.381,-136.1,3/8,1.9,False
