scenario,entry_zone,sl_buf_atr,min_sweep_atr,k,mss_look,tp_mode,wait_bars,n,per_yr,pf,mar,net,pos,d1_pf,c5_pf,oos_pf,pboot,passed
london,fvg_ce,0.25,0.0,3,48,4R,96,992,148,1.305,0.97,242.0,7/8,1.48,1.16,1.43,0.0,False
london,fvg_ce,0.25,0.1,3,12,range,48,648,97,1.05,0.07,23.4,5/8,0.8,0.91,1.29,0.3162,False
london,fvg_ce,0.25,0.1,3,12,range,96,716,107,1.066,0.1,34.1,5/8,1.91,0.93,1.32,0.2487,False
london,fvg_ce,0.25,0.1,3,12,2R,48,648,97,0.962,-0.04,-17.2,5/8,0.67,0.83,1.14,0.6837,False
london,fvg_ce,0.25,0.1,3,12,2R,96,716,107,0.983,-0.02,-8.7,6/8,1.16,0.85,1.17,0.5787,False
london,fvg_ce,0.25,0.1,3,12,3R,48,648,97,1.031,0.04,16.1,6/8,0.77,0.91,1.21,0.365,False
london,fvg_ce,0.25,0.1,3,12,3R,96,716,107,1.059,0.1,33.4,6/8,1.37,0.93,1.25,0.2462,False
london,fvg_ce,0.25,0.1,3,12,4R,48,648,97,1.043,0.06,23.7,6/8,0.82,0.93,1.3,0.3287,False
london,fvg_ce,0.25,0.1,3,12,4R,96,716,107,1.098,0.14,59.3,6/8,1.55,0.98,1.38,0.15,False
london,fvg_ce,0.25,0.1,3,24,range,48,765,114,1.127,0.26,67.3,6/8,0.89,0.98,1.3,0.075,False
london,fvg_ce,0.25,0.1,3,24,range,96,829,124,1.141,0.31,79.5,6/8,1.91,1.0,1.31,0.0712,False
london,fvg_ce,0.25,0.1,3,24,2R,48,765,114,1.131,0.27,65.5,6/8,0.81,0.98,1.28,0.0525,False
london,fvg_ce,0.25,0.1,3,24,2R,96,829,124,1.152,0.35,81.8,6/8,1.26,1.0,1.29,0.03,False
london,fvg_ce,0.25,0.1,3,24,3R,48,765,114,1.172,0.37,99.2,7/8,0.9,1.03,1.23,0.0262,False
london,fvg_ce,0.25,0.1,3,24,3R,96,829,124,1.201,0.62,125.2,7/8,1.45,1.06,1.25,0.0063,False
london,fvg_ce,0.25,0.1,3,24,4R,48,765,114,1.184,0.36,115.5,6/8,0.96,1.06,1.34,0.0187,False
london,fvg_ce,0.25,0.1,3,24,4R,96,829,124,1.224,0.54,151.1,6/8,1.61,1.09,1.36,0.0063,False
london,fvg_ce,0.25,0.1,3,48,range,48,896,134,1.153,0.39,90.1,6/8,0.84,1.01,1.3,0.0387,False
london,fvg_ce,0.25,0.1,3,48,range,96,956,143,1.157,0.38,98.2,7/8,1.75,1.01,1.31,0.0238,False
london,fvg_ce,0.25,0.1,3,48,2R,48,898,134,1.19,0.5,109.2,7/8,0.79,1.04,1.29,0.0025,False
london,fvg_ce,0.25,0.1,3,48,2R,96,958,143,1.203,0.53,123.6,6/8,1.18,1.05,1.31,0.0037,False
london,fvg_ce,0.25,0.1,3,48,3R,48,898,134,1.25,0.54,165.4,7/8,0.89,1.11,1.34,0.0,False
london,fvg_ce,0.25,0.1,3,48,3R,96,958,143,1.272,0.79,191.5,7/8,1.37,1.13,1.35,0.0,False
london,fvg_ce,0.25,0.1,3,48,4R,48,898,134,1.278,0.55,199.6,7/8,0.95,1.15,1.41,0.0025,False
london,fvg_ce,0.25,0.1,3,48,4R,96,958,143,1.301,0.8,229.6,7/8,1.51,1.17,1.43,0.0,False
london,fvg_ce,0.25,0.25,3,12,range,48,558,84,0.931,-0.05,-28.5,4/8,0.69,0.81,1.17,0.7913,False
london,fvg_ce,0.25,0.25,3,12,range,96,623,93,0.941,-0.04,-27.0,4/8,0.72,0.82,1.19,0.7712,False
london,fvg_ce,0.25,0.25,3,12,2R,48,558,84,0.891,-0.07,-44.1,4/8,0.63,0.77,1.06,0.9213,False
london,fvg_ce,0.25,0.25,3,12,2R,96,623,93,0.91,-0.07,-40.2,4/8,0.67,0.79,1.07,0.8812,False
london,fvg_ce,0.25,0.25,3,12,3R,48,558,84,0.944,-0.04,-25.6,5/8,0.72,0.83,1.17,0.7638,False
london,fvg_ce,0.25,0.25,3,12,3R,96,623,93,0.976,-0.02,-12.1,6/8,0.77,0.87,1.19,0.6088,False
london,fvg_ce,0.25,0.25,3,12,4R,48,558,84,0.996,-0.0,-1.7,5/8,0.79,0.89,1.23,0.5587,False
london,fvg_ce,0.25,0.25,3,12,4R,96,623,93,1.035,0.04,18.7,6/8,0.84,0.93,1.26,0.3563,False
london,fvg_ce,0.25,0.25,3,24,range,48,665,99,0.993,-0.01,-3.5,4/8,0.77,0.87,1.19,0.5525,False
london,fvg_ce,0.25,0.25,3,24,range,96,732,109,0.996,-0.0,-1.9,4/8,0.78,0.87,1.17,0.5325,False
london,fvg_ce,0.25,0.25,3,24,2R,48,665,99,1.018,0.02,8.1,5/8,0.74,0.89,1.13,0.4263,False
london,fvg_ce,0.25,0.25,3,24,2R,96,732,109,1.044,0.08,21.6,6/8,0.77,0.91,1.14,0.2863,False
london,fvg_ce,0.25,0.25,3,24,3R,48,665,99,1.046,0.06,23.7,6/8,0.81,0.93,1.1,0.2925,False
london,fvg_ce,0.25,0.25,3,24,3R,96,732,109,1.069,0.13,39.3,6/8,0.84,0.95,1.09,0.195,False
london,fvg_ce,0.25,0.25,3,24,4R,48,665,99,1.077,0.1,42.9,6/8,0.87,0.97,1.19,0.1888,False
london,fvg_ce,0.25,0.25,3,24,4R,96,732,109,1.101,0.19,61.3,6/8,0.9,0.99,1.18,0.1113,False
london,fvg_ce,0.25,0.25,3,48,range,48,801,120,1.032,0.04,17.2,5/8,0.73,0.91,1.19,0.3663,False
london,fvg_ce,0.25,0.25,3,48,range,96,864,129,1.026,0.03,15.0,6/8,0.73,0.9,1.19,0.3875,False
london,fvg_ce,0.25,0.25,3,48,2R,48,805,120,1.093,0.14,49.7,6/8,0.74,0.96,1.18,0.125,False
